scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero,v_lindistflow,mu_penalty_active
summer,0,0,15,0.0,0.16927805413436028,0.16927805413436028,0.046845546596108754,0.17564044194718825,0.17564044194719533,0.9999999999999597,-5.289961729784687e-05,True,0.00015905969532069937,0.20571672482456954,0.5,7.034750000000001,130.62,7.185512271970117,7.004362125784905,7.005174169865435,,
summer,1,0,15,0.0,0.006362339223944659,0.006362339223944659,0.1754867386029453,0.17560203525557158,0.17564044194719533,0.9997813334378007,-1.449292568117544e-05,True,0.004230992400790677,0.027279385099227976,0.06630327486132011,6.447649999999999,122.52,6.573632573047587,6.568435267357751,6.5668740639548755,,
summer,2,0,15,1.5502307424729573e-15,0.0,-1.5502307424729573e-15,0.17558754232988652,0.17558754232988652,0.17564044194719533,0.999698818696182,3.885780586188048e-15,True,0.004389688558247128,0.020572246975474957,0.050001396320640656,6.1959,111.95,6.311975827253596,6.313842583866509,6.311975827258075,,
summer,3,0,15,0.043603278128503065,0.0,-0.043603278128503065,0.17009020010694514,0.17559021053570223,0.17564044194719533,0.9997140099914563,-2.6682058118232543e-06,True,0.003299673310179982,0.020571672482457736,0.050000000000001904,6.042,107.47,6.152230182343842,6.19926576201294,6.198403708738177,,
summer,4,0,15,0.1568863110199618,0.0,-0.1568863110199618,0.07896993264498295,0.17564044194719317,0.17564044194719533,0.9999999999999877,-5.2899617302759605e-05,True,0.0004688532731807843,0.061937527965992834,0.15054081776484562,5.94985,104.36,6.056656131750002,6.222142850335163,6.222986675202679,,
summer,5,0,15,0.15688631101996048,0.0,-0.15688631101996048,0.07896993264498559,0.17564044194719317,0.17564044194719533,0.9999999999999877,-5.2899617302759605e-05,True,0.00046885327318081757,0.21077384158595583,0.5122914575022981,5.9432,104.35,6.04976122818321,6.215238663316889,6.2160807228394255,,
summer,6,0,15,0.032956488388516184,0.0,-0.032956488388516184,0.17247205252520104,0.17559253694037827,0.17564044194719533,0.9997272552591763,-4.994610487862872e-06,True,0.003565901213796555,0.35960599885764616,0.8740319951241442,6.040100000000001,107.59,6.150259008515443,6.186267091967605,6.185150623991812,,
summer,7,0,15,1.1505283591458746e-05,0.0,-1.1505283591458746e-05,0.17558754232988702,0.17558754270682592,0.17564044194719533,0.9996988208422676,-3.769355105820438e-10,True,0.004389400935580865,0.3908617771666823,0.9500000000000004,6.35075,114.98,6.4728686591927795,6.474662245457776,6.472880870487664,,
summer,8,0,15,1.1505283590746915e-05,0.0,-1.1505283590746915e-05,0.17558754232988802,0.17558754270682692,0.17564044194719533,0.9996988208422732,-3.7693650978276594e-10,True,0.004389400935580908,0.3908617771666824,0.9500000000000007,6.84285,127.23,6.985253043091473,6.986772927657429,6.985265315065053,,
summer,9,0,15,2.832489527651972e-16,0.0,-2.832489527651972e-16,0.17558754232988857,0.17558754232988857,0.17564044194719533,0.9996988186961938,1.8318679906315083e-15,True,0.004389688558247212,0.3908617771666817,0.949999999999999,7.47935,134.5,7.650457756139371,7.651603733375607,7.65045775613961,,
summer,10,0,15,-0.0,0.0,0.0,0.17558754232988882,0.17558754232988882,0.17564044194719533,0.9996988186961953,1.582067810090848e-15,True,0.004389688558247225,0.3908508621041387,0.9499734706486487,7.8355999999999995,138.16,8.024006123412613,8.02494554552534,8.024006123412605,,
summer,11,0,15,0.0,4.511998025172679e-16,4.511998025172679e-16,0.17558754232988893,0.17558754232988893,0.17564044194719533,0.9996988186961958,1.4710455076283324e-15,True,0.004389688558247216,0.39083994734640526,0.9499469420381462,7.9477,140.85,8.141734210688744,8.142608034126129,8.141734210688751,,
summer,12,0,15,0.0,2.708891126484048e-16,2.708891126484048e-16,0.1755875423298889,0.1755875423298889,0.17564044194719533,0.9996988186961957,1.4988010832439613e-15,True,0.004389688558247219,0.39082903289347265,0.9499204141684703,7.90115,140.59,8.092836335878602,8.093737434753391,8.092836335878562,,
summer,13,0,15,-0.0,0.0,0.0,0.17558754232988874,0.17558754232988874,0.17564044194719533,0.9996988186961947,1.6653345369377348e-15,True,0.004389688558247222,0.39081811874533334,0.9498938870396026,7.7178,137.7,7.900387440847766,7.901395484863122,7.900387440847799,,
summer,14,0,15,0.0,1.250794126474125e-15,1.250794126474125e-15,0.175587542329889,0.175587542329889,0.17564044194719533,0.9996988186961961,1.4155343563970746e-15,True,0.004389688558247198,0.3908072049019788,0.9498673606515224,8.0161,142.31,8.213611994824772,8.21444564876686,8.213611994824745,,
summer,15,0,15,0.0,0.07618889369605132,0.07618889369605132,0.1582016444831888,0.17559187862715483,0.17564044194719533,0.9997235071860324,-4.336297264428968e-06,True,0.00248507462327759,0.39079629136339883,0.949840835004205,8.16905,145.06,8.374458917452944,8.291236343825789,8.292197180809294,,
summer,16,0,15,0.0,0.08832789011969103,0.08832789011969103,0.15177053687240016,0.17560214131818777,0.17564044194719533,0.9997819372999581,-1.4598988297365167e-05,True,0.0021818562799624207,0.3104766465009891,0.754621790634078,8.252650000000001,145.39,8.462445671960106,8.365815605047622,8.367016446704348,,
