n_ess,run,gen,gbest_f,mean_f,std_f,worst_f,elapsed_s
1,0,0,-22161748.138077408,66763183.40119718,57499601.38473716,223897129.44058627,14.10852019999993
1,0,1,-26386431.315064073,51781199.42548069,127519042.90243597,734933811.8461888,2.348034000000098
1,0,2,-28197585.08510857,15346654.819099022,57209576.31307782,242375585.6506769,2.360726799999952
1,0,3,-29030934.75558342,-12857588.524672795,15721504.389665617,19479517.584610105,2.346778200000017
1,0,4,-29571023.268806484,-23082529.329737324,7931031.639694152,6908602.482123745,2.2904287999999724
1,0,5,-29571023.268806484,-24670349.307264097,6635863.094685528,10211775.1089807,2.338797799999952
1,0,6,-29571023.268806484,-23185160.32266141,6448912.341048284,5431033.613251645,2.464325899999949
1,0,7,-29870867.318128135,-25942224.012271017,3033444.8933697483,-13494849.304216651,2.4685170999999855
1,0,8,-29870867.318128135,-26364490.199386828,3395337.8241524496,-14859778.112383211,2.348664299999996
1,0,9,-30333359.3181647,-26588922.55426701,3217160.2932193223,-13494849.304226479,2.31882470000005
1,0,10,-30359356.541580733,-26307863.523831356,4238044.652424295,-15542320.484097261,2.674347099999977
1,0,11,-30359356.541580733,-27765616.313174605,2718847.258379192,-16413490.382908586,2.6806088000000727
1,0,12,-30359356.541580733,-27503464.345459033,3061354.8291773642,-16576143.20746522,2.681165299999975
1,0,13,-30359356.541580733,-26766358.890826274,4699296.558120176,-15045825.45779943,2.7050408999999718
1,0,14,-30368552.86976859,-28106618.602070715,2088961.98598832,-22704821.44478993,2.704840099999956
1,0,15,-30377782.42606127,-28224133.000862814,2952250.4281351916,-15078979.766041152,2.7033148999998957
1,0,16,-30377782.42606127,-28613330.06220049,2588227.96945074,-15045825.457791483,2.6302855999999792
1,0,17,-30377782.42606127,-28402853.988920342,2760192.0296777114,-16560567.721038342,2.6397240999999667
1,0,18,-30377782.42606127,-29178468.83958613,877002.8609748998,-27494817.050114848,2.6989534000000504
1,0,19,-30377782.42606127,-29193777.326857112,859662.1189747447,-27682680.525491226,2.702367900000013
1,0,20,-30377782.42606127,-28143885.15380302,3123293.9313249392,-14562657.692586992,2.6434391000000232
1,0,21,-30403496.1959178,-28563074.606013313,2865191.4129886576,-14937482.904835941,2.6907565000000204
1,0,22,-30403496.1959178,-28596785.10040963,2980483.269060164,-16322336.67691733,2.674347799999964
1,0,23,-30403496.1959178,-29100186.67977953,1740427.0379578196,-22561195.577520877,2.716509999999971
1,0,24,-30403496.1959178,-28825847.20971915,2449456.599374356,-16471235.753571022,2.718011600000068
1,0,25,-30410872.214647718,-29443725.210483626,997596.8456164522,-27036068.019361258,2.899856600000021
1,0,26,-30410872.214647718,-29331293.687233187,1387315.1150718674,-23866851.0848712,2.779825399999936
1,0,27,-30410872.214647718,-28903631.753378242,3332391.5982472086,-11410053.09773305,2.655172300000004
1,0,28,-30410872.214647718,-29556835.708431337,1475651.2247211628,-22263734.853051104,2.7296077999999397
1,0,29,-30410872.214647718,-29755175.10714104,866723.2571194092,-27213659.201562807,2.6488026999999192
1,0,30,-30411190.281780586,-29812585.136930723,521443.1292450364,-28053171.95514934,2.669249900000068
1,1,0,-16709520.125316832,68501478.80290979,100003623.16138689,511411218.90749717,2.336014299999988
1,1,1,-16952845.115696058,41775492.91883725,75725611.6703286,338290266.4047822,2.496257200000059
1,1,2,-17431800.871282563,10564644.210351888,33759088.44419794,114113867.57198781,2.734553099999971
1,1,3,-19349650.68150016,-6021321.737172632,16570054.73762564,68430234.39580476,2.7875386999999137
1,1,4,-19349650.68150016,-10314824.181165468,9523937.809694136,26269610.52041951,2.619577800000002
1,1,5,-19490334.30901315,-12554378.849302918,7273569.76122943,4347743.3519809935,2.734747000000084
1,1,6,-19944823.204592388,-13947181.553536285,6174818.294042615,4347743.326567249,2.7042729999999437
1,1,7,-20219496.66009646,-16417971.48721828,2912809.000834741,-7128994.92401506,2.6703785999999354
1,1,8,-20219496.66009646,-14557207.765280228,5650462.867764679,2610589.5587500483,2.678690999999958
1,1,9,-20219496.66009646,-14549120.043524124,6478875.427594003,4347743.351978357,2.7423261999999795
1,1,10,-20219496.66009646,-17388385.161062963,2129686.491488754,-11070832.886356859,2.703644000000054
1,1,11,-20235616.9392185,-17677779.07557094,1708988.5997084228,-13215603.101112938,2.7382188999999926
1,1,12,-20235616.9392185,-15663006.633771123,5774298.3660978535,1167202.7354097813,2.66661339999996
1,1,13,-20235616.9392185,-16300943.561086614,5124225.153161535,-635978.3535886649,2.7128942000000507
1,1,14,-20235616.9392185,-18173542.13269504,1652242.8470447971,-13675320.981990252,2.749761900000067
1,1,15,-20235616.9392185,-17147716.044309095,3519722.2739077723,-2133377.715149898,2.6890478999999914
1,1,16,-20235616.9392185,-18029571.093775257,2069524.5047319825,-12360705.186246894,2.725571099999911
1,1,17,-20235616.9392185,-16032432.366240421,6101071.750321914,2110673.6587488577,2.6961822000000666
1,1,18,-20235616.9392185,-17644884.999698434,3547282.462429241,-2133341.7762975693,2.7204136999999946
1,1,19,-20235616.9392185,-18246492.94548893,4112340.222715303,3354362.472192943,2.6843116999999665
1,1,20,-20235616.9392185,-17745238.981641747,4300055.977098094,-2025239.8912273347,2.6679600999999593
1,1,21,-20235616.9392185,-18157201.04719666,3575133.0702053187,-1518655.7002066504,2.7352789000000257
1,1,22,-20235616.9392185,-19054800.33435083,1468480.7947790665,-13730100.356941942,2.673123099999998
1,1,23,-20235616.9392185,-18360399.562102735,3745723.6953222677,54975.05266216025,2.6783949000000575
1,1,24,-20235616.9392185,-18944412.369535215,1847481.7149974455,-12400047.05645434,2.7530685000000403
1,1,25,-20235699.05224686,-19096498.173226476,1492147.9463881382,-13983671.241631862,2.730656300000078
1,1,26,-20235714.257065326,-19175202.628686115,1894681.215310193,-10357502.195775498,2.7248063000000684
1,1,27,-20235714.257065326,-19141761.598561555,892574.8903863508,-16077458.424204027,2.771534699999961
1,1,28,-20235714.257065326,-19420563.55193378,842403.4788372575,-16476230.490154976,2.681228199999964
1,1,29,-20275392.858947158,-19295338.22721845,1360076.192871963,-13923705.076852318,2.719658000000095
1,1,30,-20275392.858947158,-19680462.44058495,603236.5657406175,-17936699.08980819,2.716082099999994
1,2,0,-19340820.46117924,82559300.7622631,63339876.24584733,303922868.3369485,2.6407268000000386
1,2,1,-19340820.46117924,44929095.86011326,42847545.724258594,145929822.2689352,2.733441599999992
1,2,2,-19340820.46117924,17416856.901531838,27913019.693135582,104488357.84881282,2.6606659000000263
1,2,3,-23296180.177138656,-4471145.447794637,17930642.736163627,59520093.579015166,2.7084244000000126
1,2,4,-26232968.485501084,-17388152.39486657,9461613.527743157,16361174.703290269,2.63874409999994
1,2,5,-30178478.923695557,-21674446.878474496,8783139.361172406,5778533.575948994,2.71082100000001
1,2,6,-30178478.923695557,-23272345.9731149,8702989.433874974,9974644.718484778,2.6667778999999427
1,2,7,-30292656.886758264,-24393015.28111284,5495292.200152956,-9786675.974759378,2.7210013999999774
1,2,8,-30292656.886758264,-22956821.395870067,8908749.162765175,7532856.820882745,2.6848263999999062
1,2,9,-30308252.111880537,-23214771.990611807,12859847.538640901,37365019.09691712,2.7164196999999604
1,2,10,-30308252.111880537,-24239539.389271535,9558107.643955844,12898180.059633173,2.736071700000025
1,2,11,-30308252.111880537,-24961167.00205422,7419902.868527549,7015752.239631061,2.6949772999998913
1,2,12,-30371644.96813053,-25031072.749061912,6679576.454604079,2979950.0325614996,2.6946265999999923
1,2,13,-30371644.96813053,-25788549.59652573,7589371.435198994,6675454.030791957,2.723815400000035
1,2,14,-30371644.96813053,-25927231.775353756,8022687.344263681,3474434.2492737696,2.6587286000000177
1,2,15,-30371644.96813053,-25697306.990260728,5927233.445112585,2041280.052004885,2.6688576999999896
1,2,16,-30371644.96813053,-26485713.277573213,6712045.087516251,5003985.469944889,2.680382399999985
1,2,17,-30399423.8025821,-26712993.34252914,4624509.631590333,-14289676.649521962,2.6952324999999746
