n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss,cost,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok
1,0,1174127800,-30411853.11731191,"[29.0, 2.4, 0.3347552819545741]",93.37793449999981,0,3,-2812486.1835798086,30411853.117316984,31359833.350959912,14253305.885095198,1667139.580942082,29692693.770018358,15201286.118738124,0.0,0.0,0.0,0.0,True
1,1,500939758,-20275392.8589497,"[8.0, 2.4, 0.459920289244093]",83.43573779999997,0,2,-16775.210357748063,20275392.858952284,22999292.807046108,15457890.715461954,2290484.5750736916,20708808.231973052,18181790.66355578,0.0,0.0,0.0,0.0,True
1,2,4007147622,-30410894.918346778,"[29.0, 2.4, 0.33492619520766476]",83.72812269999986,0,10,-3550330.8383446503,30410894.91834303,31358986.66317638,14257264.26323437,1667990.7609909186,29690995.902185854,15205356.008067718,0.0,0.0,0.0,0.0,True
