n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer
1,0,1174127800,-3052828.2063010223,"[32.0, 0.1764458928018715, 0.41917653958227313]",97.03626529999929,0,109,-1.0001036088169712e-05
1,1,500939758,-3084672.0061996337,"[15.0, 0.17415017281055106, 0.4102230645783557]",90.49303499999951,0,111,-1.0676781769802801e-05
1,2,4007147622,-3052922.7420014627,"[32.0, 0.17594102734424877, 0.41926765535879584]",91.78926719999981,0,108,-1.4731255859601333e-05
