scenario,t,unit,b,p_ch,p_dis,p_net,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess
summer,0,0,15,0.0,0.1740075539778245,0.1740075539778245,0.20563954836020817,0.5,6.296033901525001,130.62,6.454850201237773,6.270655605700952
summer,1,0,15,0.0,0.0015670801609684781,0.0015670801609684781,0.022216967667004105,0.05401919972146552,5.770585022235,122.52,5.903238220445504,5.90158301987737
summer,2,0,15,6.80970935810957e-10,0.0,-6.80970935810957e-10,0.02056452851663911,0.05000139486937913,5.5452711824100005,111.95,5.667469805483167,5.667469806202006
summer,3,0,15,0.04216065077509789,0.0,-0.04216065077509789,0.020563955166170066,0.050000000802737726,5.4075321558,107.47,5.523563348214676,5.567966191921584
summer,4,0,15,0.17400755372213422,0.0,-0.17400755372213422,0.06056119059461733,0.14725083544857678,5.325058788015,104.36,5.437477964753977,5.621036011547462
summer,5,0,15,0.17400755372440405,0.0,-0.17400755372440405,0.22564046592648263,0.5486310092726908,5.319107101680001,104.35,5.431267945088634,5.614814853377273
summer,6,0,15,1.151202096175174e-05,0.0,-1.151202096175174e-05,0.3907151313173226,0.9499999743068077,5.405831673990001,107.59,5.5217877815201994,5.521799895666597
summer,7,0,15,1.1500723066691784e-05,0.0,-1.1500723066691784e-05,0.39071514210473857,0.9500000005357506,5.6838604499250005,114.98,5.812435697664656,5.812447834676182
summer,8,0,15,1.1500254757700185e-05,0.0,-1.1500254757700185e-05,0.39071514217537656,0.9500000007075026,6.124285238715001,127.23,6.27427359199157,6.274285783654244
summer,9,0,15,1.518744053936704e-10,0.0,-1.518744053936704e-10,0.3907151418195336,0.9499999998422922,6.693946645065001,134.5,6.874257550547764,6.874257550709885
summer,10,0,15,-0.0,0.0,0.0,0.39070423129512877,0.9499734715686896,7.012786984440001,138.16,7.211382195808816,7.21138219580884
summer,11,0,15,-0.0,0.0,0.0,0.3906933206414957,0.9499469429808765,7.113115411230001,140.85,7.31766119806391,7.317661198063974
summer,12,0,15,-0.0,0.0,0.0,0.3906824100690247,0.9499204145904039,7.071453606885001,140.59,7.2735168856649794,7.273516885665002
summer,13,0,15,-0.0,0.0,0.0,0.39067149985009064,0.9498938870595348,6.907357112220001,137.7,7.099801106839974,7.099801106839945
summer,14,0,15,0.0,9.805901360028131e-11,9.805901360028131e-11,0.3906605901240689,0.9498673607271518,7.17433275639,142.31,7.382556015343651,7.3825560152385625
summer,15,0,15,0.0,0.0014527638940553212,0.0014527638940553212,0.390649680299535,0.9498408341552427,7.311221542095001,145.06,7.527796305012301,7.526236857031451
summer,16,0,15,0.0,0.17400754864842202,0.17400754864842202,0.3891074502182838,0.9460909959224001,7.386042741735001,145.39,7.607257465347377,7.420942237059535
summer,17,0,15,0.0,3.4541204192585616e-10,3.4541204192585616e-10,0.20567975170883984,0.5000977519863087,7.517830082010001,143.23,7.747347186917143,7.747347184321428
summer,18,0,15,-0.0,0.0,0.0,0.2056740073221961,0.50008378486109,7.505076468435001,141.5,7.733782867868868,7.733782867868864
summer,19,0,15,-0.0,0.0,0.0,0.20566826349160916,0.5000698190878894,7.461714182280001,140.33,7.687675812933342,7.687675812933309
summer,20,0,15,-0.0,0.0,0.0,0.2056625199361289,0.5000558539835939,7.408149005265,140.02,7.630744821572479,7.630744821572521
summer,21,0,15,-0.0,0.0,0.0,0.20565677656446796,0.5000418893262438,7.2083423925900005,137.43,7.418623991613883,7.418623991613796
