n_ess,run,gen,batch_size,eval_cumulative,gbest_f,mean_f,std_f,worst_f,elapsed_s,coef_cache_hit_rate_cumulative
2,0,0,72,72,28035387.759007156,219493250.61690217,103511690.09699689,453767586.3587267,224.95428989996435,0.0078125
2,0,1,72,144,-420344.9627483655,157481309.47716904,97578181.4330454,356723622.82359684,187.43749929999467,0.01593625498007968
2,0,2,69,213,-420344.9627483655,100553681.23536013,78098774.48583199,295567449.978459,157.5066158999689,0.019886363636363636
2,0,3,68,281,-420344.9627483655,64648571.943205565,58447460.70669654,290094063.04518294,146.95721510000294,0.020454545454545454
2,0,4,67,348,-420344.9627483655,39930021.48040954,43268995.43760906,190689497.23042613,107.31876180000836,0.023809523809523808
2,0,5,65,413,-1679430.0183216035,31104725.462446053,38824388.37240769,178356094.97033674,100.09639330004575,0.024955436720142603
2,0,6,64,477,-2376942.6659770925,18895028.923014395,18235652.305399098,91072657.37385064,96.58522760000778,0.02593192868719611
2,0,7,63,540,-2703915.1796329767,14926238.155549966,16244489.933008645,70281203.24547711,87.27207260002615,0.028400597907324365
2,0,8,62,602,-3351008.638237236,10833443.052758832,17427870.803422693,121361298.34737894,78.23068129998865,0.029288702928870293
2,0,9,61,663,-3351008.638237236,8316491.235939367,9389985.742727745,39284301.31376269,92.37739519996103,0.02990897269180754
2,0,10,59,722,-3351008.638237236,7015776.977203765,11351313.827927591,67128776.56075847,82.77324329997646,0.03418803418803419
2,0,11,58,780,-3706732.726796897,2178873.5773351514,5797511.121531723,26773182.119683415,89.99037700000918,0.040137614678899085
2,0,12,57,837,-3706732.726796897,2025551.569529354,4006058.4163703285,17429720.158329047,94.66353020002134,0.047311827956989246
2,0,13,56,893,-3706732.726796897,2870982.2657210645,5981060.043449145,23452497.100918572,80.17052010004409,0.054989816700611
2,0,14,55,948,-3706732.726796897,1846475.3882264947,5678254.253381976,26947889.317899015,104.41229740000563,0.061068702290076333
2,0,15,54,1002,-3799209.3184654415,2177088.77528285,6326030.235600351,29108652.771989994,92.64220290002413,0.06949458483754513
2,0,16,53,1055,-3799209.3184654415,806426.9333622905,5895641.276340567,29729296.711282667,95.75659989996348,0.08091993185689948
2,0,17,52,1107,-3799209.3184654415,1864316.156440442,5921508.290495194,26679172.3110912,90.98167120001744,0.09450726978998385
2,0,18,51,1158,-3842623.406903427,126673.28723609693,4287211.558010216,15355734.214145329,86.93566189997364,0.10384615384615385
2,0,19,50,1208,-3910701.2630245835,351148.783103136,3895901.4082254996,12068198.081542078,93.05512470001122,0.11168258633357825
2,0,20,49,1257,-3927941.610971421,603584.1334514418,4759371.589527332,16649086.286177784,74.11212260002503,0.12570621468926554
2,0,21,48,1305,-3927941.610971421,575037.0283476654,5913452.6895396765,19140537.844400812,76.72281690000091,0.13636363636363635
2,0,22,47,1352,-3927941.610971421,1188339.4411742461,5921447.315737126,20351075.491309695,74.21605139999883,0.15003261578604044
2,0,23,46,1398,-3927941.610971421,323165.077032156,4463383.668622586,16759900.256612243,79.58546949998708,0.1574307304785894
2,0,24,46,1444,-3927941.610971421,-1310479.6293491756,3215144.66740375,11951953.211194923,77.70613690000027,0.17393939393939395
2,0,25,45,1489,-3927941.610971421,-331274.9782275632,5308899.004049084,17593410.9757865,71.86042340000859,0.18251173708920188
2,0,26,44,1533,-3927941.610971421,-732787.4872061289,4835027.691588459,18947906.287817836,57.47132230002899,0.19680547632629777
2,0,27,43,1576,-3927941.610971421,-539989.5007660744,3973466.676696683,12561045.683376063,69.59929640003247,0.20641947980077477
2,0,28,42,1618,-3927941.610971421,232493.4587670143,6276646.508029229,29272257.92507296,61.327152299985755,0.2172043010752688
2,0,29,41,1659,-3927941.610971421,-756209.0045775415,4176888.64247263,14817691.289278092,57.175099699990824,0.2301255230125523
2,0,30,41,1700,-3927941.610971421,1168947.7745436113,6949375.962036765,23168839.355034277,62.61498660000507,0.23865374808771037
2,0,31,40,1740,-3927941.610971421,-583050.2995771527,5050411.768255259,18087668.070580892,65.23500720004085,0.24689518132141083
2,0,32,39,1779,-3927941.610971421,-2012014.433772034,2889552.0168434503,12068198.101530878,63.252858499996364,0.2547215496368039
2,0,33,38,1817,-3931112.442479307,-1069512.4028690578,4543829.092948132,16040410.95230911,51.74017569998978,0.26350710900473934
2,0,34,38,1855,-3931112.442479307,-1530801.7041206206,3720232.582529966,10536650.718595045,56.9960996999871,0.270032422417786
2,0,35,37,1892,-3936481.558618538,448718.95821386686,5606709.012668429,16550553.927078508,54.17447479994735,0.27586206896551724
2,0,36,36,1928,-3936481.558618538,-417548.84628656355,5767190.051388104,18591088.627514888,45.95086049998645,0.28546020453534904
2,0,37,36,1964,-3943252.720870832,-1769688.685326208,3258393.0465509044,9142431.090078235,48.433859800046775,0.2933740191804708
2,0,38,35,1999,-3943252.720870832,-975516.8387972338,5884817.612640337,20662347.07431513,43.25924280000618,0.3003427592116538
2,0,39,34,2033,-3943252.720870832,-2448000.356159038,2765240.9595485134,6979636.921911435,43.31102609995287,0.308242220353238
2,0,40,34,2067,-3943252.720870832,-1766870.99032001,3162559.2574520023,6804423.767849868,47.71353220002493,0.31572430870821294
2,0,41,33,2100,-3943252.7212367915,-1264768.453626359,5482769.5346407015,26293962.943147156,40.43795850005699,0.32222673709874033
2,0,42,32,2132,-3943252.7212367915,-3038916.448742481,1580168.364366161,2301897.14549784,43.43098070000997,0.328537170263789
2,0,43,32,2164,-3948246.1219506264,-2844021.3427547733,2604762.6869914914,10683661.846117124,35.48194939998211,0.3350393700787402
2,0,44,31,2195,-3955043.0244951863,-3254239.148906937,2330139.267017755,9234997.776560012,38.5091632999829,0.34147286821705425
2,0,45,31,2226,-3955043.0244951863,-1596436.107943708,4065753.9659642293,10284666.792013887,37.68188520002877,0.3480916030534351
2,0,46,30,2256,-3961651.5910208337,-3069442.18159675,1983013.9132147038,4099097.078128917,32.067798600008246,0.35544666415378817
2,0,47,29,2285,-3962113.6130407397,-3252396.2615343877,2131271.706688648,7436017.152173035,27.41152449999936,0.3618763961280715
2,0,48,29,2314,-3962113.6130407397,-3829275.929933228,393121.38393191644,-1788881.5066403206,26.86815580003895,0.36851783744023536
2,0,49,28,2342,-3962113.6130407397,-3901304.8787895115,126373.47146387938,-3257550.719301464,30.571398600004613,0.3738181818181818
2,0,50,28,2370,-3962113.6130407397,-3902259.019344869,86081.94789966971,-3619031.7412596866,24.915490499988664,0.37908731584620914
2,0,51,27,2397,-3962113.6130407397,-3887438.674572235,146591.45524556385,-3248620.0576153826,15.307589499978349,0.38469750889679716
2,0,52,27,2424,-3962113.6130407397,-3930167.9449417256,25935.23865764551,-3875209.886504382,17.380744500027504,0.3906305036984854
2,0,53,26,2450,-3962113.6130407397,-3940951.282098425,20260.338434135272,-3869002.611845568,19.513397299975622,0.3956082258626699
2,0,54,26,2476,-3962113.6130407397,-3940355.8317369586,41472.4985438371,-3754261.1629559807,18.8742382999626,0.40075940628236106
2,0,55,25,2501,-3962113.6130407397,-3927807.110822922,84546.1144802374,-3541196.81591185,14.056594499968924,0.4057475196715703
2,0,56,25,2526,-3962113.6130407397,-3923945.4917343743,97588.09691110732,-3489455.1200942136,15.97224599996116,0.41064767717870465
2,0,57,24,2550,-3962113.6130407397,-3935139.516644065,90809.3623318373,-3503578.359422704,18.397860100027174,0.4151260504201681
2,0,58,24,2574,-3962184.3317864705,-3950309.5162607394,16892.904764934567,-3888303.241268998,18.407135699992068,0.4195268243918694
2,0,59,23,2597,-3962304.157572245,-3957823.892711407,3368.668226506291,-3951860.7875752915,17.27371400000993,0.4239920687376074
2,0,60,23,2620,-3962373.7101347856,-3931033.0042350213,56626.13997190851,-3755784.8851688113,15.418181899993215,0.4280563749590298
2,0,61,23,2643,-3962373.9619628508,-3941759.678665393,45900.32673180873,-3742325.873363087,17.176860700012185,0.4320546163849155
2,0,62,22,2665,-3962373.9619628508,-3940474.191445276,54188.820186425284,-3757157.980372442,15.505886300001293,0.43594707970313007
2,0,63,22,2687,-3962373.9619628508,-3952995.85615228,9717.511454099513,-3925952.212677328,16.63548139994964,0.43978219090326715
2,0,64,21,2708,-3962373.9619628508,-3952318.8492356753,23730.052394027207,-3850969.146335533,14.153805700014345,0.44338422391857507
2,0,65,21,2729,-3962462.2937079687,-3954427.7505809255,9235.058348768305,-3925748.6788331494,12.398230600054376,0.4469361970941251
2,0,66,20,2749,-3962462.2937079687,-3959912.679014729,4357.324613720995,-3946787.103734402,4.348718599998392,0.45040803515379785
2,0,67,20,2769,-3962462.2937079687,-3956928.136420074,7138.666534887129,-3940717.762278527,7.23804409999866,0.4538365564566438
2,0,68,20,2789,-3962462.2937079687,-3960628.9591094055,3088.9327632472778,-3948286.1366517358,4.517238000000361,0.45722256664600125
2,0,69,19,2808,-3962462.2937079687,-3961093.2904200773,3513.856139910774,-3946230.582167277,4.645501899998635,0.4604006163328197
2,0,70,19,2827,-3962462.2937079687,-3955320.4526064037,7839.405367185621,-3942685.904686855,4.806581399985589,0.4635416666666667
2,0,71,19,2846,-3962462.2937079687,-3956466.691777757,7106.182702712633,-3945329.1167502105,6.091936299984809,0.4666463600365519
2,0,72,18,2864,-3962462.2937079687,-3958072.9834970767,6411.956439749059,-3945795.7843911685,4.4684077999554574,0.4695546803998788
2,0,73,18,2882,-3962462.2937079687,-3959110.118514886,6019.2732565770375,-3945123.2189268954,4.426584900007583,0.4724314552576077
2,0,74,18,2900,-3962462.2937079687,-3961638.5606168252,902.3827606006649,-3958741.2668239735,4.742029600020032,0.47527719508540606
2,0,75,17,2917,-3962462.2937079687,-3958923.3444583663,5887.012299778849,-3946003.4483244084,6.964727300044615,0.47793679189028027
2,0,76,17,2934,-3962462.2937079687,-3959272.4634080045,6274.772086580667,-3944402.6187860407,4.0660279000294395,0.4805695639276179
2,0,77,17,2951,-3962462.2937079687,-3959977.422171868,5160.4015097354895,-3945698.5408722647,4.286285600042902,0.4831759149940968
2,0,78,16,2967,-3962462.2937079687,-3961708.398800918,1290.537538913615,-3956976.616011111,6.686631399963517,0.48560517038777906
2,0,79,16,2983,-3962462.2937079687,-3961089.344801589,3666.3686963465234,-3947022.4927648436,3.686295200022869,0.48801169590643273
2,0,80,16,2999,-3962462.2937086876,-3962115.776174938,437.7491380680943,-3960648.8554895464,4.013246799993794,0.490395809080326
2,0,81,15,3014,-3962462.2937086876,-3961225.8172228415,4151.388161665062,-3945696.0169858,3.4176376999821514,0.49261083743842365
2,0,82,15,3029,-3962462.2937086876,-3962162.5516687226,435.4267553837507,-3960671.0901727807,3.425072599959094,0.4948066935949221
2,0,83,15,3044,-3962470.034450598,-3961279.5897699767,2123.3040588119225,-3956914.214410782,3.3172973999753594,0.49698362539500146
2,0,84,15,3059,-3962473.6771258935,-3962317.8934350973,236.069714542938,-3961529.7536283825,3.5649013000074774,0.49914187643020597
2,0,85,14,3073,-3962473.6771258935,-3962418.134350055,31.641323653823104,-3962347.4099250957,3.1412795999785885,0.5011396011396011
2,0,86,14,3087,-3962473.6771258935,-3962355.600897128,127.68102055521767,-3962052.5789250396,3.230543299985584,0.5031214528944381
2,0,87,14,3101,-3962473.6771258935,-3962378.1707281866,124.01565724902511,-3961981.1576309837,3.4302975999889895,0.505087620124364
2,0,88,13,3114,-3962474.703690637,-3962443.3517995826,35.05275373999181,-3962338.352379484,2.9867852000170387,0.5068994649394537
2,0,89,13,3127,-3962474.703690637,-3962421.2533282954,63.0784287723112,-3962241.536479149,2.973851700022351,0.5086980920314254
2,0,90,13,3140,-3962474.703690637,-3962445.424958519,32.43765834268747,-3962368.508400541,3.2861343000549823,0.5104836455129997
2,0,91,13,3153,-3962474.703690637,-3962005.363916917,1362.613118799308,-3957292.0501520075,3.2366134999901988,0.5122562674094707
2,0,92,12,3165,-3962474.703690637,-3962452.751520392,26.793307314305775,-3962398.033942636,3.2255480000167154,0.5138811771238201
2,0,93,12,3177,-3962474.703690637,-3962452.893243855,29.831538936127156,-3962363.473175196,2.9166918999981135,0.5154952960708357
2,0,94,12,3189,-3962474.703690637,-3962457.8992605377,13.63328373763969,-3962420.3783671334,2.75488329998916,0.5170987313844456
2,0,95,12,3201,-3962474.703690637,-3961094.6643617176,4499.953080368231,-3946170.3664839026,2.901170799974352,0.5186915887850467
2,0,96,12,3213,-3962474.703693023,-3962463.5027285516,10.393521002232372,-3962442.7706494704,2.965214600029867,0.5202739726027398
2,0,97,11,3224,-3962474.9155932013,-3962000.5472259927,1480.838575580588,-3957317.758803269,2.8276443000067957,0.5217153783119366
2,0,98,11,3235,-3962474.9155932013,-3962468.0574897896,9.493938877843137,-3962447.538637122,3.031330199970398,0.5231481481481481
