point_id,b,S,E,case,power_factor,q_forced_zero,j_net,b_energy,b_defer,b_arb,b_loss,cost,loss_line_total_mwh,loss_pcs_total_mwh,b_loss_share_of_gross,v_violation,i_violation,s_total_mva,power_factor_actual,loss_base_total_mwh,q_scale
P1_old_full_opt,15,0.176,0.419,A,0.850241,False,3258511.0539160687,2268242.7651756955,11497940.725760775,1908126.3600490824,360116.4051267224,10507672.4370204,940.1822797140358,3.6698142132411498,0.02615949477673458,0.0,0.0,10.000001725249996,0.8502407583122136,944.9469271119777,1.0
P1_old_full_opt,15,0.176,0.419,B,0.850241,True,3086940.6071322616,2124020.709954187,11470592.334198475,1929927.934273467,194092.77568066807,10507672.4370204,944.999027452181,5.570189981722034e-20,0.014277182811330667,0.0,0.0,10.000001725249996,0.8502407583122136,944.9469271119777,1.0
P1_old_full_opt,15,0.176,0.419,C,0.95,False,2688224.569510475,1975799.7363269846,11220097.27020389,1908125.9374695797,67673.79885734966,10507672.4370204,711.9669569909884,2.4842768981107426,0.005128397017941011,0.0,0.0,8.949904263157896,0.95,713.576532273828,0.5308962829302073
P1_old_full_opt,15,0.176,0.419,D,0.95,True,2851468.6214957647,2116901.818105521,11242239.240410645,1929927.7654880453,186974.05261757568,10507672.4370204,713.6524525033354,1.141183873893855e-19,0.013995963647556797,0.0,0.0,8.949904263157896,0.95,713.576532273828,0.5308962829302073
P2_dev_run1,17,0.303,0.404,A,0.850241,False,3470596.58060549,2552208.686732392,11451453.0655299,1963540.448170334,588668.2385620844,10533065.1716568,931.1116622750047,11.294565422640325,0.042036736460517914,0.0,0.0,10.000001725249996,0.8502407583122136,944.9469271119777,1.0
P2_dev_run1,17,0.303,0.404,B,0.850241,True,2745683.8104295507,2122084.511778949,11156664.470307402,1970437.6355036225,151646.8762755173,10533065.1716568,945.3734457079433,5.294866531680988e-19,0.011420268315945725,0.0,0.0,10.000001725249996,0.8502407583122136,944.9469271119777,1.0
P2_dev_run1,17,0.303,0.404,C,0.95,False,2149104.4322221074,1725446.6760182902,10956722.927860618,1963540.6755586513,-238093.99954034528,10533065.1716568,709.2553329381044,7.3887740555710515,-0.01877391700135622,0.0,0.0,8.949904263157896,0.95,713.576532273828,0.5308962829302073
P2_dev_run1,17,0.303,0.404,D,0.95,True,2519239.0521911886,2115789.0694381576,10936515.154409831,1970437.880464435,145351.1889738107,10533065.1716568,714.0192054718258,3.645854924771158e-20,0.01113605586270646,0.0,0.0,8.949904263157896,0.95,713.576532273828,0.5308962829302073
P3_dev_run0,31,1.045,0.405,A,0.850241,False,4659723.896328714,5329546.513315111,12122296.677371603,2016972.5737975608,3312573.939517577,12792119.294358,871.4824689587472,52.33372911479583,0.18981226815545496,0.0,0.0,10.000001725249996,0.8502407583122136,944.9469271119777,1.0
P3_dev_run0,31,1.045,0.405,B,0.850241,True,495706.85559903644,2172856.508317886,11114969.64163915,2016973.0084130694,155883.49990486645,12792119.294358,945.1628994595168,1.1792722827211668e-20,0.011731301880809937,0.0,0.0,10.000001725249996,0.8502407583122136,944.9469271119777,1.0
P3_dev_run0,31,1.045,0.405,C,0.95,False,-980560.081965616,955297.5259338226,10856261.686458562,2016972.9266596949,-1061675.4007257994,12792119.294358,691.7976399440919,30.337029212461875,-0.08988444130322074,0.0,0.0,8.949904263157896,0.95,713.576532273828,0.5308962829302073
P3_dev_run0,31,1.045,0.405,D,0.95,True,390129.75807252154,2166025.761078452,11016223.291352069,2016972.7918188781,149052.96925986296,12792119.294358,713.8135553969394,4.8524669859355016e-20,0.011307097041409699,0.0,0.0,8.949904263157896,0.95,713.576532273828,0.5308962829302073
