n_ess,unit_idx,bus,S_rated,E_rated,is_active,eta_peak,duration_h,e_over_s,annual_efc,corr_summer_avg_peak,corr_winter_avg_peak,l1norm_summer,l1norm_winter,dis_peak_hours_summer_avg,dis_peak_hours_summer_peak,dis_peak_hours_winter_avg,dis_peak_hours_winter_peak,daily_efc_summer,daily_efc_winter,daily_efc_shoulder,daily_efc_summer_peak,daily_efc_winter_peak
2,0,31,0.1545072617620868,0.31491921540807116,True,1.0541770461961915,1.8343946467946004,2.0382162742162224,301.824586675816,0.7919939659057692,0.895667024170664,0.13869243009710833,0.10368666613211942,0,0,0;10,10,1.2565963618630815,1.5021188390159637,1.0630554561311922,1.5022300893323575,nan
2,1,17,0.05669335816427606,0.12394747912556682,True,2.872964560473894,1.9676507941154628,2.1862786601282918,296.8696979474942,0.7887397273575703,0.8839403491583295,0.15175629673186727,0.11759671781235581,0,0,0;10,0;10,1.2983784671624523,1.5021068693247182,1.001312223598818,1.502229634966733,nan
