n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer
1,0,1174127800,3501502371.714284,"[9.0, 0.7805211503192695, 10.2]",99.83046569999988,0,0,2278658.794042468
1,1,500939758,3501601058.131741,"[9.0, 0.7815377363488005, 10.2]",95.00110100000074,0,0,4.730219771431621e-06
1,2,4007147622,3501515525.1254077,"[9.0, 0.7806521153068082, 10.2]",95.42867299999943,0,0,6087951.543614768
