scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero
summer,0,0,31,0.0,0.17270916532385389,0.17270916532385389,0.30964838722355487,0.35455687766141397,1.0446480415830726,0.3394031899242486,0.6544956450859724,False,0.005455431370126808,0.20228272666169136,0.4999999999999998,6.296033901525001,130.62,6.454850201237773,6.266343638090276,6.273031931120805
summer,1,0,31,3.5592093421544413e-10,0.0,-3.5592093421544413e-10,0.2717357647718953,0.2717357647718953,1.0446480415830726,0.2601218342975148,0.737316757975491,False,0.008152072932479238,0.020228837728837545,0.05000139671507727,5.770585022235,122.52,5.903238220445504,5.901809035867649,5.903238221311543
summer,2,0,31,5.956292734725629e-07,0.0,-5.956292734725629e-07,0.23749982241683518,0.23749982241758205,1.0446480415830726,0.22734912904988736,0.7715527003298043,False,0.007124976803649264,0.020228273121915316,0.05000000112650788,5.5452711824100005,111.95,5.667469805483167,5.666508584109068,5.667470429622431
summer,3,0,31,5.965715209690983e-07,0.0,-5.965715209690983e-07,0.21530678267152947,0.21530678267235595,1.0446480415830726,0.20610461524062917,0.7937457400750304,False,0.006459185583025055,0.02022827327738379,0.05000000151079298,5.4075321558,107.47,5.523563348214676,5.522846636684087,5.523563972560654
summer,4,0,31,7.898884757238872e-07,0.0,-7.898884757238872e-07,0.201186970349625,0.2011869703511756,1.0446480415830726,0.19258828078239096,0.8078655523962107,False,0.006035585413881002,0.020228274332684343,0.050000004119272135,5.325058788015,104.36,5.437477964753977,5.436892487656256,5.437478790800709
summer,5,0,31,0.38379813002258056,0.0,-0.38379813002258056,0.2184111831794528,0.4415930814071685,1.0446480415830726,0.4227194842944164,0.5674594413402179,False,0.0017338485415376403,0.020228458788248863,0.050000460054308124,5.319107101680001,104.35,5.431267945088634,5.828909444523364,5.83460942927668
summer,6,0,31,1.1313770505174566e-05,0.0,-1.1313770505174566e-05,0.21648121199073134,0.21648121228637224,1.0446480415830726,0.2072288499754558,0.7925713104610141,False,0.006494096955476017,0.38433717982379145,0.9499999979399568,5.405831673990001,107.59,5.5217877815201994,5.52108404438014,5.521799621842833
summer,7,0,31,1.1313373954575927e-05,0.0,-1.1313373954575927e-05,0.25951312824589257,0.25951312849249364,1.0446480415830726,0.24842159096878622,0.7495393942548927,False,0.007785054453556178,0.3843371803150138,0.9499999991541542,5.6838604499250005,114.98,5.812435697664656,5.811206695201787,5.812447567531804
summer,8,0,31,1.1312454535028913e-05,0.0,-1.1312454535028913e-05,0.319852260227869,0.31985226042791703,1.0446480415830726,0.306181840864995,0.6892002623194693,False,0.00959522843920147,0.38433718043149345,0.9499999994420673,6.124285238715001,127.23,6.27427359199157,6.271965295683812,6.274285509000557
summer,9,0,31,6.366820126000998e-10,0.0,-6.366820126000998e-10,0.3827638999857468,0.3827638999857468,1.0446480415830726,0.3664046499390375,0.6262886227616395,False,0.011482916980471955,0.3843371796801222,0.9499999975848369,6.693946645065001,134.5,6.874257550547764,6.870156728349677,6.874257551222117
summer,10,0,31,0.0,2.1578425803044058e-11,2.1578425803044058e-11,0.42601117209395095,0.42601117209395095,1.0446480415830726,0.40780354256766554,0.5830413506534353,False,0.012780335162171188,0.38432644739873023,0.9499734696613481,7.012786984440001,138.16,7.211382195808816,7.206025324976066,7.211382195785909
summer,11,0,31,0.0,3.7944598789686144e-10,3.7944598789686144e-10,0.4447570420467371,0.4447570420467371,1.0446480415830726,0.42574821790959066,0.5642954807006493,False,0.013342711250018745,0.38431571477618426,0.949946940894599,7.113115411230001,140.85,7.31766119806391,7.3118370823696495,7.317661197660469
summer,12,0,31,0.0,2.9790499465151046e-10,2.9790499465151046e-10,0.43837161460798657,0.43837161460798657,1.0446480415830726,0.419635702321016,0.5706809081393998,False,0.01315114842930246,0.3843049820878857,0.9499204119653234,7.071453606885001,140.59,7.2735168856649794,7.267879543452515,7.273516885348346
summer,13,0,31,6.156455542827402e-11,0.0,-6.156455542827402e-11,0.4161367697647425,0.4161367697647425,1.0446480415830726,0.3983511701549966,0.5929157529826439,False,0.01248410309109535,0.3842942497844934,0.9498938839874544,6.907357112220001,137.7,7.099801106839974,7.0948502831203,7.099801106905351
summer,14,0,31,0.0,6.294571359955884e-10,6.294571359955884e-10,0.4591837653533563,0.4591837653533563,1.0446480415830726,0.43955834604112554,0.54986875739403,False,0.013775512941716988,0.38428351814557393,0.9498673576520215,7.17433275639,142.31,7.382556015343651,7.376415287539639,7.382556014673999
summer,15,0,31,0.0,7.059123465998488e-09,7.059123465998488e-09,0.4899142864690829,0.48991428646908297,1.0446480415830726,0.46897545103005295,0.5191382362783034,False,0.014697428382298799,0.38427278609625337,0.9498408303021639,7.311221542095001,145.06,7.527796305012301,7.520928669853508,7.527796297492364
summer,16,0,31,0.0,0.17259608278192318,0.17259608278192318,0.4764087911624566,0.5067097236964548,1.0446480415830726,0.4850530547384942,0.5023427990509315,False,0.01002340922743596,0.38426204757455723,0.9498142869539667,7.386042741735001,145.39,7.607257465347377,7.412174334878159,7.423688830584687
summer,17,0,31,0.0,1.0152374068093102e-09,1.0152374068093102e-09,0.5443329626698878,0.5443329626698878,1.0446480415830726,0.5210682842471986,0.4647195600774985,False,0.016329988849639526,0.20232227412317733,0.5000977529375309,7.517830082010001,143.23,7.747347186917143,7.7392431481504325,7.747347184960408
summer,18,0,31,0.0,4.404469600573214e-10,4.404469600573214e-10,0.5415645234243383,0.5415645234243383,1.0446480415830726,0.518418167523336,0.4674879993230481,False,0.016246935689516753,0.20231662305202577,0.5000837846881286,7.505076468435001,141.5,7.733782867868868,7.7257535954293886,7.733782867398895
summer,19,0,31,0.0,2.505599893581441e-10,2.505599893581441e-10,0.5289590509558334,0.5289590509558334,1.0446480415830726,0.506351450345173,0.48009347179155293,False,0.015868771521158214,0.2023109727407417,0.5000698183169576,7.461714182280001,140.33,7.687675812933342,7.679921730467096,7.68767581266604
summer,20,0,31,0.0,2.0914010720710825e-10,2.0914010720710825e-10,0.5129266530612739,0.5129266530612739,1.0446480415830726,0.4910042738260233,0.4961258696861124,False,0.015387799585564027,0.20230532278427765,0.5000558528228265,7.408149005265,140.02,7.630744821572479,7.623328120229912,7.630744821349488
summer,21,0,31,7.902979222597951e-11,0.0,-7.902979222597951e-11,0.4660251019677895,0.4660251019677895,1.0446480415830726,0.44610728534135696,0.5430274207795969,False,0.013980753056662805,0.20229967302821789,0.5000418878240522,7.2083423925900005,137.43,7.418623991613883,7.412312236400229,7.418623991697993
summer,22,0,31,3.8760158482492346e-10,0.0,-3.8760158482492346e-10,0.40882844097962234,0.40882844097962234,1.0446480415830726,0.391355197833022,0.600224081767764,False,0.012264853217760635,0.20229402372075025,0.5000279239341027,6.8750479578300006,135.17,7.06562775451025,7.0608249496332895,7.065627754921458
summer,23,0,31,8.900056457742676e-10,0.0,-8.900056457742676e-10,0.37359232286345095,0.37359232286345095,1.0446480415830726,0.35762506412906736,0.6354601998839353,False,0.01120776965920337,0.202288374871838,0.5000139611776047,6.574062677460001,133.37,6.747743671500527,6.7440358163356375,6.74774367244199
winter,0,0,31,0.0,0.17270916383246715,0.17270916383246715,0.2791274161455743,0.32823858657356936,1.0446480415830726,0.3142097371629133,0.680813936173817,False,0.00466588268223307,0.20228272666169128,0.4999999999999996,6.578313881985001,151.61,6.752227695413273,6.562922180170357,6.569932616478837
winter,1,0,31,9.950771580513569e-11,0.0,-9.950771580513569e-11,0.2626516807702781,0.2626516807702781,1.0446480415830726,0.2514260021703123,0.7464008419771082,False,0.007879550420123118,0.020228839276025562,0.050001400539397924,6.136188611385,143.16,6.286780113855868,6.284652430869093,6.28678011423931
winter,2,0,31,5.964328025468642e-07,0.0,-5.964328025468642e-07,0.239340640744997,0.23934064074574016,1.0446480415830726,0.22911127118281904,0.7697118820016462,False,0.0071802013293881355,0.02022827438415311,0.05000000424649201,5.918526939705001,132.98,6.058293064256344,6.056670062124955,6.058293691373112
winter,3,0,31,5.993542635155452e-07,0.0,-5.993542635155452e-07,0.22534732930487517,0.22534732930567222,1.0446480415830726,0.21571603098415623,0.7837051934417141,False,0.006760401898542267,0.020228275296540824,0.050000006501720935,5.79354152667,129.41,5.927285512001881,5.9259249934813925,5.927286141468462
winter,4,0,31,0.3837983164823046,0.0,-0.3837983164823046,0.2368412926644292,0.4509932878054939,1.0446480415830726,0.43171792781236934,0.5580592349418925,False,0.002015849139695681,0.0202282789689383,0.05000001557910865,5.742527072370001,128.4,5.873853532494229,6.272022074745936,6.278768388899866
winter,5,0,31,1.1314859820765782e-05,0.0,-1.1314859820765782e-05,0.22498782784842972,0.22498782813294746,1.0446480415830726,0.2153718948173187,0.7840646946144388,False,0.0067492953981938076,0.38433717687866115,0.9499999906602193,5.789290322145,130.18,5.922831951817588,5.921490541579222,5.922843834688688
winter,6,0,31,1.1314834243631368e-05,0.0,-1.1314834243631368e-05,0.2438316443101623,0.24383164457269071,1.0446480415830726,0.23341033043357381,0.7652208781746956,False,0.007314609892153419,0.38433717837796266,0.9499999943661747,5.954237057715001,132.99,6.095749734397934,6.094056838614858,6.095761635240279
winter,7,0,31,1.131367229923114e-05,0.0,-1.131367229923114e-05,0.2807020873746072,0.2807020876026055,1.0446480415830726,0.2687049383419377,0.7283504351447808,False,0.008420723217909196,0.3843371798539067,0.9499999980143953,6.30368606967,140.92,6.462901974461078,6.460353530907009,6.462913912583579
winter,8,0,31,1.131213267606629e-05,0.0,-1.131213267606629e-05,0.336689662315737,0.3366896625057701,1.0446480415830726,0.3222996158548734,0.6723628602416163,False,0.010100350511192829,0.3843371802302403,0.9499999989446123,6.84954073068,155.88,7.038655688328098,7.034450465748429,7.038667686006339
winter,9,0,31,0.0,4.4284361525750377e-10,4.4284361525750377e-10,0.4361625429907234,0.4361625429907234,1.0446480415830726,0.41752104596851325,0.5728899797566629,False,0.013084876276436406,0.3843371791505356,0.9499999962758112,7.490622373050001,171.35,7.718411850437494,7.711367093946557,7.718411849965207
winter,10,0,31,0.0,0.3454044082190429,0.3454044082190429,0.3658028511238996,0.5031062821189187,1.0446480415830726,0.4816036235098907,0.5059462406284676,False,0.004731056216996279,0.38432644576206265,0.9499734656158529,7.5356851410150005,177.93,7.766339847930745,7.386396302671101,7.399296960914339
winter,11,0,31,0.0,7.972220232838917e-10,7.972220232838917e-10,0.41254001043966076,0.41254001043966076,1.0446480415830726,0.39490813558075744,0.5965125123077255,False,0.012376200289273174,0.020233908357373136,0.050013930233433666,7.3647867191100005,172.76,7.584677857323597,7.578288122478436,7.5846778538733
winter,12,0,31,3.731069594103059e-11,0.0,-3.731069594103059e-11,0.36927668934667585,0.36927668934667585,1.0446480415830726,0.3534938798976442,0.6397758334007104,False,0.011078300679280964,0.020233342418915404,0.050012531353590906,7.103762761275001,168.65,7.307749826235482,7.302563119379654,7.307749826275165
winter,13,0,31,1.034352683036483e-08,0.0,-1.034352683036483e-08,0.32386390423208095,0.3238639042320811,1.0446480415830726,0.31002202784135197,0.6851886185153052,False,0.009715916816656638,0.02023277735371969,0.05001113463226665,6.716052908595001,160.75,6.897600922563718,6.893820197314671,6.897600933520326
winter,14,0,31,1.1385670067384445e-09,0.0,-1.1385670067384445e-09,0.34693779726728424,0.34693779726728424,1.0446480415830726,0.332109747452865,0.6621147254801021,False,0.010408133883861526,0.02023222212401984,0.05000976222220225,6.9430672302300005,164.01,7.137583026223181,7.1330360834386655,7.137583027431755
winter,15,0,31,6.13606099100664e-10,0.0,-6.13606099100664e-10,0.363279407618348,0.363279407618348,1.0446480415830726,0.3477529207519787,0.6457731151290383,False,0.010898382210142266,0.020231658170221344,0.05000836824801621,7.062951197835001,165.6,7.2645098514174515,7.259492672087395,7.264509852069532
winter,16,0,31,1.2745733390950548e-10,0.0,-1.2745733390950548e-10,0.3826004325411349,0.3826004325411349,1.0446480415830726,0.36624816905925317,0.6264520902062514,False,0.011478012972410337,0.020231093730556857,0.05000697307287248,7.188786851775001,167.93,7.397883568799766,7.39232645604502,7.397883568935349
winter,17,0,31,1.5821576559015878e-11,0.0,-1.5821576559015878e-11,0.4137175050013341,0.4137175050013341,1.0446480415830726,0.39603530426801115,0.5953350177460522,False,0.012411525149565386,0.0202305288338299,0.05000557676796726,7.37498960997,168.53,7.595515532444161,7.589081207810987,7.595515532461026
winter,18,0,31,3.9589394043841393e-10,0.0,-3.9589394043841393e-10,0.41345030139954475,0.41345030139954475,1.0446480415830726,0.3957795208929862,0.5956022213478416,False,0.012403509030109536,0.020229963846742038,0.05000418023970905,7.37158864635,166.68,7.591902859716822,7.585482179335152,7.591902860138885
winter,19,0,31,9.853006566638813e-10,0.0,-9.853006566638813e-10,0.395665608511171,0.395665608511171,1.0446480415830726,0.3787549421062183,0.6133869142362154,False,0.01186996822577612,0.020229399261454117,0.05000278470461508,7.27126021956,164.82,7.485378611332841,7.479448081725639,7.485378612382082
winter,20,0,31,4.0402273233620205e-09,0.0,-4.0402273233620205e-09,0.3695776052857609,0.36957760528576095,1.0446480415830726,0.3537819347516303,0.6394749174616254,False,0.011087328037366019,0.020228835278321287,0.05000139065792079,7.108864206705,162.31,7.313155926822502,7.307951891079433,7.313155931118205
winter,21,0,31,5.972462197708984e-07,0.0,-5.972462197708984e-07,0.3399465779138846,0.33994657791440924,1.0446480415830726,0.32541733137148277,0.669105944832977,False,0.010198379420045693,0.02022827424475103,0.05000000390191963,6.886101089595,158.05,7.077317539018657,7.072979876456116,7.0773181726784005
winter,22,0,31,5.962361360601834e-07,0.0,-5.962361360601834e-07,0.3151653928798676,0.3151653928804316,1.0446480415830726,0.30169528906867626,0.6938871298669547,False,0.009454943899328874,0.020228276025048227,0.05000000830243674,6.655685804340001,152.64,6.83386629522897,6.830296237882184,6.833866926445357
