n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss_avg,b_arb_total,b_loss_total,cost,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,cross_effect_pct_avg_max,cross_effect_pct_peak_max,cross_effect_mw_avg_total,cross_effect_mw_peak_total,cross_effect_won_avg_annual,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s
1,0,42,-3962475.1062283833,"[31.0, 0.21082667280794434, 0.4407797567842773]",1014.7118894000014,0,23,-4.8653689077582385e-06,3962475.106224308,2685537.7470550784,12408156.263868881,1962009.4586796388,711355.1858613124,1968305.5667259367,717232.1803291527,11131218.904699652,0.0,0.0,0.0,0.0,True,92.6207413226366,0.00042543995052385586,0.00013147480475679473,0.11913347334904181,0.11644237538254174,0.010900454660249359,0.011266135114024856,113447.97158689289,0.5860215053763441,369600,46200,2228.404315100648
1,1,43,-3962475.510037964,"[31.0, 0.2107564121278051, 0.44078221284256985]",841.5850871000002,0,29,-7.298053361637358e-06,3962475.51025963,2685407.4717764636,12408133.771193549,1961945.4135790318,711290.504119031,1968240.8217566358,717166.6500197088,11131065.732710382,0.0,0.0,0.0,0.0,True,90.24992205761373,0.00014300557682199577,5.471245103093325e-05,0.11910875246635444,0.11639028626350256,0.010898396517040165,0.011261710685865012,113426.90723601874,0.7407002188183808,227520,28440,1413.144387301043
1,2,44,-3962475.187489528,"[31.0, 0.21066687855596408, 0.440785698448847]",886.3111031000008,0,34,-7.298053361637358e-06,3962475.1776354965,2685242.888111005,12408111.307745703,1961865.227700246,711208.0625317723,1968159.7491364803,717083.1389742987,11130879.01822121,0.0,0.0,0.0,0.0,True,90.14275592565536,6.690960681896544e-05,8.69309927638869e-05,0.11907725436662175,0.11632399590009403,0.010895773912235285,0.01125597273859924,113400.06399319222,0.7319587628865979,224640,28080,1375.365090400359
