n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss,b_arb_total,b_loss_total,cost,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s
1,0,1174127800,-0.044832835050037545,"[19.0, 0.0, 0.0]",256.1935539999977,0,171,-7.838649906943829e-06,0.019079902080955335,0.01907179313277574,8.108948179597064e-06,0.0,0.019071514298026726,0.0,0.01907159095076602,0.0,0.0,0.0,0.0,0.0,True,nan,nan,nan,0.0,86400,10800,544.1868202032056
1,1,500939758,-0.03986806218927086,"[14.0, 0.0, 0.0]",254.86783269996522,0,177,-5393278.478679291,0.019069422453837248,0.019069827901246228,-4.054474089798532e-07,0.0,0.01906998293414433,0.0,0.019069989714271485,0.0,0.0,0.0,0.0,0.0,True,nan,nan,nan,0.0,81600,10200,556.731748998398
1,2,4007147622,-2991904.632356625,"[16.0, 0.15018212110054674, 0.4358017280776617]",1169.2702016999829,0,58,-67798.58955217105,2991904.632349532,1583723.3191068762,12238171.424252605,1803436.7771216,-202952.10539937616,1786894.7747194304,-203171.45561264825,10829990.11100995,0.0,0.0,0.0,0.0,True,182.00082753039896,0.0032546881301484267,0.00025481982196823294,0.046218487394957986,653760,41656,4248.541317097435
