n_ess,run,gen,batch_size,eval_cumulative,gbest_f,mean_f,std_f,worst_f,elapsed_s,coef_cache_hit_rate_cumulative
2,0,0,72,72,28035387.052473616,228269821.67200264,125461443.70645678,685976814.4108214,240.61728239999502,0.015625
2,0,1,72,144,-420346.0448343996,167280380.44426954,119137105.25147319,530614162.39842993,222.63324500000454,0.0398406374501992
2,0,2,69,213,-420346.0448343996,100815727.91883187,76614675.74228123,306159006.28481746,189.69269580001128,0.05099150141643059
2,0,3,68,281,-420346.0448343996,63188882.177178636,55130784.97005078,314797325.3251165,174.8322659000114,0.04954954954954955
2,0,4,67,348,-420346.0448343996,33400093.02363187,35708496.92619475,168851334.1687678,140.48841930000344,0.04678362573099415
2,0,5,65,413,-420346.0448343996,28168855.09799172,34267511.20198842,171420142.32218677,99.7574839000008,0.04488330341113106
2,0,6,64,477,-480679.056259562,18738026.674810696,22023671.930411294,93347161.87031992,97.00697909999872,0.041666666666666664
2,0,7,63,540,-736826.5364628471,16194701.310995266,22234222.16445057,134027789.32022814,94.78551039999002,0.04354587869362364
2,0,8,62,602,-3121129.82780735,7188770.910739091,9711313.496218944,58098868.2766716,83.83788479998475,0.04411764705882353
2,0,9,61,663,-3121129.82780735,4128845.077448262,6330959.076842875,42047139.561327964,94.13244670000859,0.04426002766251729
2,0,10,59,722,-3463555.906470904,2890642.1801885148,5084826.200622066,30690905.298633177,80.45369709999068,0.045992115637319315
2,0,11,58,780,-3481116.112623621,3192662.524307615,4545125.651708374,18583544.423672132,89.81430450000335,0.04975124378109453
2,0,12,57,837,-3824726.112241313,2535519.43296515,5840156.912608609,24992297.621125665,106.29090700001689,0.056009334889148193
2,0,13,56,893,-3824726.112241313,3794403.484829977,6390387.838054086,26163498.215521157,95.98235219999333,0.06090808416389812
2,0,14,55,948,-3824726.112241313,3019339.6939806603,6116344.803723911,23018894.47271457,97.24454929999774,0.06792058516196448
2,0,15,54,1002,-3824726.112241313,1452253.5022003453,5509214.5190777015,18822555.81591769,112.80857470000046,0.07571288102261553
2,0,16,53,1055,-3824726.112241313,1564813.290896101,5281644.8569121035,19655260.920890275,89.8758594999963,0.08886810102899906
2,0,17,52,1107,-3824726.112241313,1666278.7459018766,5778178.089448443,20994425.489755742,110.59711030000472,0.0936663693131133
2,0,18,51,1158,-3824726.112241313,1024362.5178041586,5388652.451961095,22207943.03601856,102.39722000001348,0.10042553191489362
2,0,19,50,1208,-3824726.1122610215,1397441.0250504727,5564988.617384375,20252062.145392332,92.08237910000025,0.11228641171684296
2,0,20,49,1257,-3862869.9501483515,1765943.0832755757,5598899.748314122,20149344.27223542,92.99686290000682,0.12402496099843993
2,0,21,48,1305,-3862869.9501483515,1476298.3308465194,6988700.925900421,25439220.479023166,92.83956589997979,0.1348314606741573
2,0,22,47,1352,-3862869.9501483515,1312166.071615217,7847388.7857493665,27200092.4109445,83.27370940000401,0.15201729106628242
2,0,23,46,1398,-3862869.9501483515,809532.7922926869,4797847.489536836,15881592.395866634,84.99760219999007,0.16238723108952116
2,0,24,46,1444,-3862869.9501483515,729636.4951371991,5799554.8558349665,18713772.22886766,80.33390929998131,0.1765886287625418
2,0,25,45,1489,-3862869.9501483515,-542414.0412820008,3184774.4131685942,8504304.1862132,80.91440779998084,0.19044544867656552
2,0,26,44,1533,-3891140.841142511,-927150.1907253563,3630527.335098161,10563716.958711896,79.86960289999843,0.2031152647975078
2,0,27,43,1576,-3952199.5442209058,249564.90868129162,5482610.586195095,16839247.236917548,76.03453619999345,0.21592279855247287
2,0,28,42,1618,-3952199.5442209058,-311814.7506547438,5307389.664340338,22405051.582313035,69.3864978000056,0.22892271662763466
2,0,29,41,1659,-3952199.5442209058,1011119.8194427363,4906001.825730492,10317866.850771543,72.36718210001709,0.24034090909090908
2,0,30,41,1700,-3952199.5442209058,130590.39473533757,5080152.940334405,16253089.31840762,76.63901099999202,0.2513842746400886
2,0,31,40,1740,-3952199.5442209058,-182436.79866069567,4897975.2682557525,14485467.433751682,71.22378420000314,0.26344086021505375
2,0,32,39,1779,-3952199.5442209058,-1271529.963614645,3317112.2084955215,8920972.223465838,71.91318159998627,0.2765290120230005
2,0,33,38,1817,-3952199.5442209058,523645.5091766381,5074822.750965938,15036726.657492194,77.5757009999943,0.28396946564885495
2,0,34,38,1855,-3952199.5442209058,-1105431.0142810103,5935792.9702752,29353115.465392742,70.76089500001399,0.29589312221672437
2,0,35,37,1892,-3952199.5442209058,-1443585.2561183812,4140573.241326792,11271634.631936535,72.55485759998555,0.3045366795366795
2,0,36,36,1928,-3952199.5442209058,-2149963.84959465,2494693.719563569,9353330.114669712,77.47370810000575,0.31373471307619943
