scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero,v_lindistflow,mu_penalty_active,recompute_p_shift_mw,recompute_p_shift_frac_s,recompute_coef_delta_max,recompute_jnet_delta_won
summer,0,0,32,0.0,0.188137329911441,0.188137329911441,0.10096908115874131,0.21351910981513314,0.21358313449208763,0.9997002353340926,-3.0256996061406305e-07,True,0.0006345444975923041,0.22035270665650744,0.5,7.034750000000001,130.62,7.185512271970117,6.984537891443743,6.986397961397957,0.9862850044963514,False,0.188137329911441,0.8808622944823891,0.11183073132485327,0.003371285148918504
summer,1,0,32,0.0,2.345667475388833e-13,2.345667475388833e-13,6.805804271118258e-12,6.809845323927886e-12,0.21358313449208763,3.188381582713481e-11,0.21351880723836267,False,1.6438196440972522e-13,0.022035886032198287,0.050001396321735454,6.447649999999999,122.52,6.573632573047587,6.573632573595425,6.573632573515316,0.9859718230337845,False,2.345667475388833e-13,1.0982456461119734e-12,1.1129478595928223e-05,-8.830249428402535e-09
summer,2,0,32,6.486232530874248e-07,0.0,-6.486232530874248e-07,1.6814733314501174e-06,1.8022387990562378e-06,0.21358313449208763,8.438113820841052e-06,0.21351700500637347,False,2.884038864922035e-08,0.022035270665650714,0.04999999999999993,6.1959,111.95,6.311975827253596,6.311976501818379,6.311976510324499,0.9873224724165632,False,6.486232530874248e-07,3.0368655026525683e-06,4.1417079135694574e-07,3.344141568334714e-08
summer,3,0,32,0.023595941724561687,0.0,-0.023595941724561687,0.039549557822990807,0.04605362081164742,0.21358313449208763,0.2156238643147805,0.1674651864335251,False,0.0005614419771771438,0.02203527066565025,0.04999999999999888,6.042,107.47,6.152230182343842,6.176775186423405,6.177053226037332,0.9882558273961107,False,0.023595941724561687,0.11047661502240862,0.015348659262456966,-0.08414456366073667
summer,4,0,32,0.19077764605387565,0.0,-0.19077764605387565,0.09602939709070948,0.21358313449208252,0.21358313449208763,0.9999999999999761,-6.432724690999536e-05,True,0.0005701372109551724,0.04442012523086076,0.10079323713528106,5.94985,104.36,6.056656131750002,6.256231089549702,6.2576446580982745,0.9871949291739887,False,0.19077764605387565,0.8932243011956694,0.13307855312162215,0.010108838882230547
summer,5,0,32,0.1907776460538899,0.0,-0.1907776460538899,0.09602939709068,0.213583134492082,0.21358313449208763,0.9999999999999736,-6.4327246909468e-05,True,0.0005701372109548032,0.2254096375820581,0.5114746285677206,5.9432,104.35,6.04976122818321,6.249326897353804,6.250737864903187,0.9872305860217852,False,0.1907776460538899,0.893224301195736,0.13320903384205962,0.010083430978228766
summer,6,0,32,0.012951824362985667,0.0,-0.012951824362985667,0.02286316741893404,0.026276875361348352,0.21358313449208763,0.12302879356011044,0.18724193188382418,False,0.00033312627495906745,0.40639409568656987,0.9221445514623731,6.040100000000001,107.59,6.150259008515443,6.163725608192604,6.163882204903588,0.9882290051085598,False,0.012951824362985667,0.06064066993766064,0.008451000425827556,0.025489063109936
summer,7,0,32,1.2323841838271292e-05,0.0,-1.2323841838271292e-05,3.7304802510035585e-05,3.928772541096625e-05,0.21358313449208763,0.00018394582280288475,0.21347951951976157,False,6.740970893173746e-07,0.41867014264736474,0.9500000000000014,6.35075,114.98,6.4728686591927795,6.472881479746192,6.472881655474881,0.9864921410105647,False,1.2323841838271292e-05,5.7700444689034375e-05,7.703416268799624e-06,2.2125215367964936e-09
summer,8,0,32,1.232384183780446e-05,0.0,-1.232384183780446e-05,0.030898870867890154,0.030898873325537753,0.21358313449208763,0.14466906948911,0.18261993391963477,False,0.0007721637370924994,0.41867014264736496,0.9500000000000018,6.84285,127.23,6.985253043091473,6.985298714389076,6.985266096881378,0.9841699176974282,False,1.232384183780446e-05,5.770044468684866e-05,7.221349488111178e-06,6.666289858221633e-06
summer,9,0,32,1.2323841831911496e-05,0.0,-1.2323841831911496e-05,0.12816400682037116,0.1281640074128818,0.21358313449208763,0.6000661415409172,0.08535479983229072,False,0.00320379208927625,0.41867014264736485,0.9500000000000016,7.47935,134.5,7.650457756139371,7.650450402915568,7.650470885634858,0.9817577492916436,False,1.2323841831911496e-05,5.77004446592577e-05,6.696995032755275e-06,7.64261946090139e-06
