scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero,v_lindistflow,mu_penalty_active,recompute_p_shift_mw,recompute_p_shift_frac_s,recompute_coef_delta_max,recompute_jnet_delta_won
summer,0,0,16,0.0,0.1447419338270987,0.1447419338270987,0.04005548764215753,0.15018212110054663,0.15018212110054674,0.9999999999999992,-4.523204703976713e-05,True,0.00013600468183619802,0.21790086403883085,0.5,7.034750000000001,130.62,7.185512271970117,7.030363251233799,7.031072155360752,0.9835885831109813,False,0.1447419338270987,0.9637760657954363,0.13849453126539318,0.009876499202964122
summer,1,0,16,0.0,0.0413002800684707,0.0413002800684707,0.14436433017279676,0.15015582892440238,0.15018212110054674,0.9998249313836315,-1.8939870895517963e-05,True,0.0027213887213982943,0.06532607044216679,0.14989860350100634,6.447649999999999,122.52,6.573632573047587,6.530148241125201,6.529734336246604,0.9866372922204206,False,0.0413002800684707,0.2750013101813912,0.045261669812796605,-5.902186656758096e-05
summer,2,0,16,2.348323789357322e-16,0.0,-2.348323789357322e-16,0.1501368890535062,0.1501368890535062,0.15018212110054674,0.9996988186961998,6.661338147750939e-16,True,0.003753422226337653,0.021790694922832463,0.050001396320643474,6.1959,111.95,6.311975827253596,6.313524427098175,6.311975827267665,0.9873582153053825,False,2.348323789357322e-16,1.5636507009946425e-15,2.86620927075419e-06,0.00015465761407486636
summer,3,0,16,0.07169796225000828,0.0,-0.07169796225000828,0.1319150680619326,0.15014054406651098,0.15018212110054674,0.9997231559007751,-3.6550130041168583e-06,True,0.001961064545412569,0.021790086403883514,0.05000000000000098,6.042,107.47,6.152230182343842,6.228256798656301,6.228304699080152,0.986511698309567,False,0.07169796225000828,0.47740677601701065,0.09093150097176056,-0.0814788604843126
summer,4,0,16,0.13729796024237045,0.0,-0.13729796024237045,0.06086000009483767,0.15018212110054638,0.15018212110054674,0.9999999999999976,-4.523204703951733e-05,True,0.0003221040214543984,0.08980933468851043,0.2060784271890405,5.94985,104.36,6.056656131750002,6.201682261693759,6.2024008819879075,0.9845538553379118,False,0.13729796024237045,0.914209755703541,0.17394586162319484,0.007013217824746662
summer,5,0,16,0.13729796024237076,0.0,-0.13729796024237076,0.060860000094837,0.15018212110054638,0.15018212110054674,0.9999999999999976,-4.523204703951733e-05,True,0.00032210402145439076,0.22006140158792675,0.504957615837427,5.9432,104.35,6.04976122818321,6.1947788392806595,6.19549607434112,0.9845922433898343,False,0.13729796024237076,0.9142097557035431,0.17411907495111442,0.006994125976948675
summer,6,0,16,0.06715673361614194,0.0,-0.06715673361614194,0.13431982708361942,0.150172709963438,0.15018212110054674,0.9999373351698607,-3.582090993115017e-05,True,0.002075399408682404,0.35030983111592545,0.8038284580952804,6.040100000000001,107.59,6.150259008515443,6.221549632614671,6.221506845264792,0.9866531473000576,False,0.06715673361614194,0.44716863181856775,0.08147283604808984,0.07486746716922607
summer,7,0,16,1.2186715677973398e-05,0.0,-1.2186715677973398e-05,0.1501368890535063,0.1501368895481084,0.15018212110054674,0.9996988219895492,-4.946015264017944e-10,True,0.0037531175708107635,0.4140116416737787,0.9500000000000002,6.35075,114.98,6.4728686591927795,6.4743560478632505,6.472881611029807,0.9864661975216005,False,1.2186715677973398e-05,8.11462482262746e-05,1.3849904486225493e-05,2.3964151048185695e-06
summer,8,0,16,1.2186715677980698e-05,0.0,-1.2186715677980698e-05,0.15013688905350647,0.15013688954810858,0.15018212110054674,0.9996988219895504,-4.946017206908238e-10,True,0.0037531175708107683,0.4140116416737787,0.9500000000000002,6.84285,127.23,6.985253043091473,6.986502878191006,6.985266060780404,0.9836268470992098,False,1.2186715677980698e-05,8.11462482263232e-05,1.2968861264764604e-05,2.446668264889304e-06
summer,9,0,16,4.083214013886564e-17,0.0,-4.083214013886564e-17,0.15013688905350658,0.15013688905350658,0.15018212110054674,0.9996988186962024,2.7755575615628914e-16,True,0.003753422226337667,0.4140116416737787,0.9500000000000002,7.47935,134.5,7.650457756139371,7.651380704809364,7.65045775613963,0.9799423710471955,False,4.083214013886564e-17,2.7188416197377163e-16,4.458639575772568e-09,-4.028275109313473e-10
summer,10,0,16,-0.0,0.0,0.0,0.1501368890535066,0.1501368890535066,0.15018212110054674,0.9996988186962026,2.498001805406602e-16,True,0.0037534222263376684,0.41400008013661505,0.9499734706486489,7.8355999999999995,138.16,8.024006123412613,8.024749747173052,8.024006123412546,0.9778739674131123,False,0.0,0.0,0.0,6.590908374626281e-13
summer,11,0,16,0.0,9.273619909160524e-17,9.273619909160524e-17,0.1501368890535066,0.1501368890535066,0.15018212110054674,0.9996988186962026,2.498001805406602e-16,True,0.0037534222263376667,0.41398851892231453,0.9499469420381463,7.9477,140.85,8.141734210688744,8.142420880811429,8.141734210688742,0.9772222041841331,False,9.273619909160524e-17,6.174916056054267e-16,6.966431612677628e-07,4.909589307990417e-05
summer,12,0,16,0.0,7.167989567714048e-17,7.167989567714048e-17,0.1501368890535066,0.1501368890535066,0.15018212110054674,0.9996988186962026,2.498001805406602e-16,True,0.0037534222263376667,0.41397695803086815,0.9499204141684718,7.90115,140.59,8.092836335878602,8.093546687063505,8.092836335878554,0.9774929043881916,False,7.167989567714048e-17,4.772864782562958e-16,5.887640530751008e-10,-2.0681367820553354e-08
summer,13,0,16,-0.0,0.0,0.0,0.15013688905350658,0.15013688905350658,0.15018212110054674,0.9996988186962024,2.7755575615628914e-16,True,0.003753422226337668,0.41396539746226696,0.9498938870396048,7.7178,137.7,7.900387440847766,7.901190641582521,7.900387440847744,0.978558403371457,False,0.0,0.0,0.0,4.180249896235111e-13
summer,14,0,16,0.0,3.9830879287009797e-16,3.9830879287009797e-16,0.15013688905350664,0.15013688905350664,0.15018212110054674,0.9996988186962027,2.220446049250313e-16,True,0.0037534222263376597,0.4139538372165021,0.9498673606515249,8.0161,142.31,8.213611994824772,8.214263788583057,8.213611994824719,0.9768243045195294,False,3.9830879287009797e-16,2.6521718427683594e-15,6.169577471804592e-07,-4.398822644717613e-05
summer,15,0,16,0.0,0.0740244959956895,0.0740244959956895,0.13067150986670092,0.15018212110054635,0.15018212110054674,0.9999999999999974,-4.5232047039489576e-05,True,0.001903940627621423,0.413942277293564,0.9498408350042102,8.16905,145.06,8.374458917452944,8.293382820330043,8.294405623490182,0.9771016205915167,False,0.0740244959956895,0.4928981922297541,0.0731909160693248,-0.007769505426999286
summer,16,0,16,0.0,0.08647609553418781,0.08647609553418781,0.12278662141870811,0.1501821211005462,0.15018212110054674,0.9999999999999964,-4.52320470393508e-05,True,0.0015926506391589616,0.3359034213977876,0.7707712011135675,8.252650000000001,145.39,8.462445671960106,8.36763955374366,8.368868828628814,0.9767344636916586,False,0.08647609553418781,0.5758081914177532,0.08621937357481788,-0.005576202017599681
summer,17,0,16,0.0,0.025422907035506453,0.025422907035506453,0.14800854283060663,0.15017607317071358,0.15018212110054674,0.9999597293619983,-3.918411720671422e-05,True,0.003118829153380181,0.24474183750439257,0.5615898738721351,8.3999,143.23,8.617543845835959,8.589765767191135,8.589952956614464,0.9750667197671488,False,0.025422907035506453,0.16928051654354948,0.023008125439813485,-0.000254066369890513
