n_ess,run,gen,gbest_f,mean_f,std_f,worst_f,elapsed_s
2,0,0,58207374.03869817,449658066.3588214,890902326.422424,4902859369.98379,12.669467600000644
2,0,1,58207374.03869817,494421880.1697783,1375581299.568537,7941276091.91989,3.346418699999049
2,0,2,37335696.06170791,356336237.0874694,770714242.0293067,4008218133.2798114,3.0678848000025027
2,0,3,12809648.995801907,318981964.140674,991106678.1271242,5585847715.85912,2.927040999999008
2,0,4,4520690.381057363,151780608.3588472,430543120.6315542,2167917859.4852743,2.722682100000384
2,0,5,4520690.381057363,15590418.31415943,21238881.184578776,94806934.17142892,2.309300200002326
2,0,6,4520690.381057363,12509975.734976897,17577517.127408154,91215933.69517417,2.229569300001458
2,0,7,4520690.381057363,11021597.600015298,12000418.400721673,69114488.05459794,2.2903771999990568
2,0,8,4520690.381057363,7827221.789826179,2888445.8593221274,19460030.12615434,2.41327530000126
2,0,9,3839290.2731125187,7423979.120536266,3739712.135456765,23159911.852966603,2.7551644999985
2,0,10,3142783.6530614197,5359282.776021334,2409002.3556594285,15724449.561614877,2.9478951999990386
2,0,11,2025203.3324669525,7013284.542261674,5637724.605072299,30391351.215262745,2.82642130000022
2,0,12,1869548.4857683536,5654200.703462742,5196623.102027953,23947923.116439443,2.9995047000011255
2,0,13,555950.5062712654,3545554.778112568,3363795.493145068,20269993.868909683,3.0880383999974583
2,0,14,-200426.40537401475,2843528.6336149336,3913031.6302852514,20640461.170437638,2.977751599999465
2,0,15,-1128312.7501693256,3935083.374383141,4604351.246041087,13627968.57977539,2.971421800000826
2,0,16,-2054040.0753992312,1186898.3638893035,3516925.606553051,15231979.055796197,3.04462610000337
2,0,17,-2658370.488642957,116063.18399141202,4124078.4048596285,18303179.218307607,3.027459600001748
2,0,18,-3051841.9700642955,1350816.5446821398,4517832.753549571,12926862.202498052,2.942205899998953
2,0,19,-3051841.9700642955,337274.203993875,4825638.012115642,13377691.30626454,3.074304099998699
2,0,20,-3051841.9700642955,-1105214.3003246568,2617503.8374572247,8822747.73158661,2.974171000001661
2,0,21,-3051841.9700642955,-1385601.3439365225,2751920.5792735196,10601530.290671604,3.0284491999991587
2,0,22,-3074385.8095409013,-1267030.9593433999,3606271.196373742,11358189.554289183,3.0410369999990507
2,0,23,-3074385.8095409013,-2073949.4914078086,1666930.1068851345,4794357.480914835,2.9721093000007386
2,0,24,-3074385.8095409013,-2338733.317779202,1834529.4096555854,6030982.218872182,3.051324600000953
2,0,25,-3074385.8095409013,-2361806.077710735,1573496.2850473246,4903640.505857866,3.0394483000018226
2,0,26,-3074928.4887591917,-1807098.2958245263,2923321.2792881583,10115537.188158445,3.0377083999992465
2,0,27,-3080655.1707096454,-2368813.1290431055,2028470.4157276733,7853687.3809023565,3.0623855000012554
2,0,28,-3080655.1707096454,-2170231.3076148387,1851084.4023490525,4089714.095504758,3.1338126999980886
2,0,29,-3087175.4040382914,-2401165.0343106026,2414994.5163793964,9944354.190119851,3.0105148000002373
2,0,30,-3088005.4543388337,-1949107.3838062768,3180250.6678176094,10066023.172915915,3.1052490000001853
2,1,0,21412944.91043509,506445820.8201765,915784781.6702778,4469964901.399775,3.2486900000003516
2,1,1,8062501.997636832,371718678.0995144,535642501.0146206,2981973660.3143144,3.6866939999999886
2,1,2,4435955.383574144,544973707.9864724,1035415836.3959898,3776912508.572523,3.6011688000035065
2,1,3,3047582.1307156496,130653829.8935022,462690494.27060056,2654833596.199999,3.0307843999980832
2,1,4,2678392.3326806454,11728455.629176218,18173065.33366478,97387665.08447331,2.6415664999985893
2,1,5,1806332.1747278608,5944768.351192738,4813606.112434423,30386431.82105803,2.4875291000025754
2,1,6,1806332.1747278608,4201458.111834709,1136992.3099832858,6442435.272892309,2.453377800000453
2,1,7,923781.1750465231,3266632.6127857594,1104215.4160999325,5050241.639075136,2.5503475999976217
2,1,8,-602656.6215894278,2085254.298233252,1605003.3965727775,4945070.02812335,2.741184399998019
2,1,9,-2640887.4857581947,2061445.7265834692,4239498.949550666,14390914.426756293,2.899777399998129
2,1,10,-2782328.722450286,5713382.466422988,6228012.528999175,16396995.057110107,2.7158161999977892
2,1,11,-2782328.722450286,3416180.539354824,7558795.035468672,22688015.059753135,2.929725400001189
2,1,12,-2824744.4177948423,-873917.5527011363,2143442.286432944,5780630.754044066,3.062973999996757
2,1,13,-2866973.2377728,-662917.6930654916,2296378.4095993787,7637399.266757971,2.9149189999989176
2,1,14,-2978523.273009261,-531598.1838683585,3271263.047132015,9526871.138171624,3.0400583000009647
2,1,15,-2978523.273009261,623708.3870285104,4934655.524709562,17727310.82958952,3.0196949999990466
2,1,16,-3045590.482571287,193483.26485656056,3796919.565673667,10579810.095077408,2.967655199998262
2,1,17,-3045590.482571287,-359452.0137896328,3535997.8652384114,15447021.73716648,3.0352978999981133
2,1,18,-3080939.9168433174,-851212.126069598,2802883.237619476,7745464.688253645,3.0393685000017285
2,1,19,-3080939.9168433174,-1373972.2709868166,2299652.891844245,9398380.142018313,2.9622462000006635
2,1,20,-3080939.9168433174,-1542766.9163751532,2391713.7747971946,9917761.018881068,3.0219833999981347
2,1,21,-3080939.9168433174,-1068581.9148672014,3750889.1276152134,14811880.896658693,2.9577701999987767
2,1,22,-3080939.9168433174,-53563.67287660387,4495733.307145866,12862295.690132529,3.048726600001828
2,1,23,-3080939.9168433174,-1957319.2382708776,2382450.5807673973,8859171.793559004,3.020377799999551
2,1,24,-3080939.9168433174,-2313243.5047147945,1047193.1856841729,1409536.5724398326,3.0372306000026583
2,1,25,-3081415.6737522446,-2051706.7560755487,2503674.240205223,11110247.43459573,2.9916216999990866
2,1,26,-3081415.6737522446,-2315111.8449229524,1821307.2198734886,5156677.889512217,3.1125745000026654
2,1,27,-3085137.6110611577,-2590887.427634498,1804198.5286664786,7336650.713467213,3.043780300002254
2,1,28,-3086835.4780680034,-1895988.0949764517,3059267.005047217,13082405.092943596,3.0493924000002153
2,1,29,-3086835.4780680034,-2713010.0764626083,703717.238255614,569384.1081747812,3.0148965000007593
2,1,30,-3086835.4780680034,-2742313.8965454586,653251.8020614262,3980.3784058764577,2.9880750000011176
2,2,0,27299433.190669715,481187415.2958407,840644157.5098472,4344364325.233041,3.669626099999732
2,2,1,7700528.465042748,285790735.39191467,612512458.3188145,3652617280.549087,3.6651312000030885
2,2,2,4010158.355549749,114145411.78839652,196494112.0360698,1171987482.678268,3.480870199997298
2,2,3,-1624135.7335974202,35912388.456259735,34777872.930060685,110398185.94802275,3.0205409999980475
2,2,4,-2709225.2083422802,11854853.913894035,17606799.818978462,65773504.911748715,2.6551786000018183
2,2,5,-2709225.2083422802,1860006.75330741,3986288.1047225795,17195796.14878331,2.622340699999768
2,2,6,-2709225.2083422802,1678469.8296961992,5121916.900198108,23304651.3471417,2.6554663999995682
2,2,7,-2709225.2083422802,941043.02824987,4383967.277563905,20032907.99877099,2.74855960000059
2,2,8,-2709225.2083422802,576491.3579869987,4198443.910210507,19682251.641420364,2.902168900000106
2,2,9,-2829449.8012040537,799191.9516081123,5024821.119511032,20893967.314324677,2.905669800002215
2,2,10,-2947609.846546108,1010058.1046322151,5891210.638483152,23768830.595307704,2.9882156000021496
2,2,11,-3019795.643196948,2426147.492756157,5934180.82911195,18700395.47100381,2.7876329999999143
2,2,12,-3019795.643196948,1853692.6821046881,4896744.260684181,15914961.823246695,2.845168799998646
2,2,13,-3019795.643196948,-547274.979490402,2379058.6760205263,8374487.3623207845,2.993948700001056
2,2,14,-3019795.643196948,604280.155303485,4181025.4162321906,13392996.667956546,2.8332453000002715
2,2,15,-3068980.9486756604,815945.6599381671,5492192.262246486,19216326.068796147,3.021411600002466
2,2,16,-3068980.9486756604,154807.8331255863,4739667.321862588,16517724.669958733,3.3170141000009608
2,2,17,-3068980.9486756604,96833.29788551806,4260637.787733475,13452109.8146803,3.288301299999148
2,2,18,-3068980.9486756604,-991138.9987871042,3260682.661132868,14325983.760143911,3.0609761999985494
2,2,19,-3068980.9486756604,-1031781.2251097993,3049058.789409269,11157862.05779384,3.0969371999999566
2,2,20,-3068980.9486756604,-259087.6860679502,4377419.76690488,16543695.539558109,2.9784001000007265
2,2,21,-3084702.598707216,-1336039.417288024,3204542.428771628,14739521.137536246,3.10134570000082
2,2,22,-3084702.598707216,-1964034.5045995838,2164868.7253454137,6868418.522080105,3.032403900000645
2,2,23,-3084702.598707216,-1995375.4253401323,1677348.256621471,4996467.793058615,3.0641916999993555
2,2,24,-3084702.598707216,-1950652.8923669932,1843645.1152285137,2845337.742967168,3.046186100000341
2,2,25,-3084702.598707216,-2542444.8814100646,756287.4761793013,-35121.45969201438,3.0634967000005418
2,2,26,-3084702.598707216,-2587516.739309593,834943.0665951297,569253.6890366357,3.0328460999990057
2,2,27,-3084702.598707216,-2157044.583101382,2736397.2635235246,9066876.1770664,3.0098391999999876
2,2,28,-3084702.598707216,-2804569.4747744105,728387.0956005999,1079692.1401571315,3.0041315000016766
2,2,29,-3084723.141315585,-2856080.2603999884,619404.1989581084,396714.920347549,3.13544550000006
2,2,30,-3084723.141315585,-2596742.283663005,1239233.1484810608,3545207.5213749856,3.0329235999997763
