n_ess,n_runs,n_degenerate,j_net_median_all,j_net_median_normal,b_defer_share_pct_median,b_arb_share_pct_median,b_loss_share_pct_median,decomposition_violations,cost_check_ok,best_run,best_gbest_f,best_j_net,s_total,e_total,eta_peak,duration_h,e_over_s,annual_efc_unit0,n_distinct_buses,mode_bus,total_negative_bdefer,min_bdefer_overall,boundary_warning
1,3,0,3052922.7419904266,3052922.7419904266,374.9256301491781,63.2357225646325,6.167777946969786,0,True,1,-3084672.0061911326,3084672.006195724,0.17415017281055106,0.4102230645783557,0.852131062624516,2.1200137339062795,2.355570815451421,277.59627499803895,2,32,345,-1.2298571405722214e-05,False
2,3,0,3086835.478078816,3086835.478078816,366.42679111217655,61.493158773979616,6.203124094692153,0,True,0,-3088005.4543388337,3088005.4543378837,0.17400755375390559,0.41127909672041635,0.8547008075561535,2.127213325301211,2.36357036144579,277.49381903275366,2,15,436,-25176130.735014237,False
3,3,1,3053509.534073252,3068575.423838162,371.37236480023125,62.79425247014969,6.2224798871295555,0,True,0,-3083641.313588161,3083641.3136030715,0.17743145946010044,0.41104634788224786,0.8378031154931559,2.0849837690548503,2.316648632283167,277.765937897522,2,15,1017,-87870051.47793727,False
