n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss,cost,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok
3,0,2553837471,-3083641.313588161,"[17.0, 0.0, 0.0, 17.0, 0.0, 0.0, 15.0, 0.17743145946010044, 0.41104634788224786]",127.71047729999918,0,177,-84810710.89263946,3083641.3136030715,2096409.712837436,11309819.089831622,1906083.2824503738,190326.43038755917,10322587.489065986,0.0,0.0,0.0,0.0,True
3,1,3430172136,-0.026777546323556223,"[1.0, 0.0, 0.0, 32.0, 0.0, 0.0, 1.0, 0.0, 0.0]",76.75049229999786,0,620,-86113656.57589285,0.029284112034689613,0.029281273902826754,2.8381318628589725e-06,0.0,0.029281766729508857,0.0,0.0,0.0,0.0,0.0,True
3,2,558373626,-3053509.5340811033,"[30.0, 0.17906270667100832, 0.4210580685943709, 1.0, 0.0, 0.0, 23.0, 0.0, 0.0]",91.97819700000036,0,220,-87870051.47793727,3053509.534073252,2138940.3452798477,11480475.860483937,1947398.96906562,191541.3762144705,10565906.671690533,0.0,0.0,0.0,0.0,True
