n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss_avg,b_arb_total,b_loss_total,cost,capex_power_annual,capex_energy_annual,opex,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,cross_effect_pct_avg_max,cross_effect_pct_peak_max,cross_effect_mw_avg_total,cross_effect_mw_peak_total,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s,peak_day_selected,peak_reduction_mw
2,0,1587909317,-3962475.330779923,"[32.0, 0.0, 0.0, 31.0, 0.21068102675870407, 0.44078518840952846]",7127.649120600021,0,79,-4474662.765643081,3962475.3309612162,2685269.102977683,12408115.721663652,1961878.0622462486,711221.1374845027,1968172.7242499192,717096.378727805,11130909.49368012,591832.4476139954,7438888.133691915,3100188.9123742077,0.0,0.0,0.0,0.0,True,90.36728449165821,6.833839617435578e-05,9.352576672818464e-05,0.11908223108943784,0.11633440621003101,0.010896188204442048,0.011256912525594132,0.5404201145767027,2079360,259920,16804.52172420267,summer_peak,0.16308828768967842
2,1,2587068805,-3962475.57992357,"[12.0, 0.0, 0.0, 31.0, 0.21077070592539282, 0.4407815757442968]",5288.680881099979,0,70,-4872909.68537767,3962475.579916641,2685433.3440476833,12408135.8570318,1961957.8916567368,711303.5832254919,1968253.4408603213,717179.903187178,11131093.621162843,592084.3689262178,7438827.164736449,3100182.087500177,0.0,0.0,0.0,0.0,True,90.15507945045829,6.861372917942785e-05,5.472000998547888e-05,0.11911378209131575,0.11640089544603371,0.010898815441996668,0.011262595922586272,0.6409828244274809,1444800,180600,11563.452484004316,summer_peak,0.1630885523424901
2,2,2848154552,-3962475.5349933226,"[31.0, 0.21081798722732686, 0.4407796610568397, 32.0, 0.0, 0.0]",5939.438760499994,0,61,-288750.8221668619,3962475.5350033864,2685519.769720937,12408146.225542985,1961999.939827457,711346.9254143623,1968295.9567411619,717223.8129799833,11131190.460260537,592217.1887110864,7438794.851613914,3100178.4199355366,0.0,0.0,0.0,0.0,True,90.25213934853673,0.00019621559366202085,6.389785991988541e-05,0.11913041930890261,0.11643599444795373,0.010900200963063877,0.011265595435445697,0.6254868022501082,1661760,207720,13181.21193779583,summer_peak,0.16308868862287085
2,3,3087798466,-3962475.573982971,"[31.0, 0.21077322592410927, 0.440781474049352, 2.0, 2.399409287602548e-09, 0.0]",4470.725351900008,0,82,-3156836.626836658,3962475.57398713,2685437.9545594985,12408136.417579737,1961960.134160386,711305.8955834411,1968255.7082649693,717182.2462946958,11131098.798152104,592091.4546950674,7438825.448487041,3100181.8949699947,0.0,0.0,0.0,0.0,True,90.15551319718361,7.182174601597075e-05,5.4721349843467326e-05,0.11911466877202859,0.11640277360022767,0.010898889281077295,0.011262752594765502,0.7498732894069944,947520,118440,7803.08333919727,summer_peak,0.16308855971015213
2,4,2396126936,-3962475.5796931144,"[10.0, 1.0839526974933422e-10, 6.741857733478395e-15, 31.0, 0.2107740807888054, 0.44078144050633683]",4068.9745239000185,0,58,-1627730.7878229842,3962475.5796015356,2685439.522346787,12408136.62500028,1961960.8987262389,711306.6806080792,1968256.4813218089,717183.0410251803,11131100.567745531,592093.8496936908,7438824.882400217,3100181.835651623,0.0,0.0,0.0,0.0,True,90.18161575309932,6.278585878771632e-05,5.472181829660472e-05,0.11911496955932413,0.11640339977678574,0.010898914328290932,0.011262810681201607,0.7963654468508837,785280,98160,6463.434208000806,summer_peak,0.16308856243642111
2,5,522242138,-3964027.1884960327,"[31.0, 0.20964619249863428, 0.43068175057391417, 17.0, 0.004311198865800172, 0.009890662314886436]",6761.3448352999985,0,48,-7.838649906943829e-06,3964027.1885048486,2690505.933412297,12409233.91045357,1963705.1321726216,714565.0557987456,1970044.6087914547,720461.3246208486,11135712.655361017,601036.2136755028,7435297.238766445,3099379.2029190697,0.0,0.0,0.0,0.0,True,177.1885094139725,3.464021409001488e-05,7.724173830183506e-05,0.12448529579199115,0.12250077561404135,0.011385189009490482,0.011815353594794686,0.6418732782369146,1747200,218400,13611.592621700518,summer_peak,0.16310298480398266
