scenario,t,unit,b,p_ch,p_dis,p_net,q_mvar,s_apparent,s_rated,s_utilization,poly_margin,poly_binding,loss_pcs_mw,soc,soc_frac,load_mw,smp_won_per_kwh,p_slack_base,p_slack_ess,p_slack_ess_qzero
summer,0,0,29,0.0,0.14290714945262117,0.14290714945262117,1.0719042613147167,1.081388551256819,2.4,0.45057856302367466,1.236833431836945,False,0.028154442054125962,0.16737764097727936,0.499999999999977,6.296033901525001,130.62,6.454850201237773,6.3007702959819945,6.304807987432055
summer,1,0,29,5.433443827516874e-08,0.0,-5.433443827516874e-08,0.8570985583278838,0.8570985583278856,2.4,0.3571243993032857,1.4611234247658784,False,0.025712955119803444,0.01673825364489735,0.05000146240311963,5.770585022235,122.52,5.903238220445504,5.904588223196162,5.9032382778073975
summer,2,0,29,4.503729201044609e-07,0.0,-4.503729201044609e-07,0.7431599829166198,0.7431599829167562,2.4,0.30964999288198175,1.5750620001770077,False,0.022294785976315106,0.016737835221284313,0.05000021246432675,5.5452711824100005,111.95,5.667469805483167,5.668937639594537,5.667470275998982
summer,3,0,29,4.766289134464048e-07,0.0,-4.766289134464048e-07,0.6739166540688991,0.6739166540690676,2.4,0.2807986058621115,1.6443053290246965,False,0.020217485323204644,0.016737793260267964,0.05000008711599437,5.4075321558,107.47,5.523563348214676,5.525060426265416,5.523563845580084
summer,4,0,29,2.2140997220163147e-05,0.0,-2.2140997220163147e-05,0.6370484840499403,0.6370484844347021,2.4,0.2654368685144592,1.6811734986590618,False,0.019110790303124472,0.016737775197328057,0.05000003315735389,5.325058788015,104.36,5.437477964753977,5.439038277930891,5.437501052945343
summer,5,0,29,0.3175499036844462,0.0,-0.3175499036844462,0.7263711314964569,0.7927502519718579,2.4,0.33031260498827414,1.5254717311219061,False,0.014256010448622364,0.01675830967491068,0.050061374915616005,5.319107101680001,104.35,5.431267945088634,5.757936304427568,5.76345763281715
summer,6,0,29,9.4236247148492e-06,0.0,-9.4236247148492e-06,0.6756372497732275,0.6756372498389467,2.4,0.2815155207662278,1.6425847332548174,False,0.02026883478642697,0.3180174320058632,0.9499997435410676,5.405831673990001,107.59,5.5217877815201994,5.52331750629605,5.521797614376011
summer,7,0,29,9.364724745698687e-06,0.0,-9.364724745698687e-06,0.8138127462458452,0.8138127462997262,2.4,0.3390886442915526,1.5044092367940378,False,0.02441410144724944,0.3180174884880971,0.9499999122680062,5.6838604499250005,114.98,5.812435697664656,5.8138572663344155,5.812445492765199
summer,8,0,29,9.183695854649184e-06,0.0,-9.183695854649184e-06,1.0399105316530375,1.0399105316935893,2.4,0.43329605487232886,1.2783114514001748,False,0.031197040439932065,0.31801749000446733,0.9499999167977936,6.124285238715001,127.23,6.27427359199157,6.275301481505962,6.274283234084986
summer,9,0,29,1.3320251573503523e-07,0.0,-1.3320251573503523e-07,1.32970749934721,1.3297074993472167,2.4,0.5540447913946737,0.9885144837465474,False,0.039891220984341065,0.3180173208425203,0.9499994114676132,6.693946645065001,134.5,6.874257550547764,6.874190490286511,6.874257691093598
summer,10,0,29,2.5875242248636572e-08,0.0,-2.5875242248636572e-08,1.4875961970391254,1.4875961970391256,2.4,0.6198317487663023,0.8306257860546384,False,0.04462788513491654,0.3180085650658634,0.9499732557140556,7.012786984440001,138.16,7.211382195808816,7.21036389203491,7.211382223187408
summer,11,0,29,0.0,1.6554412933335423e-08,1.6554412933335423e-08,1.5328476980801475,1.5328476980801478,2.4,0.6386865408667283,0.7853742850136163,False,0.04598543044577209,0.3179997058284174,0.9499467908965499,7.113115411230001,140.85,7.31766119806391,7.31623258875989,7.317661180532214
summer,12,0,29,0.0,3.02761588431608e-08,3.02761588431608e-08,1.5154046459512962,1.5154046459512964,2.4,0.6314186024797068,0.8028173371424676,False,0.04546213847025417,0.3179908039642844,0.9499201987421827,7.071453606885001,140.59,7.2735168856649794,7.272281581800335,7.273516853613193
summer,13,0,29,2.0112600212598726e-08,0.0,-2.0112600212598726e-08,1.450901957680837,1.450901957680837,2.4,0.6045424823670155,0.867320025412927,False,0.043527058127047144,0.3179818878854388,0.9498935641248181,6.907357112220001,137.7,7.099801106839974,7.0993463687518785,7.099801128101208
