n_ess,run,seed,gbest_f,x_json,wall_time_s,n_diverged_total,n_negative_bdefer,min_bdefer,j_net,b_energy,b_defer,b_arb,b_loss_avg,b_arb_total,b_loss_total,cost,capex_power_annual,capex_energy_annual,opex,v_violation,i_violation,penalty_v,penalty_line,decomposition_ok,recompute_jnet_delta,recompute_convergence_ratio,recompute_max_p_shift,cross_effect_pct_avg_max,cross_effect_pct_peak_max,cross_effect_mw_avg_total,cross_effect_mw_peak_total,cross_effect_won_avg_annual,coef_cache_hit_rate,coef_runpp_total,coef_unique_bs_count,coef_measure_wall_s
1,0,1174127800,-3962475.5823148247,"[31.0, 0.2107738585233038, 0.44078144622597515]",1663.3291591999878,0,35,-8.649544724903535e-06,3962475.578198081,2685439.104010034,12408136.50824156,1961960.6879005008,711306.4744429035,1968256.2681590063,717182.8358508337,11131100.034053514,592093.2250143369,7438824.97892728,3100181.830111896,0.0,0.0,0.0,0.0,True,90.16021222248673,8.202717894327904e-05,5.472168424408563e-05,0.11911489136899774,0.11640325020544544,0.010898907821697001,0.011262769203473688,113432.14125892597,0.8853766617429838,372480,46560,2274.119720498624
1,1,500939758,-3962475.5831206515,"[31.0, 0.21077268917001504, 0.44078149450762555]",1580.606688400003,0,35,-5393283.938547626,3962475.57637647,2685436.965947555,12408136.27157015,1961959.65169249,711305.4022485451,1968255.2205725394,717181.7453750357,11131097.661141235,592089.9401375273,7438825.793750023,3100181.927253684,0.0,0.0,0.0,0.0,True,90.15231895446777,7.199127370380376e-05,5.472107003985649e-05,0.11911447991837262,0.11640237881901869,0.010898873555593713,0.011262726998764627,113431.79051253258,0.9244186046511628,249600,31200,1567.5665269007732
1,2,4007147622,-3962475.581821874,"[31.0, 0.21077380220425254, 0.4407814510134246]",1707.0539499000006,0,42,-5.4059654530647094e-06,3962475.581610974,2685439.0108695566,12408136.54913796,1961960.6478698123,711306.4245064388,1968256.2277986147,717182.7830707474,11131099.978396542,592093.0668062511,7438825.05972242,3100181.8518678714,0.0,0.0,0.0,0.0,True,90.16596863046288,6.81135147762387e-05,5.472166895408026e-05,0.11911487154289023,0.11640320056437302,0.010898906165812683,0.011262781108148268,113432.12428894526,0.9065641632170314,303360,37920,1873.8617744984222
1,3,1850291428,-3962475.582922034,"[31.0, 0.2107751970818902, 0.44078138993533406]",1668.7834790000052,0,30,-187382.4620595884,3962475.5786417574,2685441.538938409,12408136.765677555,1961961.8699408774,711307.7010294752,1968257.4635890154,717184.075349854,11131102.725974206,592096.9852124745,7438824.028941225,3100181.711820506,0.0,0.0,0.0,0.0,True,90.19618538580835,7.154191864110512e-05,5.702182266952515e-05,0.11911536236990938,0.11640425826131634,0.010898947047244256,0.011262878573390367,113432.54277758414,0.9249706916764361,245760,30720,1531.9887305023149
1,4,659528345,-3962475.5816975646,"[31.0, 0.21077316566831025, 0.44078147649417765]",1713.1214795999986,0,31,-1712415.362152164,3962475.581507448,2685437.8439689917,12408136.405162234,1961960.0805954372,711305.8403160112,1968255.654079321,717182.1898900591,11131098.667623777,592091.2786878309,7438825.489747013,3100181.8991889325,0.0,0.0,0.0,0.0,True,90.15491900965571,7.052608329302183e-05,5.472132994552292e-05,0.11911464755722793,0.11640275700065535,0.010898887514141364,0.011262753568741068,113431.93337917683,0.9139439906651109,283200,35400,1763.3190788006468
1,5,75134087,-3962475.5819452293,"[31.0, 0.21077389681705672, 0.44078144683331555]",1624.7050797999837,0,39,-941851.028616856,3962475.5734327864,2685439.183970219,12408136.553336639,1961960.7306118142,711306.5110636607,1968256.311181001,717182.8727890869,11131100.163874071,592093.3325868405,7438824.989177029,3100181.8421102026,0.0,0.0,0.0,0.0,True,90.17605742998421,6.544534321386165e-05,5.472171756716604e-05,0.11911490483171436,0.1164032799000347,0.010898908938885121,0.011262773604385323,113432.1526799628,0.9289057928613225,233280,29160,1460.9099519033334
1,6,2186645573,-3962475.581851287,"[31.0, 0.210773805420042, 0.4407814509423837]",1551.8573693000071,0,35,-902163.6785372404,3962475.5818405803,2685439.017021455,12408136.551211419,1961960.6509640075,711306.4274856141,1968256.2309329715,717182.7860885743,11131099.986392293,592093.075839853,7438825.058523501,3100181.852028939,0.0,0.0,0.0,0.0,True,90.16572206653655,6.812774848953575e-05,5.472168019242385e-05,0.11911487267190499,0.11640320351837383,0.010898906260967234,0.011262781290091617,113432.12526390556,0.9444605148973098,184320,23040,1157.7837104997889
1,7,819282878,-3962475.581583198,"[31.0, 0.21077327152936476, 0.440781471892418]",1656.7811883999966,0,49,-1338372.9179049768,3962475.581314612,2685438.036645688,12408136.42161448,1961960.1734760955,711305.9372110837,1968255.7480239328,717182.2886219331,11131098.876945555,592091.5760663275,7438825.412085658,3100181.888793569,0.0,0.0,0.0,0.0,True,90.15424378961325,7.235528551192379e-05,5.472138456369402e-05,0.11911468482401133,0.11640280012405284,0.010898890617955903,0.011262753958355631,113431.96515018673,0.9285714285714286,229440,28680,1437.9277358008258
1,8,3329634809,-3962475.5815790407,"[31.0, 0.2107732869801276, 0.44078147127595957]",1653.606516300002,0,35,-6.757456816330887e-06,3962475.581432499,2685438.0648881635,12408136.425355136,1961960.1872544908,711305.9513974452,1968255.761965545,717182.302922706,11131098.908810802,592091.6194696795,7438825.4016820295,3100181.8876590915,0.0,0.0,0.0,0.0,True,90.15426562353969,7.016875207859478e-05,5.472140218970578e-05,0.11911469026324711,0.11640281142803223,0.01089889107018882,0.011262755414984227,113431.96977971027,0.944030961595713,180480,22560,1131.7144896984682
1,9,609502706,-3962475.5811155215,"[31.0, 0.21077415831911148, 0.4407814362932074]",1869.596746700001,0,36,-1462797.3734645473,3962475.5808689613,2685439.659142142,12408136.622376628,1961960.9633689173,711306.7510162476,1968256.5467180368,717183.1124238762,11131100.70064981,592094.0671826581,7438824.811297445,3100181.8221697044,0.0,0.0,0.0,0.0,True,90.17801041528583,7.603979735651357e-05,5.472185188119816e-05,0.11911499683826447,0.11640346192158878,0.010898916600349473,0.011262815325589592,113432.2311018898,0.9032729398012858,317760,39720,1972.2398077024845
1,10,2043793648,-3962475.5829503443,"[31.0, 0.21077312569110024, 0.44078147823409475]",1650.2872895000037,0,37,-123449.40416706119,3962475.582947975,2685437.7706710226,12408136.400903143,1961960.0455294566,711305.8037140192,1968255.6186872346,717182.1519838449,11131098.588626191,592091.166386261,7438825.519110633,3100181.9031292954,0.0,0.0,0.0,0.0,True,90.15367870219052,7.4019675462066e-05,5.472130771354278e-05,0.11911463350712717,0.11640273376834587,0.010898886343416514,0.011262757547469526,113431.9213938868,0.9388415172008233,199680,24960,1267.4875230971084
1,11,3820478884,-3962475.5815850887,"[31.0, 0.21077324481231724, 0.44078147301082427]",1582.910749200004,0,45,-225154.3437264289,3962475.581577914,2685437.9879611395,12408136.416710593,1961960.1498644054,711305.9127259807,1968255.7241426425,717182.2638182585,11131098.823093819,592091.5010144073,7438825.430960382,3100181.891119028,0.0,0.0,0.0,0.0,True,90.15405276603997,7.208154002382891e-05,5.4721368134350024e-05,0.11911467541909479,0.11640277976573492,0.010898889834704217,0.011262752264456388,113431.95713442436,0.9531713100177831,151680,18960,944.7042895996419
1,12,244745249,-3962475.582586035,"[31.0, 0.21077312577776913, 0.440781478178132]",1898.32876199999,0,50,-3133562.335561313,3962475.5825867616,2685437.7713536327,12408136.398787789,1961960.0453943433,711305.8037486277,1968255.6184281842,717182.1529253286,11131098.58755466,592091.1666297261,7438825.518166181,3100181.90275875,0.0,0.0,0.0,0.0,True,90.15396119840443,7.056664576892466e-05,5.472131691786064e-05,0.11911463353719672,0.11640273383012785,0.010898886346581094,0.011262751208310107,113431.92143009012,0.9430604982206405,184320,23040,1480.1268269981083
1,13,2200731268,-3962475.582215622,"[31.0, 0.21077316466044113, 0.4407814768104287]",2154.011191700003,0,41,-184517.69174419896,3962475.5818637013,2685437.844017591,12408136.409964487,1961960.0808056244,711305.8395695074,1968255.65436041,717182.1896570624,11131098.672118377,592091.2758565857,7438825.4950842075,3100181.9011775833,0.0,0.0,0.0,0.0,True,90.15566261857748,7.151744503874213e-05,5.472132307819677e-05,0.11911464721140494,0.11640275628843094,0.010898887484987352,0.011262748959038227,113431.93308091545,0.9441290708096803,179520,22440,1471.6283872004133
