n_ess,run,gen,gbest_f,mean_f,std_f,worst_f,elapsed_s,coef_cache_hit_rate_cumulative
1,0,0,7514357.342788681,73714011.35873516,49628126.68117651,198002389.46215233,98.77112240000861,0.013020833333333334
1,0,1,570700.3915949762,47550056.330473445,39720872.91660188,149800798.18930054,98.1248087999993,0.013333333333333334
1,0,2,105367.53600702925,25502787.645953737,26903714.887198973,86641100.88067913,72.69214379996993,0.013095238095238096
1,0,3,-0.0220621988718257,10803144.567359772,16943570.595731284,63095910.39071669,39.039331100007985,0.013457854406130268
1,0,4,-0.0220621988718257,4306739.570215974,9976891.742569238,39237973.02643879,17.83573340001749,0.013703703703703704
1,0,5,-0.0220621988718257,35673.94691247039,161907.86558474324,908414.6943230854,3.246437399997376,0.013703703703703704
1,0,6,-0.0220621988718257,-0.019079905497608518,5.735232782014325e-06,-0.019064824313948847,3.253398099972401,0.013703703703703704
1,0,7,-0.0220621988718257,-0.019078506091534275,5.4049316784243504e-06,-0.01906626386512933,3.2614552000304684,0.013703703703703704
1,0,8,-0.0220621988718257,-0.019077911855843066,5.102489598730013e-06,-0.01906887117965894,3.367782100045588,0.013703703703703704
1,0,9,-0.0220621988718257,-0.019077588711002402,4.998646230377967e-06,-0.019068723576390667,3.2969861999736167,0.013703703703703704
1,0,10,-0.0220621988718257,-0.019078448956465155,4.241029585182638e-06,-0.019069782107100863,3.3382582000340335,0.013703703703703704
1,0,11,-0.0220621988718257,-0.019076292327908972,4.428086634966266e-06,-0.019064843184995794,3.355030600039754,0.013703703703703704
1,0,12,-0.0220621988718257,-0.019076877815579707,4.430763641604442e-06,-0.019069167388199304,3.383765900041908,0.013703703703703704
1,0,13,-0.0220621988718257,-0.019077789008548285,5.776583932936952e-06,-0.01906559251751183,3.315033000020776,0.013703703703703704
1,0,14,-0.0220621988718257,-0.019078913125970542,5.1822003945211655e-06,-0.01906957592427716,3.3203673000098206,0.013703703703703704
1,0,15,-0.0220621988718257,-0.019077450769412585,5.461306814443593e-06,-0.019060146558976143,3.373258600011468,0.013703703703703704
1,0,16,-0.0220621988718257,-0.019078020728784895,4.042663742109933e-06,-0.01907148047059337,3.2467769000213593,0.013703703703703704
1,0,17,-0.0220621988718257,-0.019077844900547702,4.860215936001059e-06,-0.019068483044849316,3.2905407999642193,0.013703703703703704
1,0,18,-0.0220621988718257,-0.019076509906526373,4.482520109539062e-06,-0.019068594824425134,3.2680502999573946,0.013703703703703704
