n_workers,n_particles,rounds,gen_time_best_s,gen_time_min_s,gen_time_max_s,time_per_particle_s,eval_time_std_s,n_diverged,peak_rss_mb,status,error
10,20,2,1.8555612999999767,1.8555612999999767,1.920554100000004,0.09277806499999883,0.08251187021531396,0,2947.95703125,ok,
12,24,2,2.167044199999964,2.167044199999964,2.215006399999993,0.09029350833333183,0.16385437369444014,0,3495.86328125,ok,
14,28,2,2.7729699999999866,2.7729699999999866,2.8157958000000463,0.09903464285714238,0.20710399330432594,0,4047.828125,ok,
16,32,2,3.020347000000015,3.020347000000015,3.1629553000000215,0.09438584375000048,0.19822842684799055,0,4598.546875,ok,
16,48,3,4.519683100000066,4.519683100000066,4.615322800000058,0.0941600645833347,0.20748100206077194,0,4599.35546875,ok,
16,64,4,6.104505700000004,6.104505700000004,6.127948500000002,0.09538290156250007,0.22733905949666897,0,4596.375,ok,
16,30,2,2.8830230999999458,2.8830230999999458,2.970629400000007,0.0961007699999982,0.2157282914083902,0,4596.5546875,ok,
16,36,3,3.592698700000028,3.592698700000028,3.6016658999999436,0.0997971861111119,0.25764657729435475,0,4596.12890625,ok,
16,40,3,4.083014100000014,4.083014100000014,4.227463600000078,0.10207535250000035,0.27947074689326573,0,4597.0390625,ok,
