method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged
pwl,1,P1_old_full_opt,summer,0,0.0172510166980096,0.0,0.0172510166980096,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,1.2448247700532165e-15,0.17515251189430414,0.1751525118943029,0.17515251189430547,4.081605196099259e-15,2.542464317082135e-05,1.224481558829779e-16
pwl,1,P1_old_full_opt,summer,1,0.0011278760055006324,0.0,0.0011278760055006324,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,1.3384774464626145e-15,0.0037181089045869036,0.0037181089045855652,0.0038667041776660536,0.00014859527308009194,5.019138032917926e-06,4.4578581924027626e-06
pwl,1,P1_old_full_opt,summer,2,6.256417656885709e-12,0.0,6.256417656885709e-12,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,1.2635868092591243e-11,0.0,-1.2635868092591243e-11,1.0620249218535888e-11,2.8209600152530224e-12,4.3921749079006443e-14,8.462880045759075e-14
pwl,1,P1_old_full_opt,summer,3,0.014316646102639323,0.02,0.0056833538973606774,0.2841676948680339,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,0.04719565723421853,1.4281564344161579e-15,-0.0471956572342171,0.04908184501263467,0.0018861877784171696,6.371021513603643e-05,5.6585633352515136e-05
pwl,1,P1_old_full_opt,summer,4,0.017251016698021458,0.0,0.017251016698021458,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,0.1751525118942992,1.0953858963234818e-15,-0.17515251189429812,0.17515251189430403,7.490771122309662e-15,2.5424643170857152e-05,2.2472313366929e-16
pwl,1,P1_old_full_opt,summer,5,0.017251016698021076,0.0,0.017251016698021076,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,0.17515251189429928,1.080465465492694e-15,-0.1751525118942982,0.17515251189430409,7.44339267480421e-15,2.5424643170855488e-05,2.233017802441265e-16
pwl,1,P1_old_full_opt,summer,6,3.554321292527413e-06,0.0,3.554321292527413e-06,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,1.171709359809631e-05,8.145892046433938e-14,-1.171709351663739e-05,1.2185363787176916e-05,4.6827003462597033e-07,1.5816926887634265e-08,1.4048101038779122e-08
pwl,1,P1_old_full_opt,summer,7,3.4727944161186648e-06,0.0,3.4727944161186648e-06,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,1.1726647524538653e-05,9.403570484026237e-09,-1.1717243954054628e-05,1.2159470992673277e-05,4.184533164161422e-07,1.5114235178507036e-08,1.2553599492484277e-08
pwl,1,P1_old_full_opt,summer,8,3.554342749007891e-06,0.0,3.554342749007891e-06,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,1.1717092464693313e-05,0.0,-1.1717092464693313e-05,1.2185369311233907e-05,4.682775676682025e-07,1.5817115100696953e-08,1.4048327030046088e-08
pwl,1,P1_old_full_opt,summer,9,8.356585571097517e-14,0.0,8.356585571097517e-14,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,1.646921799070263e-14,0.0,-1.646921799070263e-14,1.2399814951573012e-13,1.9873606046407568e-13,2.0611218173031917e-15,5.962081813922276e-15
pwl,1,P1_old_full_opt,summer,10,7.442643081213003e-14,0.0,7.442643081213003e-14,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,0.0,0.0,0.0,9.823747563187044e-14,1.5259569471129763e-13,2.232792924363903e-15,4.577870841338933e-15
pwl,1,P1_old_full_opt,summer,11,7.983226467593884e-14,0.0,7.983226467593884e-14,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,0.0,6.811332148777556e-15,6.811332148777556e-15,1.0085515863280192e-13,1.209634980917883e-13,2.1993293672121264e-15,3.6289049427536525e-15
pwl,1,P1_old_full_opt,summer,12,7.735434607928948e-14,0.0,7.735434607928948e-14,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,0.0,6.05882388338761e-16,6.05882388338761e-16,9.88717231298852e-14,1.278720235478315e-13,2.302525093769376e-15,3.8361607064349485e-15
pwl,1,P1_old_full_opt,summer,13,7.204664673831287e-14,0.0,7.204664673831287e-14,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,0.0,0.0,0.0,9.636364131775567e-14,1.5120737595333428e-13,2.161399402149388e-15,4.536221278600032e-15
pwl,1,P1_old_full_opt,summer,14,1.3899984632524718e-13,0.0,1.3899984632524718e-13,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,0.0,1.1651714346909262e-13,1.1651714346909262e-13,1.7513599278680784e-13,7.286138569841706e-14,1.945761447125236e-15,2.1858415709525138e-15
pwl,1,P1_old_full_opt,summer,15,0.012580620982528823,0.0,0.012580620982528823,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,1.3390447696169689e-15,0.02353668639692068,0.023536686396919342,0.02655945804413224,0.003022771647212048,9.453844521693776e-05,9.068314941636151e-05
pwl,1,P1_old_full_opt,summer,16,0.08296582568134665,0.0,0.08296582568134665,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,1.4153909202287468e-08,shoulder,6,0,0.29440131140757936,True,1.3508953041574196e-15,0.15521814252529328,0.15521814252529192,0.1751525118942809,0.019934369368988108,0.0006234557242403424,0.0005980310810696438
