bus,S_mva,scenario,t,p_center_mw,truth_a_P,truth_a_Q,truth_b_PP,truth_b_QQ,truth_b_PQ,truth_fit_max_abs_error_mw,truth_fit_rmse_mw,truth_baseline_loss_mw,truth_baseline_spread_mw,truth_sample_count,truth_pf_design_count,truth_pf_attempts_actual,truth_pf_retries,truth_pf_failures,ccd9_a_P,ccd9_a_Q,ccd9_b_PP,ccd9_b_QQ,ccd9_b_PQ,ccd9_a_P_rel_error,ccd9_a_Q_rel_error,ccd9_b_PP_rel_error,ccd9_b_QQ_rel_error,ccd9_b_PQ_rel_error,ccd9_coef_rel_max,ccd9_coef_rel_mean,ccd9_pred_max_abs_mw,ccd9_pred_rmse_mw,ccd9_pred_max_abs_rel_baseline,ccd9_pred_rmse_rel_baseline,ccd9_h_min_eig,ccd9_psd_ok,ccd9_a_P_negative,ccd9_a_Q_negative,ccd9_sample_count,ccd9_pf_design_count,ccd9_pf_attempts_actual,ccd9_pf_retries,ccd9_pf_failures,q3_a_P,q3_a_Q,q3_b_PP,q3_b_QQ,q3_b_PQ,q3_a_P_rel_error,q3_a_Q_rel_error,q3_b_PP_rel_error,q3_b_QQ_rel_error,q3_b_PQ_rel_error,q3_coef_rel_max,q3_coef_rel_mean,q3_pred_max_abs_mw,q3_pred_rmse_mw,q3_pred_max_abs_rel_baseline,q3_pred_rmse_rel_baseline,q3_h_min_eig,q3_psd_ok,q3_a_P_negative,q3_a_Q_negative,q3_sample_count,q3_pf_design_count,q3_pf_attempts_actual,q3_pf_retries,q3_pf_failures,min7_a_P,min7_a_Q,min7_b_PP,min7_b_QQ,min7_b_PQ,min7_a_P_rel_error,min7_a_Q_rel_error,min7_b_PP_rel_error,min7_b_QQ_rel_error,min7_b_PQ_rel_error,min7_coef_rel_max,min7_coef_rel_mean,min7_pred_max_abs_mw,min7_pred_rmse_mw,min7_pred_max_abs_rel_baseline,min7_pred_rmse_rel_baseline,min7_h_min_eig,min7_psd_ok,min7_a_P_negative,min7_a_Q_negative,min7_sample_count,min7_pf_design_count,min7_pf_attempts_actual,min7_pf_retries,min7_pf_failures
16,0.15,summer,10,0.0,-0.07937525140135002,-0.025347034001098206,0.023616014106794862,0.022143346260181603,0.0018516536584873696,1.1639735241122245e-06,5.395129923263613e-07,0.18840612349021926,6.819607378805159e-10,81,82,162,0,0,-0.07938835931764635,-0.025352047114886905,0.023618395270556678,0.022143427487398632,0.0018520900211155987,0.00016513857990679338,0.00019777910852543382,0.00010082835109036802,3.6682449016889233e-06,0.00023566104060185157,0.00023566104060185157,0.00014061506500522713,1.561105698911179e-06,7.881792106842868e-07,8.285854355430336e-06,4.183405486420953e-06,0.021697086285512604,True,True,True,9,10,18,0,0,-0.07938089720861818,-0.025351568194528284,0.023617989067107038,0.022143413984324525,0.0018520647467137948,7.112805526182426e-05,0.00017888457599033703,8.36280120413491e-05,3.0584421217700686e-06,0.00022201140279060874,0.00022201140279060874,0.00011174209764117785,1.2457869038567243e-06,7.05320466115621e-07,6.612242111766589e-06,3.7436175271247825e-06,0.02169700862838313,True,True,True,15,16,30,0,0,-0.07938864371784049,-0.02535176293751299,0.023618386964248884,0.02214341917474346,0.0018521487480901034,0.0001687215631304089,0.00018656764394577748,0.00010047662756257687,3.2928429604558465e-06,0.0002673770011994654,0.0002673770011994654,0.0001452871357597369,1.5512385970360351e-06,7.748314872996336e-07,8.233482905435207e-06,4.1125600004177016e-06,0.021697055004378622,True,True,True,7,8,14,0,0
16,0.15,summer,10,0.075,-0.079353491135581,-0.025345440930413746,0.023379948718863914,0.022077016576411927,0.001807911089434938,1.0906392375583177e-06,3.7138368658056905e-07,0.18840612335507215,8.929602890450639e-10,81,82,162,0,0,-0.07935114887974218,-0.02533967730518507,0.023362804602748245,0.022064253005644345,0.0017200583115233375,2.9516733356990206e-05,0.00022740283920384243,0.0007332828793205813,0.0005781383876225606,0.048593527843487715,0.048593527843487715,0.010032373736598339,1.6547561861959305e-06,4.1675345678972e-07,8.782921471598668e-06,2.211995286396834e-06,0.02163593462671323,True,True,True,9,10,18,0,0,-0.07935155625061066,-0.025351059035882983,0.023348624387346358,0.022080542500817882,0.0018380372134241163,2.438311084526628e-05,0.00022166138219648006,0.0013397947058344972,0.00015971018518701736,0.016663498635837687,0.016663498635837687,0.003681809603980189,9.497965977971461e-07,4.81688736611288e-07,5.041219366353341e-06,2.5566511747789236e-06,0.021598069620961967,True,True,True,15,16,30,0,0,-0.07935663502906674,-0.025340774331884048,0.02341985068777134,0.022068827789091666,0.0017093822055337746,3.961884273408543e-05,0.0001841198400267136,0.0017066747829743403,0.00037091910909006927,0.05449874411548618,0.05449874411548618,0.011360015338062277,1.4662915000219177e-06,4.6649601307203273e-07,7.782610638713315e-06,2.4760130125541064e-06,0.021654929949257738,True,True,True,7,8,14,0,0
16,0.15,summer,18,0.0,-0.08573143001437655,-0.02742307372408684,0.024020107260783144,0.02241040991868617,0.002021693130504852,1.1947638576944794e-06,5.516878737007554e-07,0.21687755643168152,1.5393092356319471e-09,81,82,162,0,0,-0.08574492160510627,-0.02742823559159975,0.02402253565188104,0.022410493593995794,0.0020221287174240154,0.0001573704151126336,0.00018823081484808682,0.00010109826202814446,3.733769704437005e-06,0.00021545649652538127,0.00021545649652538127,0.00013317795164373663,1.6020630515690276e-06,8.088955324238743e-07,7.386947169306072e-06,3.7297337065796574e-06,0.021923486766875198,True,True,True,9,10,18,0,0,-0.0857372367424087,-0.027427706139213928,0.024022135303260948,0.022410476993627578,0.0020221005410157953,6.77316129114383e-05,0.00016892399347824116,8.443103337137692e-05,2.993026082390127e-06,0.0002015194613834075,0.0002015194613834075,0.00010511982544537078,1.274705434289869e-06,7.211541017240321e-07,5.8775350260432e-06,3.325167037056702e-06,0.021923408907265882,True,True,True,15,16,30,0,0,-0.0857452366870891,-0.027427920774513292,0.024022526451393078,0.022410484401631008,0.0020221939409173126,0.00016104563647272903,0.00017675080755150203,0.00010071522926890249,3.3235869001523327e-06,0.0002477183132575369,0.0002477183132575369,0.00013791071469016454,1.5911333034416414e-06,7.940909515514229e-07,7.336551230200085e-06,3.66147131412175e-06,0.021923452072538995,True,True,True,7,8,14,0,0
16,0.15,summer,18,0.075,-0.08570904226997474,-0.02742140328804705,0.023777170065096824,0.022342182168182262,0.0019758144170697813,1.1179021282973264e-06,3.797504158532228e-07,0.2168775562811852,9.947908607976785e-10,81,82,162,0,0,-0.08570663027541926,-0.027415516751256263,0.02375950613241931,0.022329051857280454,0.0018860443139542523,2.814165800438879e-05,0.00021466942186495547,0.0007428946602312104,0.0005876915156443036,0.04543448124203259,0.04543448124203259,0.009401575699555489,1.695279595977572e-06,4.262064401208264e-07,7.816759027751194e-06,1.9651938514478785e-06,0.021860707853403136,True,True,True,9,10,18,0,0,-0.08570705139631254,-0.02742714331724256,0.02374494494161154,0.022345807259960854,0.00200659377521429,2.322828034756532e-05,0.0002093266028366952,0.0013552968412853166,0.00016225325490327913,0.015578061311333978,0.015578061311333978,0.0034656332581413673,9.702867410667487e-07,4.924750365147302e-07,4.473891894137522e-06,2.270751501258288e-06,0.021822264818957802,True,True,True,15,16,30,0,0,-0.08571224029316922,-0.02741664119621255,0.0238178362008548,0.022333726950993782,0.0018751656158032528,3.7312553141979626e-05,0.00017366331636276615,0.0017103017577335946,0.00037844186948500903,0.05094041239199711,0.05094041239199711,0.010648026377744093,1.5024529179156424e-06,4.770854057631659e-07,6.9276551418150816e-06,2.199791504219169e-06,0.021880078189605825,True,True,True,7,8,14,0,0
16,0.15,winter,10,0.0,-0.08613056811339294,-0.02755365309324337,0.024045598934050862,0.022427228532166638,0.0020324615015662015,1.1954161439238498e-06,5.524165848580539e-07,0.2187190987780796,7.603475626893896e-10,81,82,162,0,0,-0.08614408533280954,-0.027558824728618914,0.024048060794640166,0.022427314074179645,0.0020329173366738355,0.00015693870030728088,0.000187693274567141,0.00010238300139468805,3.8142034750861545e-06,0.00022427736370821577,0.00022427736370821577,0.0001350213086904824,1.6046621739108577e-06,8.102123761860152e-07,7.3366349023731425e-06,3.704351292193675e-06,0.021937728509132597,True,True,True,9,10,18,0,0,-0.08613638630675097,-0.027558292035890632,0.024047660896961403,0.022427297270967813,0.0020328889719340893,6.755085314544017e-05,0.0001683603488581618,8.57521959053774e-05,3.0649708265884877e-06,0.00021032150786031312,0.00021032150786031312,0.00010700997531917622,1.2765371735761616e-06,7.221487124940695e-07,5.836422976812752e-06,3.3017176667630107e-06,0.021937650647914843,True,True,True,15,16,30,0,0,-0.08614440238490763,-0.02755850794378758,0.024048051546376417,0.022427304821410258,0.0020329829708349485,0.00016061976389516203,0.00017619625708448545,0.00010199838782055549,3.4016349147844647e-06,0.00025657030555735916,0.00025657030555735916,0.00013975726985446932,1.593664143149584e-06,7.953133395367793e-07,7.2863510870926454e-06,3.6362317876214975e-06,0.021937693596850726,True,True,True,7,8,14,0,0
16,0.15,winter,10,0.075,-0.08610814177915496,-0.027551978026720745,0.023802255768522088,0.02235888201322687,0.001986466659029238,1.119630552721745e-06,3.8028026611190827e-07,0.21871909862646674,1.0012402018588773e-09,81,82,162,0,0,-0.0861057253553327,-0.02754608371375171,0.023784558802062025,0.022345728423688937,0.0018965752015772574,2.8062663672728963e-05,0.00021393429404977857,0.0007434995502704695,0.0005882937049162225,0.04525193362704484,0.04525193362704484,0.009365144767990809,1.6978478560437764e-06,4.2680513638263033e-07,7.762686782755072e-06,1.951384854193906e-06,0.021874846344021277,True,True,True,9,10,18,0,0,-0.08610614735368857,-0.02755772577262084,0.023769973489191874,0.02236251340196528,0.002017287358458051,2.316186861262813e-05,0.0002086146371891194,0.0013562697436244485,0.000162413699222499,0.015515336878777208,0.015515336878777208,0.0034531593654851802,9.7158349956941e-07,4.931580509651205e-07,4.442152083063864e-06,2.2547553188637935e-06,0.02183636619725961,True,True,True,15,16,30,0,0,-0.08611134321042878,-0.027547209896296762,0.023842970099597193,0.022350409871144734,0.0018856837241042514,3.717919360041723e-05,0.00017305945944009977,0.0017105240557594022,0.00037891617643251945,0.05073477292767814,0.05073477292767814,0.010606890362582116,1.5047448627411933e-06,4.777559808534673e-07,6.879805523115426e-06,2.1843359078092645e-06,0.02189424049132665,True,True,True,7,8,14,0,0
16,0.15,winter,18,0.0,-0.08399616647549647,-0.02685566927719628,0.02390933345921177,0.022337350928111357,0.0019749298946383103,1.1855308848819635e-06,5.483198417731041e-07,0.20894434318653002,7.351896036400518e-10,81,82,162,0,0,-0.08400955321111463,-0.026860790375066234,0.023911766860297133,0.022337434938526912,0.0019753777045272403,0.00015937317355905375,0.0001906896386348201,0.00010177619921575547,3.7609838257605405e-06,0.00022674723286077167,0.00022674723286077167,0.0001364694456192323,1.590801119882336e-06,8.031985387900046e-07,7.613516095346916e-06,3.844078889816934e-06,0.021861604652837232,True,True,True,9,10,18,0,0,-0.0840019296848347,-0.026860274916614933,0.023911364872586514,0.022337419195332126,0.0019753503361672822,6.861276627244407e-05,0.00017149598362063416,8.496319557064413e-05,3.0561914429946896e-06,0.00021288934351567073,0.00021288934351567073,0.00010820349608447757,1.2667642516756006e-06,7.168018563893057e-07,6.062687471489608e-06,3.430587521335278e-06,0.021861526844643375,True,True,True,15,16,30,0,0,-0.08400985978727958,-0.026860484051722946,0.023911757912825665,0.022337425985453137,0.0019754411159348365,0.00016302305637888858,0.0001792833564038696,0.00010140197416747107,3.3601720283445694e-06,0.0002588554143897482,0.0002588554143897482,0.00014118479467366442,1.5801658889789266e-06,7.887976041016117e-07,7.562616268430257e-06,3.7751565420339317e-06,0.02186157090615651,True,True,True,7,8,14,0,0
16,0.15,winter,18,0.075,-0.08397395207342494,-0.026854020391597924,0.02366830493196482,0.02226964618822645,0.0019296531523120845,1.1104105627783491e-06,3.7745308094640715e-07,0.2089443430404174,9.66476704222785e-10,81,82,162,0,0,-0.08397155927137585,-0.026848167583215232,0.0236507841286656,0.02225661673862196,0.0018404093284792354,2.8494574686243863e-05,0.00021794905556504895,0.0007402643893951259,0.000585076632730412,0.04624863472467562,0.04624863472467562,0.009564083875410492,1.6841466406129074e-06,4.2361066807508265e-07,8.060264356078463e-06,2.0273851969906693e-06,0.021799273172204744,True,True,True,9,10,18,0,0,-0.0839719765997647,-0.02685972695436191,0.023636327559072967,0.022273244015641687,0.0019602532010896258,2.352483849380436e-05,0.00021250310681818197,0.0013510630770737736,0.00016155745738693342,0.015857797410388945,0.015857797410388945,0.0035212891780323275,9.64663093976862e-07,4.895134924002634e-07,4.616842360696319e-06,2.3427937089714543e-06,0.021760990436516647,True,True,True,15,16,30,0,0,-0.08397713529160998,-0.026849284496617786,0.023708761786207955,0.022261264308572604,0.0018295861441861112,3.79072093953856e-05,0.00017635701883367852,0.001709326221616663,0.0003763813570553956,0.051857510223646604,0.051857510223646604,0.010831496406109545,1.4925174219493267e-06,4.741777420866333e-07,7.1431339094000735e-06,2.269397367675612e-06,0.021818540329454014,True,True,True,7,8,14,0,0
16,0.3,summer,10,0.0,-0.07940645620209617,-0.02538668287055427,0.023612981431803716,0.02214617891614276,0.0018554347269693805,9.376408398896474e-06,4.3176061107925165e-06,0.18840612332609066,5.998296109810397e-09,81,82,162,0,0,-0.07945890284255966,-0.025406753582455435,0.023622789865222277,0.022146436266789662,0.0018572432164331242,0.0006604833280727681,0.0007906000166588411,0.0004153830996087342,1.1620544016341853e-05,0.0009746985094554781,0.0009746985094554781,0.0005705570995624327,1.2561141712576912e-05,6.308978625903838e-06,6.667055980360184e-05,3.348605934099258e-05,0.021698340298828056,True,True,True,9,10,18,0,0,-0.07942904126097457,-0.02540482612631289,0.02361989032394472,0.02214649799130369,0.001857169054799111,0.0002844234582214383,0.0007146761099279682,0.00029258872542902825,1.4407684599766417e-05,0.0009347285590739434,0.0009347285590739434,0.0004481649074504289,1.0025769642402205e-05,5.644578163433584e-06,5.3213608270309474e-05,2.9959632223120623e-05,0.02169787122019441,True,True,True,15,16,30,0,0,-0.0794600548814612,-0.025405606478226067,0.023622760260874495,0.022146406661894644,0.0018573151118249278,0.0006749914544471839,0.0007454147423489992,0.0004141293677211925,1.0283749297538807e-05,0.0010134470521661555,0.0010134470521661555,0.000571653273196214,1.248093493300996e-05,6.201271061373086e-06,6.62448476337902e-05,3.291438171911225e-05,0.02169828255374836,True,True,True,7,8,14,0,0
16,0.3,summer,10,0.15,-0.07932012426439741,-0.025380365183774848,0.023148027431253947,0.022014200884929433,0.0017685353742297129,8.689261035225646e-06,2.951826325342584e-06,0.1884061220047973,7.142840846574572e-09,81,82,162,0,0,-0.07931091334983416,-0.02535737540136491,0.023114587403278927,0.021988848095824985,0.0015937084487768246,0.00011612329971187697,0.0009058097565801607,0.001444616742091215,0.0011516561166956655,0.0988540732074303,0.0988540732074303,0.020494455824501843,1.3194915051066396e-05,3.3127280000448275e-06,7.003442834373726e-05,1.7582910601814078e-05,0.02157611593425415,True,True,True,9,10,18,0,0,-0.07931219206158752,-0.02540278272494766,0.023084834667887275,0.022021155471454265,0.0018290708984382421,0.00010000240018983908,0.0008832631449392821,0.0027299416138854525,0.0003159136486883449,0.0342291848138273,0.0342291848138273,0.007651661124306044,7.592488475614183e-06,3.828549669539053e-06,4.02985231839805e-05,2.0320728587798056e-05,0.02149505913299525,True,True,True,15,16,30,0,0,-0.07933263765332037,-0.025361550563467283,0.023227655418604467,0.021997995318932304,0.0015713059982059602,0.00015775805999857588,0.0007413061305694361,0.0034399469926136212,0.0007361414607371617,0.11152130671863704,0.11152130671863704,0.023319291872511166,1.1715608991270422e-05,3.7078196898928355e-06,6.21827404895692e-05,1.9679932108567176e-05,0.021615194863430387,True,True,True,7,8,14,0,0
