method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate
pwl,1,P1_old_full_opt,summer,0,0.045552151932354026,0.0,0.045552151932354026,,False
pwl,1,P1_old_full_opt,summer,1,0.0023760424898477614,0.0,0.0023760424898477614,,False
pwl,1,P1_old_full_opt,summer,2,1.8733909819819388e-10,0.0,1.8733909819819388e-10,,False
pwl,1,P1_old_full_opt,summer,3,0.015405795075516352,0.02,0.004594204924483649,0.22971024622418243,False
pwl,1,P1_old_full_opt,summer,4,0.045552151928778276,0.0,0.045552151928778276,,False
pwl,1,P1_old_full_opt,summer,5,0.04555215192871832,0.0,0.04555215192871832,,False
pwl,1,P1_old_full_opt,summer,6,3.1395793434328594e-06,0.0,3.1395793434328594e-06,,False
pwl,1,P1_old_full_opt,summer,7,3.145072326032528e-06,0.0,3.145072326032528e-06,,False
pwl,1,P1_old_full_opt,summer,8,3.279807453662915e-06,0.0,3.279807453662915e-06,,False
pwl,1,P1_old_full_opt,summer,9,5.074712184058752e-11,0.0,5.074712184058752e-11,,False
pwl,1,P1_old_full_opt,summer,10,4.678993583030873e-11,0.0,4.678993583030873e-11,,False
pwl,1,P1_old_full_opt,summer,11,4.91157730603115e-11,0.0,4.91157730603115e-11,,False
pwl,1,P1_old_full_opt,summer,12,4.767104783391729e-11,0.0,4.767104783391729e-11,,False
pwl,1,P1_old_full_opt,summer,13,4.534617304941917e-11,0.0,4.534617304941917e-11,,False
pwl,1,P1_old_full_opt,summer,14,5.5094252925520716e-11,0.0,5.5094252925520716e-11,,False
pwl,1,P1_old_full_opt,summer,15,0.002344947553491567,0.0,0.002344947553491567,,False
pwl,1,P1_old_full_opt,summer,16,0.04555215198959647,0.0,0.04555215198959647,,False
pwl,1,P1_old_full_opt,summer,17,7.721752099257084e-11,0.0,7.721752099257084e-11,,False
pwl,1,P1_old_full_opt,summer,18,5.606808646779294e-11,0.0,5.606808646779294e-11,,False
pwl,1,P1_old_full_opt,summer,19,5.348184314200578e-11,0.0,5.348184314200578e-11,,False
pwl,1,P1_old_full_opt,summer,20,5.2526106985721454e-11,0.0,5.2526106985721454e-11,,False
pwl,1,P1_old_full_opt,summer,21,4.992929356034344e-11,0.0,4.992929356034344e-11,,False
pwl,1,P1_old_full_opt,summer,22,4.6486055620956514e-11,0.0,4.6486055620956514e-11,,False
pwl,1,P1_old_full_opt,summer,23,5.4667883142343744e-11,0.0,5.4667883142343744e-11,,False
pwl,1,P1_old_full_opt,winter,0,0.04555215193605885,0.0,0.04555215193605885,,False
pwl,1,P1_old_full_opt,winter,1,4.433642649412499e-11,0.0,4.433642649412499e-11,,False
pwl,1,P1_old_full_opt,winter,2,1.9451092550964926e-11,0.0,1.9451092550964926e-11,,False
pwl,1,P1_old_full_opt,winter,3,0.04555215193890101,0.0,0.04555215193890101,,False
pwl,1,P1_old_full_opt,winter,4,0.045552151937018406,0.0,0.045552151937018406,,False
pwl,1,P1_old_full_opt,winter,5,0.012767816634304187,0.02,0.007232183365695814,0.36160916828479067,False
pwl,1,P1_old_full_opt,winter,6,3.1446046972853048e-06,0.0,3.1446046972853048e-06,,False
pwl,1,P1_old_full_opt,winter,7,3.260075771904624e-06,0.0,3.260075771904624e-06,,False
pwl,1,P1_old_full_opt,winter,8,0.0,0.0,0.0,,False
pwl,1,P1_old_full_opt,winter,9,0.004744541606707624,0.0,0.004744541606707624,,False
pwl,1,P1_old_full_opt,winter,10,0.045552151937874465,0.0,0.045552151937874465,,False
pwl,1,P1_old_full_opt,winter,11,0.04555215194563211,0.0,0.04555215194563211,,False
pwl,1,P1_old_full_opt,winter,12,2.631883182535948e-11,0.0,2.631883182535948e-11,,False
pwl,1,P1_old_full_opt,winter,13,1.9409951719267255e-11,0.0,1.9409951719267255e-11,,False
pwl,1,P1_old_full_opt,winter,14,2.009066175249757e-11,0.0,2.009066175249757e-11,,False
pwl,1,P1_old_full_opt,winter,15,2.0750660514901913e-11,0.0,2.0750660514901913e-11,,False
pwl,1,P1_old_full_opt,winter,16,2.4128477305967938e-11,0.0,2.4128477305967938e-11,,False
pwl,1,P1_old_full_opt,winter,17,2.7564587402297257e-11,0.0,2.7564587402297257e-11,,False
pwl,1,P1_old_full_opt,winter,18,2.315708775886921e-11,0.0,2.315708775886921e-11,,False
