point_id,bus,S,p_level,q_level,feasible,n_samples,alpha_median,identity_abs_max_mw
P1_old_full_opt,15,0.176,-0.176,0.0,True,72,nan,0.0
P1_old_full_opt,15,0.176,-0.176,0.0375,False,72,0.9472160731580882,6.9885503634070645e-15
P1_old_full_opt,15,0.176,-0.176,0.05,False,72,0.9472021170830427,4.84378162579624e-15
P1_old_full_opt,15,0.176,-0.176,0.075,False,72,0.9471622765172385,5.223035545731669e-15
P1_old_full_opt,15,0.176,-0.176,0.1,False,72,0.9471055654096882,5.2969781338951805e-15
P1_old_full_opt,15,0.176,-0.176,0.15,False,72,0.9469363261582372,5.823033027985147e-15
P1_old_full_opt,15,0.176,-0.176,0.2,False,72,0.9466825309829662,5.618769338688878e-15
P1_old_full_opt,15,0.176,-0.176,0.3,False,72,0.9458587738428594,5.6838214690380084e-15
P1_old_full_opt,15,0.176,-0.088,0.0,True,72,nan,0.0
P1_old_full_opt,15,0.176,-0.088,0.0375,True,72,0.9499777003000467,3.894237363133435e-15
P1_old_full_opt,15,0.176,-0.088,0.05,True,72,0.9499750489482737,7.6590209868721e-15
P1_old_full_opt,15,0.176,-0.088,0.075,True,72,0.9499592794197078,6.83329261230714e-15
P1_old_full_opt,15,0.176,-0.088,0.1,True,72,0.9499281624616093,5.970484523443176e-15
P1_old_full_opt,15,0.176,-0.088,0.15,True,72,0.9498144593856679,5.184654788825682e-15
P1_old_full_opt,15,0.176,-0.088,0.2,False,72,0.9496224706662053,6.549448483550435e-15
P1_old_full_opt,15,0.176,-0.088,0.3,False,72,0.9489452301464883,4.9552376091277495e-15
P1_old_full_opt,15,0.176,0.0,0.0,True,72,nan,0.0
P1_old_full_opt,15,0.176,0.0,0.0375,True,72,0.9525650449557974,5.990000162547915e-15
P1_old_full_opt,15,0.176,0.0,0.05,True,72,0.952572456523163,5.197665214895508e-15
P1_old_full_opt,15,0.176,0.0,0.075,True,72,0.9525775379677524,5.409301478964679e-15
P1_old_full_opt,15,0.176,0.0,0.1,True,72,0.9525683105302671,4.242266260501282e-15
P1_old_full_opt,15,0.176,0.0,0.15,True,72,0.9525018360258937,3.8827448201050885e-15
P1_old_full_opt,15,0.176,0.0,0.2,False,72,0.9523622999257073,5.49820605710849e-15
P1_old_full_opt,15,0.176,0.0,0.3,False,72,0.9518094180389809,5.268355196541563e-15
P1_old_full_opt,15,0.176,0.088,0.0,True,72,nan,0.0
P1_old_full_opt,15,0.176,0.088,0.0375,True,72,0.95497936442919,5.8364771349239675e-15
P1_old_full_opt,15,0.176,0.088,0.05,True,72,0.9549949441039883,4.162902661475343e-15
P1_old_full_opt,15,0.176,0.088,0.075,True,72,0.9550169536146231,4.909917958317855e-15
P1_old_full_opt,15,0.176,0.088,0.1,True,72,0.9550255046434583,6.536004376611615e-15
P1_old_full_opt,15,0.176,0.088,0.15,True,72,0.9549974156683254,5.486496673645647e-15
P1_old_full_opt,15,0.176,0.088,0.2,False,72,0.9549005521248242,5.186823193170653e-15
P1_old_full_opt,15,0.176,0.088,0.3,False,72,0.9544489950998489,4.573598444412852e-15
P1_old_full_opt,15,0.176,0.176,0.0,True,72,nan,0.0
P1_old_full_opt,15,0.176,0.176,0.0375,False,72,0.9572197828031896,3.763807841783429e-15
P1_old_full_opt,15,0.176,0.176,0.05,False,72,0.9572415993617945,5.121554222387026e-15
P1_old_full_opt,15,0.176,0.176,0.075,False,72,0.9572765371329615,4.711725801187505e-15
P1_old_full_opt,15,0.176,0.176,0.1,False,72,0.957298672040235,4.811689241490669e-15
P1_old_full_opt,15,0.176,0.176,0.15,False,72,0.9572999360764556,5.809588921046327e-15
P1_old_full_opt,15,0.176,0.176,0.2,False,72,0.9572357395564437,4.287369070876679e-15
P1_old_full_opt,15,0.176,0.176,0.3,False,72,0.9568618758219024,5.230191280070073e-15
P2_dev_run1,17,0.303,-0.303,0.0,True,72,nan,0.0
P2_dev_run1,17,0.303,-0.303,0.0375,False,72,0.9413475367921139,5.057803134644878e-15
P2_dev_run1,17,0.303,-0.303,0.05,False,72,0.9413314346215426,5.478907258438248e-15
P2_dev_run1,17,0.303,-0.303,0.075,False,72,0.941280830434856,6.0491976011656234e-15
P2_dev_run1,17,0.303,-0.303,0.1,False,72,0.9412038771101247,5.811323644522304e-15
P2_dev_run1,17,0.303,-0.303,0.15,False,72,0.9409608855496696,8.173149657064727e-15
P2_dev_run1,17,0.303,-0.303,0.2,False,72,0.9405788676066685,5.573666528313481e-15
P2_dev_run1,17,0.303,-0.303,0.3,False,72,0.9392647754362056,4.356758009915751e-15
P2_dev_run1,17,0.303,-0.1515,0.0,True,72,nan,0.0
P2_dev_run1,17,0.303,-0.1515,0.0375,True,72,0.9472773511564891,4.397740852035703e-15
P2_dev_run1,17,0.303,-0.1515,0.05,True,72,0.9472934941544684,4.806701911497235e-15
P2_dev_run1,17,0.303,-0.1515,0.075,True,72,0.9473102360509531,4.205620227071272e-15
P2_dev_run1,17,0.303,-0.1515,0.1,True,72,0.9473047166259243,6.168242999704532e-15
P2_dev_run1,17,0.303,-0.1515,0.15,True,72,0.9472183912005528,5.311289602571989e-15
P2_dev_run1,17,0.303,-0.1515,0.2,True,72,0.94701450660884,5.228890237463091e-15
P2_dev_run1,17,0.303,-0.1515,0.3,False,72,0.9461409188547746,5.676882575134101e-15
P2_dev_run1,17,0.303,0.0,0.0,True,72,nan,0.0
P2_dev_run1,17,0.303,0.0,0.0375,True,72,0.952419793866693,5.682628846648274e-15
P2_dev_run1,17,0.303,0.0,0.05,True,72,0.9524571437171501,8.023529757261727e-15
P2_dev_run1,17,0.303,0.0,0.075,True,72,0.9525189470729223,4.577284731799303e-15
P2_dev_run1,17,0.303,0.0,0.1,True,72,0.9525616605461413,5.9891328008099265e-15
P2_dev_run1,17,0.303,0.0,0.15,True,72,0.9525817265571878,5.0497800385684855e-15
P2_dev_run1,17,0.303,0.0,0.2,True,72,0.9524993508032447,5.244502748746882e-15
P2_dev_run1,17,0.303,0.0,0.3,True,72,0.9519278214350088,5.430985522414389e-15
P2_dev_run1,17,0.303,0.1515,0.0,True,72,nan,0.0
P2_dev_run1,17,0.303,0.1515,0.0375,True,72,0.9567619062257791,5.79365114911079e-15
P2_dev_run1,17,0.303,0.1515,0.05,True,72,0.9568096911501229,4.636048489548017e-15
P2_dev_run1,17,0.303,0.1515,0.075,True,72,0.9568939955733384,4.367600031640606e-15
P2_dev_run1,17,0.303,0.1515,0.1,True,72,0.9569609917550799,4.397090330732212e-15
P2_dev_run1,17,0.303,0.1515,0.15,True,72,0.9570349370168112,5.060188379424346e-15
P2_dev_run1,17,0.303,0.1515,0.2,True,72,0.9570144064003037,6.542509589646528e-15
P2_dev_run1,17,0.303,0.1515,0.3,False,72,0.9565974949368277,5.124373148035488e-15
P2_dev_run1,17,0.303,0.303,0.0,True,72,nan,0.0
P2_dev_run1,17,0.303,0.303,0.0375,False,72,0.9602999831460892,5.0485874161787514e-15
P2_dev_run1,17,0.303,0.303,0.05,False,72,0.9603478100604084,5.228890237463091e-15
P2_dev_run1,17,0.303,0.303,0.075,False,72,0.9604321802409131,4.326617189520654e-15
P2_dev_run1,17,0.303,0.303,0.1,False,72,0.9604992818380896,4.422026980699378e-15
P2_dev_run1,17,0.303,0.303,0.15,False,72,0.960573646745202,5.0758008907081376e-15
P2_dev_run1,17,0.303,0.303,0.2,False,72,0.9605538731278589,4.151193278012499e-15
P2_dev_run1,17,0.303,0.303,0.3,False,72,0.9601396627434796,4.449132035011516e-15
P3_dev_run0,31,1.045,-1.045,0.0,True,72,nan,0.0
P3_dev_run0,31,1.045,-1.045,0.0375,False,72,0.9313832618703544,7.606762442158299e-15
P3_dev_run0,31,1.045,-1.045,0.05,False,72,0.9313369934735758,7.679837668583822e-15
P3_dev_run0,31,1.045,-1.045,0.075,False,72,0.9312386734438117,8.598590589548039e-15
P3_dev_run0,31,1.045,-1.045,0.1,False,72,0.9311323892771174,8.046081162449426e-15
P3_dev_run0,31,1.045,-1.045,0.15,False,72,0.9308946450554354,8.165343401422831e-15
P3_dev_run0,31,1.045,-1.045,0.2,False,72,0.9306210173410565,7.43242273282263e-15
P3_dev_run0,31,1.045,-1.045,0.3,False,72,0.9299534858894325,6.382047668118673e-15
P3_dev_run0,31,1.045,-0.5225,0.0,True,72,nan,0.0
P3_dev_run0,31,1.045,-0.5225,0.0375,True,72,0.9445233247092942,7.515906300104014e-15
P3_dev_run0,31,1.045,-0.5225,0.05,True,72,0.9445127468747798,6.750459566329248e-15
P3_dev_run0,31,1.045,-0.5225,0.075,True,72,0.9444871893320013,6.683022191200649e-15
P3_dev_run0,31,1.045,-0.5225,0.1,True,72,0.9444555708627671,4.5944151261245736e-15
P3_dev_run0,31,1.045,-0.5225,0.15,True,72,0.9443731685723843,5.517721696213229e-15
P3_dev_run0,31,1.045,-0.5225,0.2,True,72,0.9442634328243089,8.094219738907782e-15
P3_dev_run0,31,1.045,-0.5225,0.3,True,72,0.9439522260799176,6.308321920389659e-15
