point_id,bus,S,p_level,q_level,feasible,n_samples,alpha_median,dloss_ratio_to_p0_median,identity_abs_max_mw
P1_old_full_opt,15,0.176,-0.176,0.0,True,72,nan,nan,0.0
P1_old_full_opt,15,0.176,-0.176,0.0375,False,72,0.9472160731778594,1.0126232024676156,5.407024654402459e-15
P1_old_full_opt,15,0.176,-0.176,0.05,False,72,0.9472021171065752,1.0126987386732456,4.793474644992912e-15
P1_old_full_opt,15,0.176,-0.176,0.0625,False,72,0.9471842313054444,1.0127685700818199,5.856426454897701e-15
P1_old_full_opt,15,0.176,-0.176,0.075,False,72,0.9471622765902126,1.0128419494942955,6.319380782549011e-15
P1_old_full_opt,15,0.176,-0.176,0.1,False,72,0.9471055654104528,1.0129818422316972,4.99556992994421e-15
P1_old_full_opt,15,0.176,-0.176,0.125,False,72,0.9470307162620991,1.0131412968551594,9.857132471369212e-15
P1_old_full_opt,15,0.176,-0.176,0.15,False,72,0.9469363268614666,1.0133101611444963,4.919675777870225e-15
P1_old_full_opt,15,0.176,-0.176,0.175,False,72,0.9468208419406966,1.0134885638890265,7.768525406293136e-15
P1_old_full_opt,15,0.176,-0.176,0.2,False,72,0.9466825315484508,1.013677311979389,5.931453245233698e-15
P1_old_full_opt,15,0.176,-0.176,0.25,False,72,0.9463294854820998,1.0140895548256799,8.141057272759156e-15
P1_old_full_opt,15,0.176,-0.176,0.3,False,72,0.9458587805299751,1.0145554923492766,4.7427339833205906e-15
P1_old_full_opt,15,0.176,-0.176,0.4,False,72,0.9444641074576428,1.0156954225705306,7.929421008689985e-15
P1_old_full_opt,15,0.176,-0.088,0.0,True,72,nan,nan,0.0
P1_old_full_opt,15,0.176,-0.088,0.0375,True,72,0.9499752358460256,1.0060689564467853,5.740633662876249e-15
P1_old_full_opt,15,0.176,-0.088,0.05,True,72,0.9499731778650415,1.0061010676675206,5.148008755395672e-15
P1_old_full_opt,15,0.176,-0.088,0.0625,True,72,0.9499674757559716,1.0061339933301596,5.523576387944651e-15
P1_old_full_opt,15,0.176,-0.088,0.075,True,72,0.9499580005653783,1.006167763573413,7.046880440286785e-15
P1_old_full_opt,15,0.176,-0.088,0.1,True,72,0.9499271784741006,1.0062429307245706,4.983860546481367e-15
P1_old_full_opt,15,0.176,-0.088,0.125,True,72,0.949879535152302,1.0063189817655904,5.340346220794601e-15
P1_old_full_opt,15,0.176,-0.088,0.15,True,72,0.949813768412487,1.0063915215132684,5.5936158482872145e-15
P1_old_full_opt,15,0.176,-0.088,0.175,False,72,0.9497284334612641,1.006472495569331,5.9483667991244715e-15
P1_old_full_opt,15,0.176,-0.088,0.2,False,72,0.9496219227071876,1.0065597699844084,5.913672329604935e-15
P1_old_full_opt,15,0.176,-0.088,0.25,False,72,0.949337983006101,1.0067504126037763,5.798746899321472e-15
P1_old_full_opt,15,0.176,-0.088,0.3,False,72,0.9489448238955814,1.0069659249307745,6.225922555280761e-15
P1_old_full_opt,15,0.176,-0.088,0.4,False,72,0.9477374291598333,1.0074933124395664,3.926546587873503e-15
P1_old_full_opt,15,0.176,0.0,0.0,True,72,nan,nan,0.0
P1_old_full_opt,15,0.176,0.0,0.0375,True,72,0.9525626395311928,1.0,5.405832032012725e-15
P1_old_full_opt,15,0.176,0.0,0.05,True,72,0.9525706301407795,1.0,4.3846220057486285e-15
P1_old_full_opt,15,0.176,0.0,0.0625,True,72,0.952575220271671,1.0,5.6174682960818956e-15
P1_old_full_opt,15,0.176,0.0,0.075,True,72,0.9525762895809426,1.0,5.615516732171422e-15
P1_old_full_opt,15,0.176,0.0,0.1,True,72,0.9525673498977878,1.0,4.747070792010533e-15
P1_old_full_opt,15,0.176,0.0,0.125,True,72,0.9525427125305552,1.0,4.156831129309424e-15
P1_old_full_opt,15,0.176,0.0,0.15,True,72,0.952501161281732,1.0,5.439659139794273e-15
P1_old_full_opt,15,0.176,0.0,0.175,True,72,0.9524413461912035,1.0,5.884615711382324e-15
P1_old_full_opt,15,0.176,0.0,0.2,False,72,0.9523617647112816,1.0,5.057586294210381e-15
P1_old_full_opt,15,0.176,0.0,0.25,False,72,0.9521363917750911,1.0,5.108760636751697e-15
P1_old_full_opt,15,0.176,0.0,0.3,False,72,0.9518090209918642,1.0,5.64479019082853e-15
P1_old_full_opt,15,0.176,0.0,0.4,False,72,0.9507607907778057,1.0,4.85722573273506e-15
P1_old_full_opt,15,0.176,0.088,0.0,True,72,nan,nan,0.0
P1_old_full_opt,15,0.176,0.088,0.0375,True,72,0.9549770184495624,0.9943994060675372,4.2406399572425535e-15
P1_old_full_opt,15,0.176,0.088,0.05,True,72,0.954993162766776,0.994372461303145,5.047286373571769e-15
P1_old_full_opt,15,0.176,0.088,0.0625,True,72,0.9550061063364212,0.9943448290365049,5.573666528313481e-15
P1_old_full_opt,15,0.176,0.088,0.075,True,72,0.955015735947236,0.9943164837802225,4.66575562907412e-15
P1_old_full_opt,15,0.176,0.088,0.1,True,72,0.9550245675324374,0.9942575462217436,5.528563717938084e-15
P1_old_full_opt,15,0.176,0.088,0.125,True,72,0.9550186231902567,0.9941954179414703,5.040239059450613e-15
P1_old_full_opt,15,0.176,0.088,0.15,True,72,0.9549967573438883,0.9941298437585973,4.945696630009877e-15
P1_old_full_opt,15,0.176,0.088,0.175,False,72,0.9549576982069949,0.9940605403174776,4.7188815355259095e-15
P1_old_full_opt,15,0.176,0.088,0.2,False,72,0.9549000298173218,0.9939871922863281,4.518087293181594e-15
P1_old_full_opt,15,0.176,0.088,0.25,False,72,0.9547223500683165,0.9938199588329826,6.526897078362737e-15
P1_old_full_opt,15,0.176,0.088,0.3,False,72,0.9544486074046159,0.9936456418085098,5.728056917675417e-15
P1_old_full_opt,15,0.176,0.088,0.4,False,72,0.953530332330762,0.9932017721955663,5.100087019371813e-15
