point_id,b,S,E,scenario,t,n_feasible,matrix_rank,n_unique_p,n_unique_q,a_P,a_Q,b_PP,b_QQ,b_PQ,relative_max_residual,rmse_mw,lambda_min_cost,lambda_max_cost,lambda_min_over_lambda_max_pct,is_psd_cost
P1_old_full_opt,15,0.176,0.419,summer,0,37,5,9,17,-0.062028354317509846,-0.036574230064011906,0.02005793333416586,0.019123028074856767,0.0015968959546895367,0.0001635860822602471,6.088289573607005e-07,0.018665261198936068,0.02051570021008656,90.98037604273081,True
P1_old_full_opt,15,0.176,0.419,summer,1,37,5,9,17,-0.056278135756601656,-0.03319062549714064,0.019717240000601793,0.01887169223605282,0.0014300224477571052,0.00017565317932743046,5.907497517297814e-07,0.018463816489539243,0.02012511574711537,91.74514433381957,True
P1_old_full_opt,15,0.176,0.419,summer,2,37,5,9,17,-0.05384818910249613,-0.03176033289944566,0.019574296667617667,0.018765948757538023,0.0013605471895114622,0.00018160545944295232,5.832102252416837e-07,0.018378839735600318,0.019961405689555373,92.07187119701135,True
P1_old_full_opt,15,0.176,0.419,summer,3,37,5,9,17,-0.05237308752582337,-0.030891939839907873,0.019487830349554734,0.018701875453326466,0.0013186734074466348,0.00018551317811387084,5.786847552911027e-07,0.018327287813905333,0.019862417988975867,92.27118180715676,True
P1_old_full_opt,15,0.176,0.419,summer,4,37,5,9,17,-0.05149358075819143,-0.03037412639573211,0.019436385368513227,0.01866371731468147,0.0012938149440460608,0.00018795933785892624,5.760022204211954e-07,0.018296563944415242,0.019803538738779457,92.39037621385695,True
P1_old_full_opt,15,0.176,0.419,summer,5,37,5,9,17,-0.05143021886145559,-0.03033681727326351,0.01943268980437278,0.018660957216365955,0.0012920271953695897,0.00018813862521558096,5.75825910639111e-07,0.018294343367613704,0.01979930365312503,92.39892315468484,True
P1_old_full_opt,15,0.176,0.419,summer,6,37,5,9,17,-0.05235492521569453,-0.03088123590590068,0.019486793672753095,0.018701043453249598,0.001318159251706797,0.00018556121144396864,5.786875800684129e-07,0.018326626698664507,0.01986121042733819,92.27346321973717,True
P1_old_full_opt,15,0.176,0.419,summer,7,37,5,9,17,-0.055340327329920724,-0.03263861546844915,0.019662088428270216,0.01883070409719054,0.0014031360622880143,0.00017787781699401222,5.880276123659534e-07,0.018430922364426772,0.020061870161033984,91.8704099691813,True
P1_old_full_opt,15,0.176,0.419,summer,8,37,5,9,17,-0.06013583200560836,-0.03546068475512455,0.01994563225417671,0.01903979619775708,0.0015415905084624343,0.00016726787165705838,6.033037011363144e-07,0.018598700767330598,0.02038672768460319,91.229456021905,True
P1_old_full_opt,15,0.176,0.419,summer,9,37,5,9,17,-0.06646248849008035,-0.039182417955652304,0.020323019875173817,0.01931785390743902,0.0017279545071007818,0.00015583547561110202,6.230634487069828e-07,0.018820913829878855,0.020819959952733984,90.39841513915772,True
P1_old_full_opt,15,0.176,0.419,summer,10,37,5,9,17,-0.07006632741870322,-0.041301526302070284,0.020540152573779138,0.01947658651437101,0.001836004414989524,0.00015032320472257822,6.351826548710673e-07,0.0189474636841391,0.02106927540401105,89.92935599736852,True
P1_old_full_opt,15,0.176,0.419,summer,11,37,5,9,17,-0.07120985906722324,-0.04197388764671455,0.02060918269113675,0.01952732999519298,0.0018705776170137925,0.00014870989768549158,6.387159928259392e-07,0.018987808996345754,0.02114870368998397,89.78237756169605,True
P1_old_full_opt,15,0.176,0.419,summer,12,37,5,9,17,-0.07073444464527441,-0.04169439689254006,0.02058039233226879,0.01950634995711039,0.001856187204807562,0.00014937682141334696,6.370761476977065e-07,0.018971107422123257,0.02111563486725592,89.84388838595524,True
P1_old_full_opt,15,0.176,0.419,summer,13,37,5,9,17,-0.0688695854768897,-0.04059792707880551,0.02046780130143634,0.0194239677703413,0.001799971136454727,0.0001520870240550743,6.309240863555921e-07,0.0189055138648407,0.02098625520693694,90.0852185319444,True
