point_id,b,S,E,solution_label,coefficient_round,scenario,t,p_center_mw,P_net_mw,Q_mvar,p_slack_mw,line_loss_mw,a_P,a_Q,b_PP,b_QQ,b_PQ,matrix_rank,lambda_min_cost,lambda_max_cost,solver,status,objective,lp_pk_proxy_mw
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,0,0.0,0.1696245875800007,0.046941445315568,7.0039925575786395,0.13870775984813521,-0.06870824090367716,-0.02068740170052853,0.004905989129565136,0.02004935989472178,0.0005104167315867133,5,0.004901689372062919,0.020053659652223995,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,1,0.0,0.009245878816996457,0.17570496264233823,6.5653025076863045,0.12273083194854525,-0.06238377940302892,-0.018745394077199936,0.005956243949596639,0.019714893094257734,0.00037944323591874226,5,0.005953628325747624,0.01971750871810675,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,2,0.0,-1.2176627318987145e-15,0.17594699209052944,6.313847570031006,0.11354889522874416,-0.05970834934217911,-0.017926043039275998,0.006401437916879371,0.019573805527472565,0.000324862746053023,5,0.00639943524423726,0.019575808200114675,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,3,0.0,-0.04561994551230301,0.16995560604861137,6.201361320856255,0.11048257805400821,-0.0580834067211525,-0.017429031044841697,0.006672253008716906,0.019488188501901805,0.0002919478769020547,5,0.006670590576268133,0.01948985093435058,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,4,0.0,-0.1609009170038277,0.07132247126486067,6.226434264988383,0.11530587090965065,-0.05711426431510237,-0.01713283361958275,0.006833893329412677,0.019437160187583315,0.0002724026540981552,5,0.006832421597067201,0.01943863191992879,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,5,0.0,-0.16090091700383002,0.071322471264855,6.219529626918795,0.11505123284005686,-0.05704443519086943,-0.017111382515425013,0.006847470787864569,0.019432993853901723,0.0002709881151378119,5,0.006846012245998984,0.01943445239576731,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,6,0.0,-0.0300892924217663,0.17340886506045736,6.183305255592639,0.1094681954814149,-0.05806339173484032,-0.0174229120822496,0.006675525208573009,0.019487128952849354,0.00029151344521648144,5,0.006673867159082768,0.019488787002339594,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,7,0.0,-1.1716873844261868e-05,0.17594699209052986,6.4746672799342955,0.11950718117027469,-0.061351415960725665,-0.01842908476689555,0.006127643733912593,0.019660434171974557,0.00035822688813131747,5,0.006125273490470348,0.019662804415416804,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,8,0.0,-1.1716873844152202e-05,0.17594699209053052,6.986777414142539,0.13951731537852327,-0.0666277311492794,-0.02004776474658994,0.005250691077248787,0.019939165890807735,0.000466841011254589,5,0.005246982633684358,0.01994287433437216,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,9,0.0,-1.7701492377194664e-16,0.17594699209053083,7.65160727390287,0.16785859910061002,-0.07357883284545269,-0.022187785552938336,0.0041004697944004185,0.020307629036226748,0.0006132888623742711,5,0.004094670063004478,0.02031342876762269,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,10,0.0,0.0,0.175946992090531,8.02494867179242,0.1849499969901546,-0.07753330914333177,-0.023409038096120716,0.0034472034661924525,0.020517896995707163,0.0006978120680025869,5,0.0034400751905873032,0.020525025271312315,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,11,0.0,8.576986509185703e-17,0.17594699209053102,8.14261102883241,0.1905123540301494,-0.07878736271104239,-0.02379688790678273,0.0032407530973797795,0.020584687144681847,0.0007250063668250548,5,0.0032331797750634536,0.020592260466998174,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,12,0.0,1.4779613880679474e-16,0.175946992090531,8.093740484161554,0.18819180935928703,-0.07826605402610191,-0.02363562728067681,0.0033267089390142603,0.020556934807796214,0.000713766003436691,5,0.003319320128016825,0.02056432361879365,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,13,0.0,0.0,0.1759469920905309,7.901398748755211,0.1792000739529474,-0.07622054511532671,-0.02300332613121757,0.0036639881723800204,0.020448091814023513,0.0006697268250260447,5,0.0036573098946453514,0.02045477009175818,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,14,0.0,5.798404528040247e-16,0.17594699209053102,8.214448562912002,0.1939498881097392,-0.07955483187050535,-0.02403437949876744,0.003114223284072754,0.020625550010455213,0.0007415661429698482,5,0.0031063758772797902,0.020633397417248178,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,15,0.0,0.0791315940192382,0.15720747701039495,8.288015899697994,0.19567578356771537,-0.08127735820554056,-0.024567783282473003,0.0028308874767158177,0.020717379124409,0.0007791131672404256,5,0.002822407198988962,0.02072585940213586,CLARABEL,optimal,-18318.917412930932,nan
P1_old_full_opt,15,0.176,0.419,round0,round0,summer,16,0.0,0.09962478816859216,0.14504249286899498,8.353479385329273,0.19854575757230042,-0.082222592414836,-0.024860703286061193,0.002675513084298369,0.020767801991392897,0.0007997942814193573,5,0.002666678399405186,0.02077663667628608,CLARABEL,optimal,-18318.917412930932,nan
