method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged,poly_n,s_cap,norm_true,s_app_deficit,at_s_cap
baseline_a,,P1_old_full_opt,summer,10,-1.740862660551192e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,0.0,1.0405591415379642e-11,1.0405591415379642e-11,nan,0.0,4.36887072747246e-25,0.0,12,0.17000294542687602,1.0405591415394205e-11,nan,False
baseline_a,,P1_old_full_opt,summer,11,-1.964967403404383e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,0.0,9.186628513894232e-12,9.186628513894232e-12,nan,0.0,6.3046672313026135e-25,0.0,12,0.17000294542687602,9.186628513915247e-12,nan,False
baseline_a,,P1_old_full_opt,summer,12,-1.8557951196869835e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,0.0,6.727842583884084e-12,6.727842583884084e-12,nan,0.0,7.678481750608215e-25,0.0,12,0.17000294542687602,6.727842583909679e-12,nan,False
baseline_a,,P1_old_full_opt,summer,13,-1.5272379253542808e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.0642912609687257e-12,3.951970325539584e-12,2.8876790645708587e-12,nan,0.0,1.2115934151914416e-24,0.0,12,0.17000294542687602,2.887679064611245e-12,nan,False
baseline_a,,P1_old_full_opt,summer,14,-2.1224294465333568e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,8.95122837084012e-13,7.179599669551462e-12,6.28447683246745e-12,nan,0.0,1.0752055493482255e-24,0.0,12,0.17000294542687602,6.28447683250329e-12,nan,False
baseline_a,,P1_old_full_opt,summer,15,-2.666440517624432e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.2337855951074438e-12,0.0027542394381566164,0.0027542394369228307,nan,0.0,0.0,0.0,12,0.17000294542687602,0.0027542394369228307,nan,False
baseline_a,,P1_old_full_opt,summer,16,-3.092681874450534e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.2064639765557593e-12,0.17599999994508905,0.1759999999438826,nan,0.0,0.0,0.0,12,0.17000294542687602,0.1759999999438826,nan,False
baseline_a,,P1_old_full_opt,summer,17,-4.04846204937539e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.4126976699370964e-12,9.738088362292233e-12,8.325390692355137e-12,nan,0.0,2.9530347868143112e-24,0.0,12,0.17000294542687602,8.325390692453572e-12,nan,False
baseline_a,,P1_old_full_opt,summer,18,-3.958942996554884e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.6368578031394052e-12,5.011197222686007e-12,3.3743394195466018e-12,nan,0.0,6.967243748718991e-24,0.0,12,0.17000294542687602,3.3743394197788433e-12,nan,False
baseline_a,,P1_old_full_opt,summer,19,-3.603865623753247e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.833828050978538e-12,3.771762601123228e-12,1.93793455014469e-12,nan,0.0,1.0052849576772698e-23,0.0,12,0.17000294542687602,1.937934550479785e-12,nan,False
baseline_a,,P1_old_full_opt,summer,20,-3.202672001468647e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.8947568531520167e-12,3.5377200196022297e-12,1.642963166450213e-12,nan,0.0,9.364579165475674e-24,0.0,12,0.17000294542687602,1.6429631667623657e-12,nan,False
baseline_a,,P1_old_full_opt,summer,21,-2.2486312935646196e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,2.612458419188015e-12,2.339014903554722e-12,-2.734435156332928e-13,nan,0.0,2.773704160568348e-23,0.0,12,0.17000294542687602,2.7344351655786087e-13,nan,False
baseline_a,,P1_old_full_opt,summer,22,-1.4996450682521418e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,3.902306813357681e-12,1.8052488996659018e-12,-2.0970579136917794e-12,nan,0.0,1.6086401092168952e-24,0.0,12,0.17000294542687602,2.0970579137454007e-12,nan,False
baseline_a,,P1_old_full_opt,summer,23,-1.1258874229872715e-17,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,6.4324736089983466e-12,1.5275328115465516e-12,-4.904940797451795e-12,nan,0.0,3.876682107132069e-25,0.0,12,0.17000294542687602,4.904940797464718e-12,nan,False
baseline_a,,P1_old_full_opt,winter,0,-1.0489998029401603e-19,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.3450218034959885e-14,0.17599999999995872,0.17599999999994526,nan,0.0,0.0,0.0,12,0.17000294542687602,0.17599999999994526,nan,False
baseline_a,,P1_old_full_opt,winter,1,-5.767102440521297e-20,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,2.220077694460369e-14,1.9716700467105786e-13,1.7496622772645417e-13,nan,0.0,2.8474723234857667e-28,0.0,12,0.17000294542687602,1.7496622772646366e-13,nan,False
baseline_a,,P1_old_full_opt,winter,2,-3.9395479524872245e-20,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,1.026334654881892e-13,2.4769546068792036e-14,-7.786391941939716e-14,nan,0.0,2.9913605525980794e-28,0.0,12,0.17000294542687602,7.786391941940713e-14,nan,False
baseline_a,,P1_old_full_opt,winter,3,-3.0578173271162507e-20,,,,False,0.04555215193804365,0.0013665645581413107,,,0,,,,,,,True,0.17599999999962174,1.8953414164724388e-14,-0.17599999999960278,nan,0.0,0.0,0.0,12,0.17000294542687602,0.17599999999960278,nan,False
