point_id,bus,S,scenario,t,p_level,q_level,feasible,A,B,C,dLoss_total,alpha,dloss_ratio_to_p0,identity_abs_mw
P1_old_full_opt,15,0.176,summer,0,-0.176,0.0,True,0.0,0.0,0.0,0.0,nan,nan,0.0
P1_old_full_opt,15,0.176,summer,0,-0.176,0.0375,False,0.0006750470859122973,2.2040286426132143e-05,1.5194149634458264e-05,0.0007122815219728906,0.9477251130178687,1.012613564133669,2.927345865710862e-18
P1_old_full_opt,15,0.176,summer,0,-0.176,0.05,False,0.0008889553734112285,2.8846740135745004e-05,2.0200822945244766e-05,0.000938002936492599,0.9477106508165419,1.0126839535496317,3.8077180297690916e-16
P1_old_full_opt,15,0.176,summer,0,-0.176,0.0625,False,0.0010973153833035015,3.538355347174099e-05,2.5182680483898163e-05,0.0011578816172586048,0.9476922052718139,1.0127561432237566,5.358127136423363e-16
P1_old_full_opt,15,0.176,summer,0,-0.176,0.075,False,0.0013001303630291402,4.165103009335847e-05,3.014223554590893e-05,0.0013719236286717784,0.9476696339779901,1.0128302002669092,3.3707845542574333e-15
P1_old_full_opt,15,0.176,summer,0,-0.176,0.1,False,0.001689138195911985,5.3379182917606516e-05,4.0004457726240664e-05,0.0017825218365545847,0.9476115025759797,1.012984203936465,1.2474830196618214e-15
P1_old_full_opt,15,0.176,summer,0,-0.176,0.125,False,0.0020560047474512157,6.40335966913794e-05,4.9807461195700315e-05,0.002169845805337106,0.947534954969667,1.0131465763350866,1.1891529427821013e-15
P1_old_full_opt,15,0.176,summer,0,-0.176,0.15,False,0.0024007558092429913,7.361663940974048e-05,5.957111056200824e-05,0.0025339435592144077,0.9474385490998433,1.0133179956104998,3.3219954564955856e-16
P1_old_full_opt,15,0.176,summer,0,-0.176,0.175,False,0.0027234170895328856,8.213064807721474e-05,6.93151639868797e-05,0.0028748629015983296,0.9473206837163451,1.0134992151368083,1.349614864309956e-15
P1_old_full_opt,15,0.176,summer,0,-0.176,0.2,False,0.0030240142136693515,8.957792963714385e-05,7.905927385933978e-05,0.0031926514171675413,0.947179575386341,1.0136910746974477,1.7061005386231898e-15
