method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err,inaccurate,free_zone_width_mvar,max_uncounted_loss_mva,n_free_zone_hours,n_vertex_stuck_hours,n_nonzero_q_hours,frac_in_free_zone,max_pad_mw,max_pad_scenario,max_pad_t,max_pad_unit,max_pad_annual_won_implied,qp_v2_correction,p_ch,p_dis,p_net,s_app,q_penalty,pcs_true,pcs_charged
pwl,1,P1_old_full_opt,summer,0,0.01725101669800584,0.0,0.01725101669800584,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,6.356930276488797e-16,0.17515251189430553,0.1751525118943049,0.1751525118943061,2.0352370085611513e-15,2.5424643170810524e-05,6.105711025683459e-17
pwl,1,P1_old_full_opt,summer,1,0.0011278760375835668,0.0,0.0011278760375835668,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,7.990216359437676e-16,0.0037181090103635852,0.0037181090103627864,0.0038667042876670537,0.0001485952773037721,5.019138175671508e-06,4.457858319113167e-06
pwl,1,P1_old_full_opt,summer,2,7.133621414259868e-12,0.0,7.133621414259868e-12,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,9.078967474234833e-11,0.0,-9.078967474234833e-11,7.2094646844597e-11,1.7375184357669547e-11,8.394718866932264e-15,5.212555307300869e-13
pwl,1,P1_old_full_opt,summer,3,0.014316646100815756,0.02,0.005683353899184245,0.28416769495921224,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,0.047195657228159445,7.328239293509349e-16,-0.04719565722815871,0.0490818450063352,0.001886187778176275,6.371021512798202e-05,5.6585633345288305e-05
pwl,1,P1_old_full_opt,summer,4,0.017251016698012437,0.0,0.017251016698012437,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,0.17515251189430292,6.210331306153144e-16,-0.1751525118943023,0.17515251189430533,3.730864169300793e-15,2.5424643170829674e-05,1.119259250790239e-16
pwl,1,P1_old_full_opt,summer,5,0.0172510166980123,0.0,0.0172510166980123,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,0.17515251189430295,6.142763019376209e-16,-0.17515251189430234,0.17515251189430533,3.708457987408706e-15,2.5424643170829674e-05,1.1125373962226128e-16
pwl,1,P1_old_full_opt,summer,6,3.554220422883529e-06,0.0,3.554220422883529e-06,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,1.1716704726159514e-05,1.7847565230356315e-14,-1.171670470831195e-05,1.2184965098646745e-05,4.682603417053191e-07,1.5816550718506832e-08,1.4047810251159586e-08
pwl,1,P1_old_full_opt,summer,7,3.6166791515272288e-06,0.0,3.6166791515272288e-06,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,1.1709381918609527e-05,0.0,-1.1709381918609527e-05,1.2204802013720198e-05,5.064342352125946e-07,1.637462317594646e-08,1.5193027056377852e-08
pwl,1,P1_old_full_opt,summer,8,3.554224636479508e-06,0.0,3.554224636479508e-06,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,1.1716704525171456e-05,0.0,-1.1716704525171456e-05,1.218496614808796e-05,4.6826172017351457e-07,1.5816587649347196e-08,1.404785160520545e-08
pwl,1,P1_old_full_opt,summer,9,4.189413106257167e-14,0.0,4.189413106257167e-14,,False,0.017251016698002664,0.0008474881056933404,22,6,30,0.7333333333333333,4.066583282603517e-08,shoulder,6,0,0.8458493227815315,True,8.780845978999507e-15,0.0,-8.780845978999507e-15,6.213311445999391e-14,9.3445065021773e-14,1.0207083076873096e-15,2.8033519506531923e-15
