bus,scenario,t,P_assumed,S_assumed,lhs_0,a_slope,q_star,gain_won
1,summer,0,0.0,0.3,0.0007263921790764852,0.025,0.0,0.0
1,summer,0,0.0,1.0,0.0007263921790764852,0.025,0.0,0.0
1,summer,0,0.0,2.4,0.0007263921790764852,0.025,0.0,0.0
1,summer,0,0.1,0.3,0.0007263921790764852,0.025,0.00223556833534543,0.10604463827607871
1,summer,0,0.1,1.0,0.0007263921790764852,0.025,0.0022355683353314035,0.10604463827610103
1,summer,0,0.1,2.4,0.0007263921790764852,0.025,0.002235568335277352,0.10604463827609835
1,summer,0,0.3,0.3,0.0007263921790764852,0.025,0.0,0.0
1,summer,0,0.3,1.0,0.0007263921790764852,0.025,0.005812009749445407,0.27570496243516346
1,summer,0,0.3,2.4,0.0007263921790764852,0.025,0.005812009749444907,0.27570496243512566
1,summer,0,0.5,1.0,0.0007263921790764852,0.025,0.00854667150902646,0.40543894793460233
1,summer,0,0.5,2.4,0.0007263921790764852,0.025,0.008546671509026424,0.4054389479345998
1,summer,0,1.0,1.0,0.0007263921790764852,0.025,0.0,0.0
1,summer,0,1.0,2.4,0.0007263921790764852,0.025,0.01320775881721052,0.6265700666810721
2,summer,0,0.0,0.3,0.004253123320800722,0.025,0.0,0.0
2,summer,0,0.0,1.0,0.004253123320800722,0.025,0.0,0.0
2,summer,0,0.0,2.4,0.004253123320800722,0.025,0.0,0.0
2,summer,0,0.1,0.3,0.004253123320800722,0.025,0.01319110850997684,3.649536857103434
2,summer,0,0.1,1.0,0.004253123320800722,0.025,0.013191108509923133,3.6495368571034286
2,summer,0,0.1,2.4,0.004253123320800722,0.025,0.013191108509923192,3.6495368571034588
2,summer,0,0.3,0.3,0.004253123320800722,0.025,0.0,0.0
2,summer,0,0.3,1.0,0.004253123320800722,0.025,0.03420107401125907,9.475579843024901
2,summer,0,0.3,2.4,0.004253123320800722,0.025,0.034201074011291965,9.47557984302493
2,summer,0,0.5,1.0,0.004253123320800722,0.025,0.050214151903282225,13.923394875207281
2,summer,0,0.5,2.4,0.004253123320800722,0.025,0.050214151903282496,13.923394875207387
2,summer,0,1.0,1.0,0.004253123320800722,0.025,0.0,0.0
2,summer,0,1.0,2.4,0.004253123320800722,0.025,0.07745568013331137,21.497454329223324
3,summer,0,0.0,0.3,0.006273608802370278,0.025,0.0,0.0
3,summer,0,0.0,1.0,0.006273608802370278,0.025,0.0,0.0
3,summer,0,0.0,2.4,0.006273608802370278,0.025,0.0,0.0
3,summer,0,0.1,0.3,0.006273608802370278,0.025,0.019643435064204667,7.978277808567061
3,summer,0,0.1,1.0,0.006273608802370278,0.025,0.019643435064223624,7.978277808567022
3,summer,0,0.1,2.4,0.006273608802370278,0.025,0.01964343506375806,7.978277808567004
3,summer,0,0.3,0.3,0.006273608802370278,0.025,0.0,0.0
3,summer,0,0.3,1.0,0.006273608802370278,0.025,0.05075788584537468,20.679936697385298
3,summer,0,0.3,2.4,0.006273608802370278,0.025,0.05075788584557638,20.679936697385322
3,summer,0,0.5,1.0,0.006273608802370278,0.025,0.07437860242509717,30.357770728099226
3,summer,0,0.5,2.4,0.006273608802370278,0.025,0.07437860242517934,30.35777072809918
3,summer,0,1.0,1.0,0.006273608802370278,0.025,0.0,0.0
3,summer,0,1.0,2.4,0.006273608802370278,0.025,0.11447072102921803,46.81900311065087
4,summer,0,0.0,0.3,0.008279602999528006,0.025,0.0,0.0
4,summer,0,0.0,1.0,0.008279602999528006,0.025,0.0,0.0
4,summer,0,0.0,2.4,0.008279602999528006,0.025,0.0,0.0
4,summer,0,0.1,0.3,0.008279602999528006,0.025,0.026271620231377284,13.987925276467175
4,summer,0,0.1,1.0,0.008279602999528006,0.025,0.02627162023137351,13.98792527646717
4,summer,0,0.1,2.4,0.008279602999528006,0.025,0.026271620231373503,13.987925276467163
4,summer,0,0.3,0.3,0.008279602999528006,0.025,0.0,0.0
4,summer,0,0.3,1.0,0.008279602999528006,0.025,0.06755716506227823,36.171325671282624
4,summer,0,0.3,2.4,0.008279602999528006,0.025,0.0675571650622789,36.171325671282574
4,summer,0,0.5,1.0,0.008279602999528006,0.025,0.09872715628915621,53.027524813141326
4,summer,0,0.5,2.4,0.008279602999528006,0.025,0.0987271562891186,53.027524813141476
4,summer,0,1.0,1.0,0.008279602999528006,0.025,0.0,0.0
4,summer,0,1.0,2.4,0.008279602999528006,0.025,0.15147001545850883,81.65398086489635
5,summer,0,0.0,0.3,0.01251714733900398,0.025,0.0,0.0
5,summer,0,0.0,1.0,0.01251714733900398,0.025,0.0,0.0
5,summer,0,0.0,2.4,0.01251714733900398,0.025,0.0,0.0
5,summer,0,0.1,0.3,0.01251714733900398,0.025,0.041425601628995785,32.635930926880775
5,summer,0,0.1,1.0,0.01251714733900398,0.025,0.041425601628798256,32.6359309268808
5,summer,0,0.1,2.4,0.01251714733900398,0.025,0.04142560162899578,32.63593092688081
5,summer,0,0.3,0.3,0.01251714733900398,0.025,0.0,0.0
5,summer,0,0.3,1.0,0.01251714733900398,0.025,0.10483167597654595,83.7483807456799
5,summer,0,0.3,2.4,0.01251714733900398,0.025,0.10483167597654688,83.74838074567997
