point_id,M,scenario,t,m,boundary_lo,boundary_hi,delta_m,slope
P1_old_full_opt,1,summer,0,0,0.0,0.5,0.5,0.01026008092102551
P1_old_full_opt,1,summer,1,0,0.0,0.5,0.5,0.00855384985467375
P1_old_full_opt,1,summer,2,0,0.0,0.5,0.5,0.007832462425549164
P1_old_full_opt,1,summer,3,0,0.0,0.5,0.5,0.007394444257403682
P1_old_full_opt,1,summer,4,0,0.0,0.5,0.5,0.007133248018702271
P1_old_full_opt,1,summer,5,0,0.0,0.5,0.5,0.007114429797085403
P1_old_full_opt,1,summer,6,0,0.0,0.5,0.5,0.007389050667030245
P1_old_full_opt,1,summer,7,0,0.0,0.5,0.5,0.008275463670049416
P1_old_full_opt,1,summer,8,0,0.0,0.5,0.5,0.009698661042987916
P1_old_full_opt,1,summer,9,0,0.0,0.5,0.5,0.01157491465563254
P1_old_full_opt,1,summer,10,0,0.0,0.5,0.5,0.012642937935939236
P1_old_full_opt,1,summer,11,0,0.0,0.5,0.5,0.012981713001028294
P1_old_full_opt,1,summer,12,0,0.0,0.5,0.5,0.012840876969245962
P1_old_full_opt,1,summer,13,0,0.0,0.5,0.5,0.012288337260147053
P1_old_full_opt,1,summer,14,0,0.0,0.5,0.5,0.013189064752875568
P1_old_full_opt,1,summer,15,0,0.0,0.5,0.5,0.013654495428096047
P1_old_full_opt,1,summer,16,0,0.0,0.5,0.5,0.013909931017079713
P1_old_full_opt,1,summer,17,0,0.0,0.5,0.5,0.014361643024713044
P1_old_full_opt,1,summer,18,0,0.0,0.5,0.5,0.01431782839793222
P1_old_full_opt,1,summer,19,0,0.0,0.5,0.5,0.014169020083286854
P1_old_full_opt,1,summer,20,0,0.0,0.5,0.5,0.0139855417467189
P1_old_full_opt,1,summer,21,0,0.0,0.5,0.5,0.013304471039073229
P1_old_full_opt,1,summer,22,0,0.0,0.5,0.5,0.012179955285880117
P1_old_full_opt,1,summer,23,0,0.0,0.5,0.5,0.011176685500879857
P1_old_full_opt,1,winter,0,0,0.0,0.5,0.5,0.011190776067037833
P1_old_full_opt,1,winter,1,0,0.0,0.5,0.5,0.009737454039793009
P1_old_full_opt,1,winter,2,0,0.0,0.5,0.5,0.009030838094167937
P1_old_full_opt,1,winter,3,0,0.0,0.5,0.5,0.008627691849775965
P1_old_full_opt,1,winter,4,0,0.0,0.5,0.5,0.008463684763026724
P1_old_full_opt,1,winter,5,0,0.0,0.5,0.5,0.008614012611336708
P1_old_full_opt,1,winter,6,0,0.0,0.5,0.5,0.009146370745616889
P1_old_full_opt,1,winter,7,0,0.0,0.5,0.5,0.010285179566211305
P1_old_full_opt,1,winter,8,0,0.0,0.5,0.5,0.01209448504759214
P1_old_full_opt,1,winter,9,0,0.0,0.5,0.5,0.01426819792272327
P1_old_full_opt,1,winter,10,0,0.0,0.5,0.5,0.014423019807118576
P1_old_full_opt,1,winter,11,0,0.0,0.5,0.5,0.013837289160218647
P1_old_full_opt,1,winter,12,0,0.0,0.5,0.5,0.01295007715087837
P1_old_full_opt,1,winter,13,0,0.0,0.5,0.5,0.011648545659133924
P1_old_full_opt,1,winter,14,0,0.0,0.5,0.5,0.012408283747187498
P1_old_full_opt,1,winter,15,0,0.0,0.5,0.5,0.012812162563434759
P1_old_full_opt,1,winter,16,0,0.0,0.5,0.5,0.013238093994399847
P1_old_full_opt,1,winter,17,0,0.0,0.5,0.5,0.013872149821269553
P1_old_full_opt,1,winter,18,0,0.0,0.5,0.5,0.013860528077051903
P1_old_full_opt,1,winter,19,0,0.0,0.5,0.5,0.01351837092447944
P1_old_full_opt,1,winter,20,0,0.0,0.5,0.5,0.012967331661692727
P1_old_full_opt,1,winter,21,0,0.0,0.5,0.5,0.012217018267655366
P1_old_full_opt,1,winter,22,0,0.0,0.5,0.5,0.011447622796303625
P1_old_full_opt,1,winter,23,0,0.0,0.5,0.5,0.011196412931010091
P1_old_full_opt,1,shoulder,0,0,0.0,0.5,0.5,0.008745411472246667
P1_old_full_opt,1,shoulder,1,0,0.0,0.5,0.5,0.007281250546903789
P1_old_full_opt,1,shoulder,2,0,0.0,0.5,0.5,0.006680083119615737
P1_old_full_opt,1,shoulder,3,0,0.0,0.5,0.5,0.0063597731940037705
P1_old_full_opt,1,shoulder,4,0,0.0,0.5,0.5,0.006224007704221157
P1_old_full_opt,1,shoulder,5,0,0.0,0.5,0.5,0.006341125805991832
P1_old_full_opt,1,shoulder,6,0,0.0,0.5,0.5,0.0067871227266265155
P1_old_full_opt,1,shoulder,7,0,0.0,0.5,0.5,0.007661854615282737
P1_old_full_opt,1,shoulder,8,0,0.0,0.5,0.5,0.008775566681113733
P1_old_full_opt,1,shoulder,9,0,0.0,0.5,0.5,0.009823414831895444
P1_old_full_opt,1,shoulder,10,0,0.0,0.5,0.5,0.009859488357128993
P1_old_full_opt,1,shoulder,11,0,0.0,0.5,0.5,0.009543663041276407
P1_old_full_opt,1,shoulder,12,0,0.0,0.5,0.5,0.008975877016230899
P1_old_full_opt,1,shoulder,13,0,0.0,0.5,0.5,0.008177425312468789
P1_old_full_opt,1,shoulder,14,0,0.0,0.5,0.5,0.009025340406198845
P1_old_full_opt,1,shoulder,15,0,0.0,0.5,0.5,0.009529837455005102
P1_old_full_opt,1,shoulder,16,0,0.0,0.5,0.5,0.010009493459065155
P1_old_full_opt,1,shoulder,17,0,0.0,0.5,0.5,0.010670937254421031
P1_old_full_opt,1,shoulder,18,0,0.0,0.5,0.5,0.010864460260980646
P1_old_full_opt,1,shoulder,19,0,0.0,0.5,0.5,0.011007776140066122
P1_old_full_opt,1,shoulder,20,0,0.0,0.5,0.5,0.010853229772635836
P1_old_full_opt,1,shoulder,21,0,0.0,0.5,0.5,0.010265657769838982
P1_old_full_opt,1,shoulder,22,0,0.0,0.5,0.5,0.009612824204301734
P1_old_full_opt,1,shoulder,23,0,0.0,0.5,0.5,0.009182162297243529
P1_old_full_opt,2,summer,0,0,0.0,0.025,0.025,0.01899022103375614
P1_old_full_opt,2,summer,0,1,0.025,0.5,0.475,0.009800599862460742
P1_old_full_opt,2,summer,1,0,0.0,0.025,0.025,0.017194485004890514
P1_old_full_opt,2,summer,1,1,0.025,0.5,0.475,0.008099079583609711
P1_old_full_opt,2,summer,2,0,0.0,0.025,0.025,0.016435301447745854
P1_old_full_opt,2,summer,2,1,0.025,0.5,0.475,0.0073796814243809175
P1_old_full_opt,2,summer,3,0,0.0,0.025,0.025,0.015974347177223902
P1_old_full_opt,2,summer,3,1,0.025,0.5,0.475,0.006942870419518407
P1_old_full_opt,2,summer,4,0,0.0,0.025,0.025,0.015699478583580118
P1_old_full_opt,2,summer,4,1,0.025,0.5,0.475,0.006682393778445542
P1_old_full_opt,2,summer,5,0,0.0,0.025,0.025,0.015679675453878494
P1_old_full_opt,2,summer,5,1,0.025,0.5,0.475,0.006663627394096293
P1_old_full_opt,2,summer,6,0,0.0,0.025,0.025,0.015968671226160858
P1_old_full_opt,2,summer,6,1,0.025,0.5,0.475,0.006937491690233897
P1_old_full_opt,2,summer,7,0,0.0,0.025,0.025,0.01690150991379258
P1_old_full_opt,2,summer,7,1,0.025,0.5,0.475,0.007821461236168196
P1_old_full_opt,2,summer,8,0,0.0,0.025,0.025,0.018399333302623888
P1_old_full_opt,2,summer,8,1,0.025,0.5,0.475,0.009240730924059708
P1_old_full_opt,2,summer,9,0,0.0,0.025,0.025,0.020374133930692873
P1_old_full_opt,2,summer,9,1,0.025,0.5,0.475,0.011111797851681997
P1_old_full_opt,2,summer,10,0,0.0,0.025,0.025,0.02149833810839441
P1_old_full_opt,2,summer,10,1,0.025,0.5,0.475,0.012176864242652121
P1_old_full_opt,2,summer,11,0,0.0,0.025,0.025,0.021854946624140226
P1_old_full_opt,2,summer,11,1,0.025,0.5,0.475,0.012514700705075035
P1_old_full_opt,2,summer,12,0,0.0,0.025,0.025,0.02170669608771547
P1_old_full_opt,2,summer,12,1,0.025,0.5,0.475,0.012374254910379147
P1_old_full_opt,2,summer,13,0,0.0,0.025,0.025,0.02112507760937743
P1_old_full_opt,2,summer,13,1,0.025,0.5,0.475,0.01182324566281914
P1_old_full_opt,2,summer,14,0,0.0,0.025,0.025,0.022073216674987073
P1_old_full_opt,2,summer,14,1,0.025,0.5,0.475,0.012721477809606542
P1_old_full_opt,2,summer,15,0,0.0,0.025,0.025,0.022563163614257586
P1_old_full_opt,2,summer,15,1,0.025,0.5,0.475,0.013185618155140178
P1_old_full_opt,2,summer,16,0,0.0,0.025,0.025,0.022832059175117436
P1_old_full_opt,2,summer,16,1,0.025,0.5,0.475,0.013440345324551413
P1_old_full_opt,2,summer,17,0,0.0,0.025,0.025,0.0233075825899276
P1_old_full_opt,2,summer,17,1,0.025,0.5,0.475,0.013890804100228069
P1_old_full_opt,2,summer,18,0,0.0,0.025,0.025,0.023261457838632538
P1_old_full_opt,2,summer,18,1,0.025,0.5,0.475,0.013847111058947993
P1_old_full_opt,2,summer,19,0,0.0,0.025,0.025,0.02310480440472884
P1_old_full_opt,2,summer,19,1,0.025,0.5,0.475,0.013698715645316224
P1_old_full_opt,2,summer,20,0,0.0,0.025,0.025,0.02291165484430424
