method,M,point_id,scenario,t,q_lp,q_star,abs_err,rel_err
pwl,1,P1_old_full_opt,shoulder,9,2.547037917602173e-10,0.0,2.547037917602173e-10,
pwl,1,P1_old_full_opt,shoulder,10,0.047159057924159205,0.0,0.047159057924159205,
pwl,1,P1_old_full_opt,shoulder,11,0.0007431577175774006,0.0,0.0007431577175774006,
pwl,1,P1_old_full_opt,shoulder,12,1.9448778100668584e-10,0.0,1.9448778100668584e-10,
pwl,1,P1_old_full_opt,shoulder,13,1.749784510796652e-10,0.0,1.749784510796652e-10,
pwl,1,P1_old_full_opt,shoulder,14,1.8069754256375843e-10,0.0,1.8069754256375843e-10,
pwl,1,P1_old_full_opt,shoulder,15,2.0280115662354713e-10,0.0,2.0280115662354713e-10,
pwl,1,P1_old_full_opt,shoulder,16,3.626536058887854e-10,0.0,3.626536058887854e-10,
pwl,1,P1_old_full_opt,shoulder,17,4.4459338479987916e-10,0.0,4.4459338479987916e-10,
pwl,1,P1_old_full_opt,shoulder,18,3.779848484146121e-10,0.0,3.779848484146121e-10,
pwl,1,P1_old_full_opt,shoulder,19,5.092133256241056e-10,0.0,5.092133256241056e-10,
pwl,1,P1_old_full_opt,shoulder,20,3.322672698132503e-10,0.0,3.322672698132503e-10,
pwl,1,P1_old_full_opt,shoulder,21,1.8962300366399524e-10,0.0,1.8962300366399524e-10,
pwl,1,P1_old_full_opt,shoulder,22,1.838941717985944e-10,0.0,1.838941717985944e-10,
pwl,1,P1_old_full_opt,shoulder,23,2.0824752537816435e-10,0.0,2.0824752537816435e-10,
pwl,1,P2_dev_run1,summer,0,0.04621258910077381,0.1,0.053787410899226194,0.537874108992262
pwl,1,P2_dev_run1,summer,1,1.1461904654350353e-13,0.0,1.1461904654350353e-13,
pwl,1,P2_dev_run1,summer,2,5.240507792528402e-08,0.0,5.240507792528402e-08,
pwl,1,P2_dev_run1,summer,3,0.0,0.0,0.0,
pwl,1,P2_dev_run1,summer,4,0.021506857777365506,0.05,0.028493142222634497,0.5698628444526899
pwl,1,P2_dev_run1,summer,5,0.08118860518117818,0.0,0.08118860518117818,
pwl,1,P2_dev_run1,summer,6,3.0271308574225003e-06,0.0,3.0271308574225003e-06,
pwl,1,P2_dev_run1,summer,7,3.027131349870098e-06,0.0,3.027131349870098e-06,
pwl,1,P2_dev_run1,summer,8,3.027130527244414e-06,0.0,3.027130527244414e-06,
pwl,1,P2_dev_run1,summer,9,1.6031910198281615e-13,0.0,1.6031910198281615e-13,
pwl,1,P2_dev_run1,summer,10,1.3671071857372015e-13,0.0,1.3671071857372015e-13,
pwl,1,P2_dev_run1,summer,11,1.4134004477133128e-13,0.0,1.4134004477133128e-13,
pwl,1,P2_dev_run1,summer,12,1.372239888962152e-13,0.0,1.372239888962152e-13,
pwl,1,P2_dev_run1,summer,13,1.315182995787384e-13,0.0,1.315182995787384e-13,
pwl,1,P2_dev_run1,summer,14,1.483416057352537e-13,0.0,1.483416057352537e-13,
pwl,1,P2_dev_run1,summer,15,1.1191584091112603e-12,0.0,1.1191584091112603e-12,
pwl,1,P2_dev_run1,summer,16,0.04618234506882338,0.1,0.05381765493117663,0.5381765493117663
pwl,1,P2_dev_run1,summer,17,1.890932153241318e-13,0.0,1.890932153241318e-13,
pwl,1,P2_dev_run1,summer,18,1.5674675438248092e-13,0.0,1.5674675438248092e-13,
pwl,1,P2_dev_run1,summer,19,1.5192531186437378e-13,0.0,1.5192531186437378e-13,
pwl,1,P2_dev_run1,summer,20,1.4947809315303535e-13,0.0,1.4947809315303535e-13,
pwl,1,P2_dev_run1,summer,21,1.4352005782350865e-13,0.0,1.4352005782350865e-13,
pwl,1,P2_dev_run1,summer,22,1.3875728176470425e-13,0.0,1.3875728176470425e-13,
pwl,1,P2_dev_run1,summer,23,1.7035036857963552e-13,0.0,1.7035036857963552e-13,
pwl,1,P2_dev_run1,winter,0,0.04621259147013286,0.1,0.053787408529867145,0.5378740852986714
pwl,1,P2_dev_run1,winter,1,1.2582048007918075e-12,0.0,1.2582048007918075e-12,
pwl,1,P2_dev_run1,winter,2,1.2208033999060416e-07,0.0,1.2208033999060416e-07,
pwl,1,P2_dev_run1,winter,3,0.021506881203189377,0.05,0.028493118796810626,0.5698623759362125
pwl,1,P2_dev_run1,winter,4,0.08118860530666427,0.0,0.08118860530666427,
pwl,1,P2_dev_run1,winter,5,3.027063270913505e-06,0.0,3.027063270913505e-06,
pwl,1,P2_dev_run1,winter,6,3.0270682682947966e-06,0.0,3.0270682682947966e-06,
pwl,1,P2_dev_run1,winter,7,3.027075251263924e-06,0.0,3.027075251263924e-06,
pwl,1,P2_dev_run1,winter,8,3.0270663627879786e-06,0.0,3.0270663627879786e-06,
pwl,1,P2_dev_run1,winter,9,4.1317360085653325e-12,0.0,4.1317360085653325e-12,
pwl,1,P2_dev_run1,winter,10,0.0811886053066813,0.0,0.0811886053066813,
pwl,1,P2_dev_run1,winter,11,0.011232418255521846,0.05,0.038767581744478155,0.775351634889563
pwl,1,P2_dev_run1,winter,12,1.035251699126324e-12,0.0,1.035251699126324e-12,
pwl,1,P2_dev_run1,winter,13,9.393661560424753e-13,0.0,9.393661560424753e-13,
pwl,1,P2_dev_run1,winter,14,9.16139633731699e-13,0.0,9.16139633731699e-13,
pwl,1,P2_dev_run1,winter,15,9.457610768444102e-13,0.0,9.457610768444102e-13,
pwl,1,P2_dev_run1,winter,16,1.0383185056271541e-12,0.0,1.0383185056271541e-12,
pwl,1,P2_dev_run1,winter,17,1.1606043634756656e-12,0.0,1.1606043634756656e-12,
pwl,1,P2_dev_run1,winter,18,1.0700628253602452e-12,0.0,1.0700628253602452e-12,
pwl,1,P2_dev_run1,winter,19,1.1003524194082486e-12,0.0,1.1003524194082486e-12,
pwl,1,P2_dev_run1,winter,20,1.6045703431953436e-12,0.0,1.6045703431953436e-12,
pwl,1,P2_dev_run1,winter,21,2.351671750097097e-08,0.0,2.351671750097097e-08,
pwl,1,P2_dev_run1,winter,22,0.0,0.0,0.0,
pwl,1,P2_dev_run1,winter,23,0.05134742909071803,0.1,0.048652570909281975,0.4865257090928197
