bus,S_mva,scenario,t,p_center_fraction,p_center_mw,region,truth_center_mw,truth_sample_count,truth_pf_attempts_actual,truth_baseline_loss_mw,truth_a_P,truth_a_Q,truth_b_PP,truth_b_QQ,truth_b_PQ,full25_fallback_a_P,full25_fallback_a_Q,full25_fallback_b_PP,full25_fallback_b_QQ,full25_fallback_b_PQ,full25_fallback_measurement_center_mw,full25_fallback_sample_count,full25_fallback_pf_attempts_actual,full25_fallback_pf_retries,full25_fallback_pf_failures,full25_fallback_fit_rank,full25_fallback_rank_lt5,full25_fallback_source_min7_rank,full25_fallback_source_q_column_norm,full25_fallback_fallback_used,full25_fallback_q_gate_exempt,full25_fallback_a_Q_identified,full25_fallback_pred_max_abs_mw,full25_fallback_pred_rmse_mw,full25_fallback_pred_max_abs_rel_baseline,full25_fallback_pred_rmse_rel_baseline,full25_fallback_h_min_eig,full25_fallback_a_P_ok,full25_fallback_a_Q_ok,full25_fallback_psd_ok,full25_fallback_gate_all_ok,pull_t0.90_p0.85_a_P,pull_t0.90_p0.85_a_Q,pull_t0.90_p0.85_b_PP,pull_t0.90_p0.85_b_QQ,pull_t0.90_p0.85_b_PQ,pull_t0.90_p0.85_measurement_center_mw,pull_t0.90_p0.85_sample_count,pull_t0.90_p0.85_pf_attempts_actual,pull_t0.90_p0.85_pf_retries,pull_t0.90_p0.85_pf_failures,pull_t0.90_p0.85_fit_rank,pull_t0.90_p0.85_rank_lt5,pull_t0.90_p0.85_source_min7_rank,pull_t0.90_p0.85_source_q_column_norm,pull_t0.90_p0.85_fallback_used,pull_t0.90_p0.85_q_gate_exempt,pull_t0.90_p0.85_a_Q_identified,pull_t0.90_p0.85_pred_max_abs_mw,pull_t0.90_p0.85_pred_rmse_mw,pull_t0.90_p0.85_pred_max_abs_rel_baseline,pull_t0.90_p0.85_pred_rmse_rel_baseline,pull_t0.90_p0.85_h_min_eig,pull_t0.90_p0.85_a_P_ok,pull_t0.90_p0.85_a_Q_ok,pull_t0.90_p0.85_psd_ok,pull_t0.90_p0.85_gate_all_ok,pull_t0.90_p0.90_a_P,pull_t0.90_p0.90_a_Q,pull_t0.90_p0.90_b_PP,pull_t0.90_p0.90_b_QQ,pull_t0.90_p0.90_b_PQ,pull_t0.90_p0.90_measurement_center_mw,pull_t0.90_p0.90_sample_count,pull_t0.90_p0.90_pf_attempts_actual,pull_t0.90_p0.90_pf_retries,pull_t0.90_p0.90_pf_failures,pull_t0.90_p0.90_fit_rank,pull_t0.90_p0.90_rank_lt5,pull_t0.90_p0.90_source_min7_rank,pull_t0.90_p0.90_source_q_column_norm,pull_t0.90_p0.90_fallback_used,pull_t0.90_p0.90_q_gate_exempt,pull_t0.90_p0.90_a_Q_identified,pull_t0.90_p0.90_pred_max_abs_mw,pull_t0.90_p0.90_pred_rmse_mw,pull_t0.90_p0.90_pred_max_abs_rel_baseline,pull_t0.90_p0.90_pred_rmse_rel_baseline,pull_t0.90_p0.90_h_min_eig,pull_t0.90_p0.90_a_P_ok,pull_t0.90_p0.90_a_Q_ok,pull_t0.90_p0.90_psd_ok,pull_t0.90_p0.90_gate_all_ok,pull_t0.95_p0.85_a_P,pull_t0.95_p0.85_a_Q,pull_t0.95_p0.85_b_PP,pull_t0.95_p0.85_b_QQ,pull_t0.95_p0.85_b_PQ,pull_t0.95_p0.85_measurement_center_mw,pull_t0.95_p0.85_sample_count,pull_t0.95_p0.85_pf_attempts_actual,pull_t0.95_p0.85_pf_retries,pull_t0.95_p0.85_pf_failures,pull_t0.95_p0.85_fit_rank,pull_t0.95_p0.85_rank_lt5,pull_t0.95_p0.85_source_min7_rank,pull_t0.95_p0.85_source_q_column_norm,pull_t0.95_p0.85_fallback_used,pull_t0.95_p0.85_q_gate_exempt,pull_t0.95_p0.85_a_Q_identified,pull_t0.95_p0.85_pred_max_abs_mw,pull_t0.95_p0.85_pred_rmse_mw,pull_t0.95_p0.85_pred_max_abs_rel_baseline,pull_t0.95_p0.85_pred_rmse_rel_baseline,pull_t0.95_p0.85_h_min_eig,pull_t0.95_p0.85_a_P_ok,pull_t0.95_p0.85_a_Q_ok,pull_t0.95_p0.85_psd_ok,pull_t0.95_p0.85_gate_all_ok,pull_t0.95_p0.90_a_P,pull_t0.95_p0.90_a_Q,pull_t0.95_p0.90_b_PP,pull_t0.95_p0.90_b_QQ,pull_t0.95_p0.90_b_PQ,pull_t0.95_p0.90_measurement_center_mw,pull_t0.95_p0.90_sample_count,pull_t0.95_p0.90_pf_attempts_actual,pull_t0.95_p0.90_pf_retries,pull_t0.95_p0.90_pf_failures,pull_t0.95_p0.90_fit_rank,pull_t0.95_p0.90_rank_lt5,pull_t0.95_p0.90_source_min7_rank,pull_t0.95_p0.90_source_q_column_norm,pull_t0.95_p0.90_fallback_used,pull_t0.95_p0.90_q_gate_exempt,pull_t0.95_p0.90_a_Q_identified,pull_t0.95_p0.90_pred_max_abs_mw,pull_t0.95_p0.90_pred_rmse_mw,pull_t0.95_p0.90_pred_max_abs_rel_baseline,pull_t0.95_p0.90_pred_rmse_rel_baseline,pull_t0.95_p0.90_h_min_eig,pull_t0.95_p0.90_a_P_ok,pull_t0.95_p0.90_a_Q_ok,pull_t0.95_p0.90_psd_ok,pull_t0.95_p0.90_gate_all_ok,qzero_gate_a_P,qzero_gate_a_Q,qzero_gate_b_PP,qzero_gate_b_QQ,qzero_gate_b_PQ,qzero_gate_measurement_center_mw,qzero_gate_sample_count,qzero_gate_pf_attempts_actual,qzero_gate_pf_retries,qzero_gate_pf_failures,qzero_gate_fit_rank,qzero_gate_rank_lt5,qzero_gate_source_min7_rank,qzero_gate_source_q_column_norm,qzero_gate_fallback_used,qzero_gate_q_gate_exempt,qzero_gate_a_Q_identified,qzero_gate_pred_max_abs_mw,qzero_gate_pred_rmse_mw,qzero_gate_pred_max_abs_rel_baseline,qzero_gate_pred_rmse_rel_baseline,qzero_gate_h_min_eig,qzero_gate_a_P_ok,qzero_gate_a_Q_ok,qzero_gate_psd_ok,qzero_gate_gate_all_ok
16,0.15,summer,10,0.0,0.0,normal,0.0,81,162,0.18840612349021926,-0.07937525140135002,-0.025347034001098206,0.023616014106794862,0.022143346260181603,0.0018516536584873696,-0.07938864371842033,-0.025351762937440313,0.02361838696204878,0.022143419178890754,0.0018521487452868254,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.551238624645894e-06,7.748314892313536e-07,8.23348305197959e-06,4.1125600106706585e-06,0.021697055008425732,True,True,True,True,-0.07938864371881196,-0.025351762937173224,0.023618386960712206,0.022143419175225172,0.0018521487517260853,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.5512386162619754e-06,7.74831478222125e-07,8.233483007480407e-06,4.112559952237162e-06,0.021697055002680644,True,True,True,True,-0.07938864371831657,-0.025351762937682664,0.023618386960858398,0.022143419177597344,0.0018521487496666077,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.5512386417858293e-06,7.748315016591493e-07,8.233483142952934e-06,4.11256007663346e-06,0.021697055005438688,True,True,True,True,-0.07938864371825023,-0.025351762937617053,0.023618386961230912,0.022143419173892905,0.0018521487439341607,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.5512385999113393e-06,7.748314972018506e-07,8.233482920696412e-06,4.112560052975531e-06,0.021697055004744968,True,True,True,True,-0.07938864371832283,-0.025351762937732766,0.023618386959950482,0.022143419177467812,0.0018521487499910214,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.5512386445822035e-06,7.748315045097954e-07,8.233483157795203e-06,4.112560091763786e-06,0.021697055005035524,True,True,True,True,-0.07938864371832922,-0.025351762937548948,0.023618386963337245,0.022143419180837346,0.0018521487445485093,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.5512386391846114e-06,7.748314944214905e-07,8.233483129146495e-06,4.11256003821826e-06,0.02169705501053703,True,True,True,True
16,0.15,summer,10,0.5,0.075,normal,0.075,81,162,0.18840612335518914,-0.07935349113563178,-0.025345440930480783,0.023379948720235678,0.022077016575508725,0.001807911089049456,-0.07935663502944343,-0.025340774332456677,0.023419850690044132,0.022068827788768834,0.001709382214517344,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.4662914479119087e-06,4.6649599854992115e-07,7.782610362125069e-06,2.4760129354738024e-06,0.021654929945903973,True,True,True,True,-0.07935665540308581,-0.025340776000258435,0.02341999666440211,0.022068869679225264,0.0017094012469601762,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.46582798789892e-06,4.6649498402323794e-07,7.7801504632389e-06,2.4760075506876545e-06,0.021654984142122292,True,True,True,True,-0.07935665540216447,-0.02534077599980483,0.023419996658112244,0.02206886968051508,0.001709401239702286,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.4658279613372679e-06,4.6649498620274377e-07,7.780150322258068e-06,2.476007562255781e-06,0.021654984144819336,True,True,True,True,-0.0793566554029775,-0.025340776001059977,0.023419996663187642,0.022068869682371713,0.0017094012516265646,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.465827828175557e-06,4.6649499029811196e-07,7.780149615477903e-06,2.4760075839926974e-06,0.021654984142609926,True,True,True,True,-0.07935665540185079,-0.025340775999219026,0.023419996654857556,0.02206886968441802,0.0017094012306670132,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.4658279076937633e-06,4.664949873520626e-07,7.780150037535344e-06,2.4760075683560008e-06,0.021654984150906872,True,True,True,True,-0.07935665540248234,-0.02534077600040823,0.02341999665894171,0.02206886968289959,0.0017094012434153607,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.4658278543792057e-06,4.6649499156359305e-07,7.780149754558567e-06,2.47600759070947e-06,0.02165498414545196,True,True,True,True
16,0.15,summer,10,0.9,0.135,boundary,0.135,55,110,0.18840612305233323,-0.07934817558614606,-0.025342858245975475,0.023350599780875402,0.02203140666076919,0.0017817348622493066,-0.07934800095668529,-0.025320028440797233,0.023351458535624054,0.022006798001127453,0.0016082035314912996,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.3630694352603778e-06,2.8156511569732725e-07,7.234740639940669e-06,1.4944584132179048e-06,0.021630983412960512,True,True,True,True,-0.07934800431024257,-0.02532005946092432,0.023351474305696254,0.02200683668529437,0.0016084329440084004,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.3617575514808175e-06,2.812646407273076e-07,7.227777576541738e-06,1.4928635872900013e-06,0.021630929987127533,True,True,True,True,-0.07934800430637247,-0.025320059507448433,0.023351474276831877,0.022006836675041934,0.0016084332834434172,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.3617560509606233e-06,2.8126422639786794e-07,7.227769612256024e-06,1.4928613881606263e-06,0.021630929843327686,True,True,True,True,-0.07934800430683768,-0.025320059478966025,0.023351474280883123,0.02200683668884858,0.0016084330733365606,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.361756789984049e-06,2.812644516594209e-07,7.22777353475819e-06,1.4928625837775695e-06,0.021630929935983916,True,True,True,True,-0.07934800430924122,-0.025320059497406743,0.02335147429679241,0.022006836693083395,0.0016084332126077682,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.3617562638701744e-06,2.8126430946867024e-07,7.227770742312456e-06,1.4928618290741218e-06,0.02163092988888641,True,True,True,True,-0.07934800431112138,-0.025320059475391617,0.023351474311170576,0.02200683669109855,0.0016084330451500404,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.3617569846694627e-06,2.812644906162999e-07,7.227774568086675e-06,1.492862790548339e-06,0.021630929954073768,True,True,True,True
16,0.15,summer,10,0.98,0.147,boundary,0.135,55,110,0.18840612305243756,-0.07934817577397181,-0.025342860731400046,0.02335060062336853,0.02203141196891381,0.0017817547773314772,-0.07934373004441801,-0.02531584995453758,0.023320892612414764,0.02199224182717451,0.001595841977197916,0.147,7,14,0,0,5,False,5,0.0522756882742889,False,False,True,1.7656410280317975e-06,4.105696749229959e-07,9.371463089553521e-06,2.179173735286328e-06,0.02161829647893432,True,True,True,True,-0.07935015430218843,-0.02532293307402241,0.023367757168030794,0.022015911258346437,0.0016189743149797443,0.1275,7,14,0,0,5,False,5,0.13832594262969589,True,False,True,1.088633264708684e-06,2.214822532470476e-07,5.7781204085691715e-06,1.1755576180791334e-06,0.021637253111981312,True,True,True,True,-0.079348005216536,-0.025320067836538503,0.023351478574176174,0.02200684711942419,0.001608494883220403,0.135,7,14,0,0,5,False,5,0.11447566540556446,True,False,True,1.3617629475567647e-06,2.812151849964481e-07,7.227806217198982e-06,1.4926010919410497e-06,0.021630915555072863,True,True,True,True,-0.07935015674190139,-0.025322943919698516,0.02336776928020955,0.02201592954787896,0.0016190590274186348,0.1275,7,14,0,0,5,False,5,0.13832594262969589,True,False,True,1.0882235429148651e-06,2.2140784024229634e-07,5.775945735118113e-06,1.1751626574295236e-06,0.021637237779818956,True,True,True,True,-0.07934800521318852,-0.025320067852071467,0.023351478552120494,0.02200684709781456,0.001608495001919682,0.135,7,14,0,0,5,False,5,0.11447566540556446,True,False,True,1.3617626602570668e-06,2.812150832547669e-07,7.2278046923032235e-06,1.4926005519284454e-06,0.021630915487848387,True,True,True,True,-0.07934373307036569,-0.025316227643469778,0.023320905631668037,0.021992425343999453,0.0015984111677219436,0.147,7,14,0,0,5,False,5,0.0522756882742889,False,False,True,1.7489289915600947e-06,4.0566961689863164e-07,9.282760895585805e-06,2.153165779998163e-06,0.021617461689748138,True,True,True,True
16,0.15,summer,10,1.0,0.15,boundary,0.135,55,110,0.18840612303417942,-0.07934817594562775,-0.02534286302487259,0.023350601388409525,0.022031416870787485,0.0017817731492429645,-0.0793467207206608,-0.025345731234357096,0.023340456156991936,0.022022892531926203,0.0018000732511709657,0.15,11,22,0,0,5,False,1,0.0,True,False,True,3.808719400786448e-07,1.4862851643578775e-07,2.0215475693937476e-06,7.888730686784767e-07,0.021566300235059274,True,True,True,True,-0.07935015314008186,-0.02532292790565654,0.023367751390222895,0.022015902564232675,0.0016189339554649148,0.1275,7,14,0,0,5,False,5,0.13832594262969589,True,False,True,1.089160753229429e-06,2.2154742332333677e-07,5.780920151049658e-06,1.175903520307273e-06,0.02163726043114257,True,True,True,True,-0.07934800522033747,-0.025320067831650937,0.023351478603093903,0.022006847106662075,0.001608494838448357,0.135,7,14,0,0,5,False,5,0.11447566540556446,True,False,True,1.3620955826186207e-06,2.8124448517154944e-07,7.229571739404234e-06,1.4927566081306598e-06,0.021630915566959785,True,True,True,True,-0.07935015674836765,-0.025322943926203507,0.023367769328508887,0.02201592954763371,0.0016190590734210843,0.1275,7,14,0,0,5,False,5,0.13832594262969589,True,False,True,1.0885558011384036e-06,2.21437518319412e-07,5.777709257044289e-06,1.1753201793725156e-06,0.021637237770633495,True,True,True,True,-0.07934800520977313,-0.025320067848477658,0.0233514785269272,0.022006847105348674,0.0016084949677578546,0.135,7,14,0,0,5,False,5,0.11447566540556446,True,False,True,1.3620948127917101e-06,2.812443180312603e-07,7.229567653406931e-06,1.4927557210029677e-06,0.021630915502619006,True,True,True,True,-0.07934711094589904,0.0,0.02334382666798325,0.0,0.0,0.15,3,6,0,0,2,True,1,0.0,True,True,False,0.0031556600951118735,0.0014073363067672884,0.016749243837151696,0.007469695167560868,0.0,True,True,True,True
16,0.15,summer,18,0.0,0.0,normal,0.0,81,162,0.21687755643323262,-0.08573142879861867,-0.02742307342182993,0.02402007764630377,0.02241040825502917,0.0020216733777284014,-0.08574523668641865,-0.027427920774658575,0.024022526453186095,0.02241048439578261,0.002022193935937954,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.5911332334819783e-06,7.940917966834394e-07,7.336550907570838e-06,3.661475210911953e-06,0.021923452070076472,True,True,True,True,-0.08574523668675174,-0.027427920774793117,0.02402252645287771,0.022410484403308697,0.0020221939380930393,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.591133300865577e-06,7.940918078109457e-07,7.336551218269648e-06,3.6614752622197346e-06,0.02192345207528454,True,True,True,True,-0.0857452366864337,-0.027427920774530785,0.024022526450514163,0.022410484396717664,0.0020221939396473303,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.5911332360406955e-06,7.940917897490107e-07,7.336550919368818e-06,3.661475178938019e-06,0.021923452068881973,True,True,True,True,-0.08574523668661789,-0.02742792077458712,0.02402252645093296,0.022410484399836773,0.002022193946277866,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.5911332821322982e-06,7.940917948838497e-07,7.336551131892435e-06,3.661475202614231e-06,0.021923452068900184,True,True,True,True,-0.08574523668647972,-0.027427920774637037,0.0240225264503791,0.022410484396478348,0.002022193947071642,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.591133264249034e-06,7.940917961578538e-07,7.336551049434552e-06,3.6614752084885325e-06,0.021923452065759585,True,True,True,True,-0.08574523668620668,-0.027427920774781435,0.024022526447478345,0.022410484399174334,0.0020221939438593724,0.0,7,14,0,0,5,False,5,0.2627141983220549,False,False,True,1.5911332658857455e-06,7.940918014882312e-07,7.336551056981259e-06,3.6614752330663518e-06,0.021923452068657465,True,True,True,True
16,0.15,summer,18,0.5,0.075,normal,0.075,81,162,0.21687755628112784,-0.08570904226987579,-0.027421403288171418,0.023777170064889608,0.022342182166732342,0.0019758144198398385,-0.08571224029259572,-0.027416641193797553,0.02381783619630538,0.022333726953588734,0.001875165587173212,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.5024528274192386e-06,4.770854093569407e-07,6.927654724547348e-06,2.1997915207902752e-06,0.021880078202070274,True,True,True,True,-0.08571226299563957,-0.02741664305188804,0.023817998863040743,0.022333773634320164,0.001875186781057608,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.5019363365396596e-06,4.770841616441762e-07,6.925273238475504e-06,2.199785767715656e-06,0.021880138575316222,True,True,True,True,-0.08571226299568466,-0.027416643052644726,0.02381799885918183,0.022333773633674357,0.0018751867961209572,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.5019363294227397e-06,4.770841415463243e-07,6.925273205660122e-06,2.199785675046538e-06,0.0218801385681553,True,True,True,True,-0.0857122629970404,-0.027416643053688704,0.023817998866865316,0.02233377363882402,0.0018751868071096882,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.5019361690570953e-06,4.770841382888932e-07,6.9252724662307075e-06,2.1997856600268596e-06,0.02188013856947743,True,True,True,True,-0.08571226299598242,-0.027416643053169255,0.023817998867218745,0.02233377363341012,0.0018751867967456183,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.5019362620814249e-06,4.770841582505623e-07,6.9252728951562785e-06,2.199785752068053e-06,0.021880138569220782,True,True,True,True,-0.08571226299570515,-0.027416643054407976,0.02381799886417935,0.022333773634351357,0.0018751868094683103,0.075,7,14,0,0,5,False,5,0.22727458486426985,False,False,True,1.5019361254875636e-06,4.770841571916337e-07,6.925272265336099e-06,2.1997857471854424e-06,0.021880138564418974,True,True,True,True
16,0.15,summer,18,0.9,0.135,boundary,0.135,55,110,0.21687755594401562,-0.08570357090407452,-0.027418695391441945,0.023746943531862658,0.02229527217071257,0.0019483697309820647,-0.08570336950875236,-0.02739534401836689,0.023747666223202485,0.02226995977009658,0.0017708659934813375,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.3953550007834992e-06,2.88019983135348e-07,6.4338377233635625e-06,1.3280303804682166e-06,0.021855601965612776,True,True,True,True,-0.08570337324932625,-0.027395378619732097,0.023747683826379068,0.022270002841300568,0.001771121880097978,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.39389242945296e-06,2.876847665435128e-07,6.427093958089315e-06,1.3264847314019679e-06,0.021855542223133646,True,True,True,True,-0.08570337324677317,-0.02739537862926084,0.023747683802818383,0.022270002865597275,0.0017711219487270024,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.3938917653583127e-06,2.8768463725294e-07,6.427090896017518e-06,1.3264841352564965e-06,0.021855542212482763,True,True,True,True,-0.08570337324770838,-0.027395378673002426,0.02374768380795429,0.02227000285378614,0.0017711222764552972,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.3938906174649004e-06,2.876843028932099e-07,6.427085603199609e-06,1.326482593558331e-06,0.021855542077893843,True,True,True,True,-0.08570337324777058,-0.02739537863439128,0.023747683807887086,0.022270002883880247,0.0017711219890253107,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.3938914399163824e-06,2.8768458035182475e-07,6.427089395438406e-06,1.326483872891334e-06,0.02185554221291983,True,True,True,True,-0.08570337324554167,-0.02739537864972296,0.023747683793902085,0.02227000284576387,0.0017711221033233843,0.135,7,14,0,0,5,False,5,0.11447566540556446,False,False,True,1.393891373468667e-06,2.8768450045558907e-07,6.427089089054857e-06,1.326483504498047e-06,0.02185554213525766,True,True,True,True
16,0.15,summer,18,0.98,0.147,boundary,0.135,55,110,0.21687755594411728,-0.08570357111195492,-0.027418698157816328,0.023746944461452993,0.022295278078055154,0.0019483918963538736,-0.08569898467119874,-0.027391100807598903,0.023716293313017466,0.022254988429302392,0.001758401844026767,0.147,7,14,0,0,5,False,5,0.0522756882742889,False,False,True,1.806163269339918e-06,4.1953987188971157e-07,8.328032199907819e-06,1.9344549972603627e-06,0.02184246667093427,True,True,True,True,-0.08570558222718422,-0.027398322152709122,0.023764405570865094,0.022279331442372877,0.001781949758217034,0.1275,7,14,0,0,5,False,5,0.13832594262969589,True,False,True,1.1143011325910612e-06,2.2649748002639798e-07,5.137927379069979e-06,1.044356475894442e-06,0.021862041999342288,True,True,True,True,-0.0857033742529493,-0.027395387917794462,0.02374768853616938,0.022270014452252965,0.0017711906436482067,0.135,7,14,0,0,5,False,5,0.11447566540556446,True,False,True,1.3938992130084482e-06,2.8762993674559384e-07,6.427125236359697e-06,1.3262319168688312e-06,0.021855526193783625,True,True,True,True,-0.08570558494768776,-0.027398334220147688,0.02376441908720939,0.022279351806679223,0.0017820440049234015,0.1275,7,14,0,0,5,False,5,0.13832594262969589,True,False,True,1.113845175783161e-06,2.264146260355621e-07,5.13582500934382e-06,1.0439744447041916e-06,0.021862024931280387,True,True,True,True,-0.08570337425566606,-0.027395387928364455,0.02374768855653965,0.022270014455229418,0.001771190721036079,0.135,7,14,0,0,5,False,5,0.11447566540556446,True,False,True,1.3938989007894476e-06,2.876298482086917e-07,6.427123796750147e-06,1.326231508634324e-06,0.021855526170173997,True,True,True,True,-0.08569898808170195,-0.027391521727522992,0.023716308083009792,0.022255193018460302,0.0017612650948385794,0.147,7,14,0,0,5,False,5,0.0522756882742889,False,False,True,1.7875385661574386e-06,4.1408208499844623e-07,8.242155618066964e-06,1.909289705870452e-06,0.021841535539673943,True,True,True,True
16,0.15,summer,18,1.0,0.15,boundary,0.135,55,110,0.2168775559237381,-0.08570357130180942,-0.027418700715457302,0.023746945302329958,0.02229528353353169,0.001948412385625145,-0.08570207396985327,-0.027421619843561056,0.023736506139413145,0.02228651710053703,0.0019670228048151994,0.15,11,22,0,0,5,False,1,0.0,True,False,True,3.8913039631088137e-07,1.5187773689135816e-07,1.7942400478162594e-06,7.002925509948285e-07,0.021789663948667007,True,True,True,True,-0.08570558093211796,-0.027398316384979835,0.02376439914166758,0.022279321737422073,0.001781904711796826,0.1275,7,14,0,0,5,False,5,0.13832594262969589,True,False,True,1.1148890170448525e-06,2.265702072091124e-07,5.140638054022e-06,1.044691813517036e-06,0.02186205018582611,True,True,True,True,-0.0857033742611273,-0.02739538793891779,0.023747688598446285,0.022270014446580087,0.0017711907953591609,0.135,7,14,0,0,5,False,5,0.11447566540556446,True,False,True,1.3942688858754188e-06,2.8766239755143463e-07,6.428829760354241e-06,1.3263815904149481e-06,0.021855526142074245,True,True,True,True,-0.08570558494522135,-0.027398334223061947,0.023764419067076308,0.02227935180186946,0.0017820440347310132,0.1275,7,14,0,0,5,False,5,0.13832594262969589,True,False,True,1.114215303830296e-06,2.264477350999469e-07,5.137531632005728e-06,1.0441271072769466e-06,0.02186202491226457,True,True,True,True,-0.08570337425257177,-0.02739538794394695,0.023747688535286197,0.02227001444275574,0.001771190838903994,0.135,7,14,0,0,5,False,5,0.11447566540556446,True,False,True,1.3942686125038156e-06,2.876623516876563e-07,6.428828499866027e-06,1.3263813789418057e-06,0.021855526110869473,True,True,True,True,-0.08570247364711361,0.0,0.02373995921300845,0.0,0.0,0.15,3,6,0,0,2,True,1,0.0,True,True,False,0.0033938697193881037,0.0015219669657283638,0.015648782581179167,0.007017632411274229,0.0,True,True,True,True
