point_id,b,S,E,coefficient_round,scenario,t,p_center_mw,P_net_mw,Q_mvar,p_slack_mw,line_loss_mw,lp_pk_proxy_mw,loss_reduction_linear_mw,a_P,a_Q,b_PP,b_QQ,b_PQ,matrix_rank,lambda_min_cost,lambda_max_cost,solver,status,objective
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,0,0.0,-0.012431775730932876,0.0013525558502843486,7.880852661009187,0.18196905124276472,9.342518294532503,-0.0009122566825293308,-0.0758720408839457,-0.022895552876091563,0.0037235015009159846,0.020429069562647163,0.0006622733553282561,5,0.003716940308286038,0.020435630755277108,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,1,0.0,-0.01306503265321314,0.0010173060784398214,7.079453584194165,0.14658756288312302,9.342518294532503,-0.0008607179323260397,-0.06746044860629187,-0.020303654871745024,0.005113429368498887,0.01998314674052478,0.0004843571343634163,5,0.005109486125478882,0.019987089983544787,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,2,0.0,-0.01345110169838562,0.0009031283436317383,6.769865377053821,0.13396351823933933,9.342518294532503,-0.0008468427064422808,-0.06425423478440836,-0.019319004123579418,0.005645148640084306,0.01981372436240593,0.0004179054573161663,5,0.005642067755186811,0.019816805247303424,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,3,0.0,-0.013891703856907509,0.0008333703212873616,6.576519317357302,0.12637698913282128,9.342518294532503,-0.0008493366749478203,-0.06226215904794933,-0.018708129675030858,0.005976298910991606,0.019708516634159578,0.0003769505374860419,5,0.005973712567076231,0.019711102978074952,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,4,0.0,-0.014426738145392887,0.0007917190862349501,6.459528657406215,0.1219013765637539,9.342518294532503,-0.0008663553999552752,-0.0610585027314864,-0.018339371570141077,0.0061765755747381365,0.01964500110534208,0.0003523365282197155,5,0.006174271671491331,0.019647305008588887,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,5,0.0,-0.015059482204256153,0.0007877623073904951,6.448350389977819,0.12149039302685923,9.342518294532503,-0.0009032673505878174,-0.06093736689795417,-0.01830227424045105,0.006196716255761773,0.01963860923296109,0.0003498542605764002,5,0.006194440213198943,0.01964088527552392,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,6,0.0,-0.01579891706780716,0.0008298160289913134,6.566687510061727,0.12603804855756517,9.342518294532503,-0.0009662604583560781,-0.06214057843999641,-0.018670869712921537,0.0059964394609993,0.019702092383724192,0.0003744216516872761,5,0.005993882752701395,0.019704649092022096,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,7,0.0,-0.01659839418021293,0.0009657605006104028,6.941517815903223,0.1409687199192043,9.342518294532503,-0.0010761848452674008,-0.06599177616979858,-0.019852404648129963,0.005356337891351505,0.01990555502420337,0.0004537157837953474,5,0.005352801481354269,0.019909091434200606,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,8,0.0,-0.01745957492324579,0.0012095997943574702,7.567711288904864,0.16780066772174718,9.342518294532503,-0.0012395751549561596,-0.0725112303224295,-0.021858555001718575,0.004276858425335709,0.020250964040623775,0.0005906106561704481,5,0.004271401127331457,0.020256421338628025,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,9,0.0,-0.01828454694153045,0.001625672751262258,8.388197701843026,0.20656135173292792,9.342518294532503,-0.0014450365560842494,-0.08121301888263216,-0.02454780638209716,0.002842417183173725,0.020713777397493537,0.0007778022823015491,5,0.0028339582554638325,0.02072223632520343,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,10,0.0,-0.019476971360679357,0.0019333430901608926,8.897174859015895,0.23269549466684436,9.342518294532503,-0.001637796763953789,-0.08669439116313803,-0.026248527806805644,0.0019417379051298272,0.021006655237468634,0.00089847542246694,5,0.0019311581273117786,0.021017235015286684,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,11,0.0,-0.021390003092147974,0.002040011831609943,9.09095189758287,0.24310946799059055,9.342518294532503,-0.0018441875719082393,-0.08878256410735022,-0.02689776011421655,0.0015992746027928058,0.021118401552036956,0.0009448939824300743,5,0.0015878460410510475,0.021129830113778714,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,12,0.0,-0.024248570988523566,0.002045005021931677,9.106118909151839,0.24401818616239349,9.342518294532503,-0.0021009523915779585,-0.08891419580922832,-0.0269387100759108,0.0015778397688328072,0.02112546012205357,0.0009478928344270444,5,0.0015663553369604072,0.021136944553925972,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,13,0.0,-0.028376106294101602,0.001958958664801689,8.962034232244534,0.23640643748868612,9.342518294532503,-0.00242528959052944,-0.08729438205086593,-0.026435000571637186,0.0018432090350583832,0.02103877214221699,0.0009117813314611098,5,0.0018323878260437727,0.021049593351231598,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,14,0.0,-0.03276658155390993,0.0021583949128372135,9.330512902070929,0.2565945452227594,9.342518294532503,-0.0029308810296941146,-0.0912700743914301,-0.0276720937067047,0.0011921456283805296,0.021251643297483233,0.0010006369908478272,5,0.0011796745748270882,0.021264114351036673,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,15,0.0,-0.038870719995237314,0.002334793616635649,9.527424730904306,0.2678522594772667,9.342518294532503,-0.00356300868253912,-0.09336439687196052,-0.028324835790138246,0.0008501656650980199,0.02136400713942005,0.0010480883013851837,5,0.0008367872206247054,0.021377385583893363,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,16,0.0,-0.009570449973567999,0.005424857841679817,9.606099965930559,0.2712937515310465,9.342518294532503,-0.0007495307308509522,-0.09458925372138098,-0.028706925503218867,0.0006503258289996761,0.021429771598310044,0.0010759611500270297,5,0.0006364068167507039,0.021443690610559014,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,17,0.0,0.13898556162023865,0.107924636363387,9.625124382430878,0.2650853847645786,9.342518294532503,0.01659634845273864,-0.09662551054782482,-0.02934267567735105,0.0003182730979288807,0.021539179263753008,0.001122458550418551,5,0.0003034406353118246,0.021554011726370063,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,18,0.0,0.14077853539249996,0.10553493328633733,9.625197230362732,0.2650966343238672,9.342518294532503,0.01670337430080432,-0.09664796229274301,-0.02934967241755381,0.00031503082763952207,0.02154032573133526,0.001123033967209461,5,0.00030018623008600735,0.021555170328888776,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,19,0.0,0.07796949430562106,0.15768811964688986,9.622631449526235,0.2656023987141989,9.342518294532503,0.012062442062149348,-0.09585210469772679,-0.02910112658464093,0.00044448190170371966,0.021497622993251968,0.0011048281493669274,5,0.00042999705605390305,0.021512107838901784,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,20,0.0,-0.0013798730793124112,0.05191354875715475,9.615241665154505,0.2702979917977195,9.342518294532503,0.0013627339986314153,-0.09479010945039329,-0.028769605519238375,0.000617668982372629,0.021440568396339746,0.0010805883089798631,5,0.0006036593337966437,0.021454578044915733,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,21,0.0,-0.07137521718200737,0.0019775455641017118,9.361666692556973,0.2595907906246433,9.342518294532503,-0.006451103397570492,-0.09114860395185576,-0.027634258508127677,0.0012124153568589119,0.021245170618871864,0.0009980970553566538,5,0.001199990951734412,0.021257595023996365,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,22,0.0,-0.06907151300827485,0.0017117573314595702,8.860872471676638,0.2323004284817357,9.342518294532503,-0.005876044992652857,-0.0857148624298618,-0.025944239792427423,0.00210231657297142,0.020954282023705202,0.0008767374450082663,5,0.002092128598537202,0.02096446999813942,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,summer_peak,23,0.0,-0.06833473603576004,0.0014576922679393528,8.381402550158738,0.20766742548002715,9.342518294532503,-0.005469522296950104,-0.0805594744147172,-0.02434541441955184,0.00294923851042642,0.020679096433078633,0.0007635425807686593,5,0.002941021760815504,0.02068731318268955,CLARABEL,optimal,9.342518294532503
P1_old_full_opt,15,0.176,0.419,round0,winter_peak,0,0.0,-0.018957615207802675,0.0031214227796183386,8.015445189781907,0.18843119315166795,9.046216487169481,-0.001391245093802878,-0.07722584831802853,-0.02331399103691445,0.003498224029590656,0.02050156933686287,0.0006913502420241492,5,0.003491199415203255,0.02050859395125027,CLARABEL,optimal,9.046216487169481
P1_old_full_opt,15,0.176,0.419,round0,winter_peak,1,0.0,-0.019816145243113356,0.00281685473752306,7.496631769172505,0.16466064378093787,9.046216487169481,-0.0013606851110572822,-0.07173881999244695,-0.021620484958398488,0.0044044509001621235,0.020210000909848827,0.0005742391297933941,5,0.0043992368798661955,0.020215214930144755,CLARABEL,optimal,9.046216487169481
P1_old_full_opt,15,0.176,0.419,round0,winter_peak,2,0.0,-0.02069611018772584,0.0026470114399879505,7.241324322292083,0.15357399739477065,9.046216487169481,-0.0013742213357910503,-0.06905970909035339,-0.020795532744447,0.004847852650135798,0.020067986584181293,0.0005178252687684398,5,0.00484344951118173,0.02007238972313536,CLARABEL,optimal,9.046216487169481
P1_old_full_opt,15,0.176,0.419,round0,winter_peak,3,0.0,-0.021815125965324048,0.002524352857557386,7.089761911891474,0.14719314672683242,9.046216487169481,-0.001420621142691625,-0.0674707453286549,-0.020306854279033896,0.005111208557064775,0.01998384048926933,0.0004845990939113069,5,0.0051072621475406026,0.019987786898793502,CLARABEL,optimal,9.046216487169481
P1_old_full_opt,15,0.176,0.419,round0,winter_peak,4,0.0,-0.02324622961260904,0.0024529263909474665,7.01001022693578,0.14391077089022386,9.046216487169481,-0.0014996684067848666,-0.06662775676642078,-0.020047778751902084,0.005251022335698093,0.019939226796770203,0.00046704044387811216,5,0.005247310655510828,0.019942938476957467,CLARABEL,optimal,9.046216487169481
